ursus_maritimus ENSUMAG00000016935
ursus_americanus ENSUAMG00000009769
mustela_putorius_furo ENSMPUG00000014996
neovison_vison ENSNVIG00000020540
myotis_lucifugus ENSMLUG00000025038
myotis_lucifugus ENSMLUG00000025097
myotis_lucifugus ENSMLUG00000023231
myotis_lucifugus ENSMLUG00000027241
myotis_lucifugus ENSMLUG00000023696
bos_mutus ENSBMUG00000012449
bos_taurus ENSBTAG00000039504
bison_bison_bison ENSBBBG00000003664
ovis_aries ENSOARG00000004202
ovis_aries ENSOARG00000004139
bison_bison_bison ENSBBBG00000014865
bos_taurus ENSBTAG00000025260
bos_mutus ENSBMUG00000012438
ovis_aries ENSOARG00000004130
meriones_unguiculatus ENSMUGG00000005273
meriones_unguiculatus ENSMUGG00000005299
mus_spicilegus ENSMSIG00000012344
rattus_norvegicus ENSRNOG00000037097
rattus_norvegicus ENSRNOG00000002497
rattus_norvegicus ENSRNOG00000057390
mus_musculus ENSMUSG00000069792
mus_spicilegus ENSMSIG00000012316
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017728
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016883
cricetulus_griseus_crigri-picr ENSCGRG00015011606
cricetulus_griseus_chok1gshd ENSCGRG00001019205
cricetulus_griseus_crigri-picr ENSCGRG00015011573
cricetulus_griseus_crigri ENSCGRG00000016795
microtus_ochrogaster ENSMOCG00000013687
peromyscus_maniculatus_bairdii ENSPEMG00000026681
peromyscus_maniculatus_bairdii ENSPEMG00000021998
peromyscus_maniculatus_bairdii ENSPEMG00000022266
cricetulus_griseus_crigri-picr ENSCGRG00015011586
cricetulus_griseus_crigri ENSCGRG00000016923
cricetulus_griseus_chok1gshd ENSCGRG00001018407
peromyscus_maniculatus_bairdii ENSPEMG00000027130
mus_musculus ENSMUSG00000000983
mus_spicilegus ENSMSIG00000012297
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017729
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016884
heterocephalus_glaber_female ENSHGLG00000004768
heterocephalus_glaber_male ENSHGLG00100002431
fukomys_damarensis ENSFDAG00000002235
loxodonta_africana ENSLAFG00000026952
loxodonta_africana ENSLAFG00000030741
loxodonta_africana ENSLAFG00000026430
