mus_musculus ENSMUSG00000047649
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030369
mus_spicilegus ENSMSIG00000005787
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029285
rattus_norvegicus ENSRNOG00000016825
meriones_unguiculatus ENSMUGG00000001711
cricetulus_griseus_chok1gshd ENSCGRG00001023584
cricetulus_griseus_crigri-picr ENSCGRG00015007315
mesocricetus_auratus ENSMAUG00000007876
microtus_ochrogaster ENSMOCG00000013766
peromyscus_maniculatus_bairdii ENSPEMG00000018578
nannospalax_galili ENSNGAG00000015313
jaculus_jaculus ENSJJAG00000013173
castor_canadensis ENSCCNG00000021684
dipodomys_ordii ENSDORG00000027052
heterocephalus_glaber_male ENSHGLG00100006839
heterocephalus_glaber_female ENSHGLG00000002795
fukomys_damarensis ENSFDAG00000012196
cavia_porcellus ENSCPOG00000033293
octodon_degus ENSODEG00000007587
chinchilla_lanigera ENSCLAG00000004691
urocitellus_parryii ENSUPAG00010021691
ictidomys_tridecemlineatus ENSSTOG00000002799
marmota_marmota_marmota ENSMMMG00000014326
spermophilus_dauricus ENSSDAG00000010973
oryctolagus_cuniculus ENSOCUG00000025376
pan_troglodytes ENSPTRG00000011151
pan_paniscus ENSPPAG00000004958
homo_sapiens ENSG00000117877
gorilla_gorilla ENSGGOG00000041192
gorilla_gorilla ENSGGOG00000015872
pongo_abelii ENSPPYG00000010119
nomascus_leucogenys ENSNLEG00000035363
cercocebus_atys ENSCATG00000030677
mandrillus_leucophaeus ENSMLEG00000043530
papio_anubis ENSPANG00000014599
theropithecus_gelada ENSTGEG00000020538
macaca_nemestrina ENSMNEG00000028086
macaca_fascicularis ENSMFAG00000006908
chlorocebus_sabaeus ENSCSAG00000003181
piliocolobus_tephrosceles ENSPTEG00000036791
colobus_angolensis_palliatus ENSCANG00000024271
rhinopithecus_bieti ENSRBIG00000040738
rhinopithecus_roxellana ENSRROG00000043410
callithrix_jacchus ENSCJAG00000012689
saimiri_boliviensis_boliviensis ENSSBOG00000032782
cebus_capucinus ENSCCAG00000024253
aotus_nancymaae ENSANAG00000022477
carlito_syrichta ENSTSYG00000036564
propithecus_coquereli ENSPCOG00000028780
microcebus_murinus ENSMICG00000031258
prolemur_simus ENSPSMG00000024991
otolemur_garnettii ENSOGAG00000013782
ursus_americanus ENSUAMG00000020204
ursus_maritimus ENSUMAG00000023587
ailuropoda_melanoleuca ENSAMEG00000012438
neovison_vison ENSNVIG00000008637
mustela_putorius_furo ENSMPUG00000005965
canis_lupus_dingo ENSCAFG00020011342
canis_lupus_familiaris ENSCAFG00000004455
vulpes_vulpes ENSVVUG00000004115
panthera_pardus ENSPPRG00000001954
panthera_tigris_altaica ENSPTIG00000014078
felis_catus ENSFCAG00000043166
equus_asinus_asinus ENSEASG00005014188
equus_caballus ENSECAG00000032490
capra_hircus ENSCHIG00000022038
ovis_aries ENSOARG00000009943
bos_mutus ENSBMUG00000020360
bos_taurus ENSBTAG00000023601
bison_bison_bison ENSBBBG00000015276
tursiops_truncatus ENSTTRG00000008311
sus_scrofa ENSSSCG00000020754
myotis_lucifugus ENSMLUG00000012319
pteropus_vampyrus ENSPVAG00000001330
erinaceus_europaeus ENSEEUG00000012763
sorex_araneus ENSSARG00000008700
loxodonta_africana ENSLAFG00000001827
procavia_capensis ENSPCAG00000012953
dasypus_novemcinctus ENSDNOG00000041816
notamacropus_eugenii ENSMEUG00000000304
phascolarctos_cinereus ENSPCIG00000022939
monodelphis_domestica ENSMODG00000021547
ornithorhynchus_anatinus ENSOANG00000004535
salvator_merianae ENSSMRG00000016574
pogona_vitticeps ENSPVIG00000020502
chrysemys_picta_bellii ENSCPBG00000014383
gopherus_agassizii ENSGAGG00000016535
latimeria_chalumnae ENSLACG00000013798
oryzias_latipes ENSORLG00000001427
oryzias_latipes ENSORLG00020019155
oryzias_melastigma ENSOMEG00000022922
cynoglossus_semilaevis ENSCSEG00000005914
anabas_testudineus ENSATEG00000006485
mastacembelus_armatus ENSMAMG00000016319
astatotilapia_calliptera ENSACLG00000018258
haplochromis_burtoni ENSHBUG00000001063
pundamilia_nyererei ENSPNYG00000022270
maylandia_zebra ENSMZEG00005024408
