fukomys_damarensis ENSFDAG00000010803
otolemur_garnettii ENSOGAG00000024737
tupaia_belangeri ENSTBEG00000016835
equus_caballus ENSECAG00000014344
equus_asinus_asinus ENSEASG00005002333
pteropus_vampyrus ENSPVAG00000002860
ursus_americanus ENSUAMG00000020145
ailuropoda_melanoleuca ENSAMEG00000003589
neovison_vison ENSNVIG00000015878
canis_lupus_dingo ENSCAFG00020018075
panthera_tigris_altaica ENSPTIG00000006782
panthera_pardus ENSPPRG00000022556
felis_catus ENSFCAG00000032614
erinaceus_europaeus ENSEEUG00000002949
ovis_aries ENSOARG00000005350
capra_hircus ENSCHIG00000023659
bos_taurus ENSBTAG00000021742
bos_mutus ENSBMUG00000019225
bison_bison_bison ENSBBBG00000022006
tursiops_truncatus ENSTTRG00000013699
sus_scrofa ENSSSCG00000002935
vicugna_pacos ENSVPAG00000001201
chinchilla_lanigera ENSCLAG00000012970
cavia_porcellus ENSCPOG00000040240
marmota_marmota_marmota ENSMMMG00000004437
urocitellus_parryii ENSUPAG00010021286
castor_canadensis ENSCCNG00000030646
ochotona_princeps ENSOPRG00000015310
homo_sapiens ENSG00000198453
gorilla_gorilla ENSGGOG00000006965
pongo_abelii ENSPPYG00000009908
nomascus_leucogenys ENSNLEG00000016997
macaca_fascicularis ENSMFAG00000030511
macaca_mulatta ENSMMUG00000043883
macaca_nemestrina ENSMNEG00000038166
papio_anubis ENSPANG00000025096
theropithecus_gelada ENSTGEG00000007007
cercocebus_atys ENSCATG00000033174
mandrillus_leucophaeus ENSMLEG00000033835
rhinopithecus_roxellana ENSRROG00000034950
rhinopithecus_bieti ENSRBIG00000040330
colobus_angolensis_palliatus ENSCANG00000040678
piliocolobus_tephrosceles ENSPTEG00000011790
saimiri_boliviensis_boliviensis ENSSBOG00000002931
cebus_capucinus ENSCCAG00000032755
callithrix_jacchus ENSCJAG00000013369
aotus_nancymaae ENSANAG00000028992
carlito_syrichta ENSTSYG00000002053
propithecus_coquereli ENSPCOG00000014102
prolemur_simus ENSPSMG00000001922
microcebus_murinus ENSMICG00000003422
otolemur_garnettii ENSOGAG00000006993
choloepus_hoffmanni ENSCHOG00000012243
dasypus_novemcinctus ENSDNOG00000036634
peromyscus_maniculatus_bairdii ENSPEMG00000028463
dasypus_novemcinctus ENSDNOG00000038722
dasypus_novemcinctus ENSDNOG00000042245
choloepus_hoffmanni ENSCHOG00000005505
papio_anubis ENSPANG00000033217
mandrillus_leucophaeus ENSMLEG00000029069
pan_paniscus ENSPPAG00000034483
propithecus_coquereli ENSPCOG00000023459
bison_bison_bison ENSBBBG00000021796
bos_mutus ENSBMUG00000019498
choloepus_hoffmanni ENSCHOG00000013589
equus_caballus ENSECAG00000023978
equus_asinus_asinus ENSEASG00005002356
tupaia_belangeri ENSTBEG00000001515
sarcophilus_harrisii ENSSHAG00000006945
monodelphis_domestica ENSMODG00000025207
haplochromis_burtoni ENSHBUG00000008350
amphiprion_percula ENSAPEG00000015809
