cynoglossus_semilaevis ENSCSEG00000019985
seriola_dumerili ENSSDUG00000011699
mastacembelus_armatus ENSMAMG00000002253
haplochromis_burtoni ENSHBUG00000015475
maylandia_zebra ENSMZEG00005017640
anabas_testudineus ENSATEG00000021502
mola_mola ENSMMOG00000016036
xiphophorus_maculatus ENSXMAG00000011412
xiphophorus_couchianus ENSXCOG00000019285
gambusia_affinis ENSGAFG00000014273
poecilia_latipinna ENSPLAG00000005747
poecilia_mexicana ENSPMEG00000000365
poecilia_formosa ENSPFOG00000013664
poecilia_reticulata ENSPREG00000010991
cyprinodon_variegatus ENSCVAG00000001143
kryptolebias_marmoratus ENSKMAG00000007663
oryzias_latipes_asm223469v1 ENSORLG00015011040
oryzias_latipes ENSORLG00020005145
oryzias_latipes ENSORLG00000012267
oryzias_melastigma ENSOMEG00000013005
tetraodon_nigroviridis ENSTNIG00000008039
takifugu_rubripes ENSTRUG00000022658
seriola_lalandi_dorsalis ENSSLDG00000023616
scophthalmus_maximus ENSSMAG00000011489
gasterosteus_aculeatus ENSGACG00000010195
labrus_bergylta ENSLBEG00000006789
amphiprion_ocellaris ENSAOCG00000009205
amphiprion_percula ENSAPEG00000011741
hippocampus_comes ENSHCOG00000017663
gadus_morhua ENSGMOG00000010308
esox_lucius ENSELUG00000017697
pygocentrus_nattereri ENSPNAG00000019746
astyanax_mexicanus ENSAMXG00000032096
ictalurus_punctatus ENSIPUG00000007752
danio_rerio ENSDARG00000086056
scleropages_formosus ENSSFOG00015002720
paramormyrops_kingsleyae ENSPKIG00000007082
lepisosteus_oculatus ENSLOCG00000006859
esox_lucius ENSELUG00000005382
pan_troglodytes ENSPTRG00000004569
pan_paniscus ENSPPAG00000030565
homo_sapiens ENSG00000008323
gorilla_gorilla ENSGGOG00000011884
pongo_abelii ENSPPYG00000004182
nomascus_leucogenys ENSNLEG00000003548
colobus_angolensis_palliatus ENSCANG00000023194
piliocolobus_tephrosceles ENSPTEG00000038849
rhinopithecus_roxellana ENSRROG00000041873
rhinopithecus_bieti ENSRBIG00000035904
cercocebus_atys ENSCATG00000036270
mandrillus_leucophaeus ENSMLEG00000041883
macaca_fascicularis ENSMFAG00000032181
macaca_mulatta ENSMMUG00000000375
macaca_nemestrina ENSMNEG00000029942
papio_anubis ENSPANG00000010167
theropithecus_gelada ENSTGEG00000010857
chlorocebus_sabaeus ENSCSAG00000010727
cebus_capucinus ENSCCAG00000024072
saimiri_boliviensis_boliviensis ENSSBOG00000029167
callithrix_jacchus ENSCJAG00000000666
aotus_nancymaae ENSANAG00000025040
carlito_syrichta ENSTSYG00000029682
microcebus_murinus ENSMICG00000009241
prolemur_simus ENSPSMG00000017750
propithecus_coquereli ENSPCOG00000025731
otolemur_garnettii ENSOGAG00000012066
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029924
mus_spicilegus ENSMSIG00000007258
mus_musculus ENSMUSG00000038167
mus_pahari MGP_PahariEiJ_G0022641
rattus_norvegicus ENSRNOG00000019528
meriones_unguiculatus ENSMUGG00000011671
cricetulus_griseus_chok1gshd ENSCGRG00001021507
cricetulus_griseus_crigri ENSCGRG00000015603
cricetulus_griseus_crigri-picr ENSCGRG00015004080
mesocricetus_auratus ENSMAUG00000003624
microtus_ochrogaster ENSMOCG00000006971
peromyscus_maniculatus_bairdii ENSPEMG00000013888
nannospalax_galili ENSNGAG00000011808
jaculus_jaculus ENSJJAG00000022183
castor_canadensis ENSCCNG00000025128
ictidomys_tridecemlineatus ENSSTOG00000010044
urocitellus_parryii ENSUPAG00010013161
spermophilus_dauricus ENSSDAG00000015297
marmota_marmota_marmota ENSMMMG00000017961
chinchilla_lanigera ENSCLAG00000015229
octodon_degus ENSODEG00000005186
cavia_aperea ENSCAPG00000007963
cavia_porcellus ENSCPOG00000000576
heterocephalus_glaber_female ENSHGLG00000001657
heterocephalus_glaber_male ENSHGLG00100008412
fukomys_damarensis ENSFDAG00000009158
pteropus_vampyrus ENSPVAG00000012554
myotis_lucifugus ENSMLUG00000014270
ursus_americanus ENSUAMG00000022549
ursus_maritimus ENSUMAG00000007501
ailuropoda_melanoleuca ENSAMEG00000014597
mustela_putorius_furo ENSMPUG00000016918
neovison_vison ENSNVIG00000024709
canis_lupus_familiaris ENSCAFG00000015203
canis_lupus_dingo ENSCAFG00020015584
vulpes_vulpes ENSVVUG00000012077
panthera_tigris_altaica ENSPTIG00000010482
panthera_pardus ENSPPRG00000008925
felis_catus ENSFCAG00000006865
equus_caballus ENSECAG00000012373
equus_asinus_asinus ENSEASG00005016179
bos_taurus ENSBTAG00000004208
bos_mutus ENSBMUG00000006422
bison_bison_bison ENSBBBG00000012442
capra_hircus ENSCHIG00000013835
ovis_aries ENSOARG00000008529
tursiops_truncatus ENSTTRG00000014463
sus_scrofa ENSSSCG00000000709
erinaceus_europaeus ENSEEUG00000006056
oryctolagus_cuniculus ENSOCUG00000010130
ochotona_princeps ENSOPRG00000012382
loxodonta_africana ENSLAFG00000021440
procavia_capensis ENSPCAG00000008959
dasypus_novemcinctus ENSDNOG00000006637
choloepus_hoffmanni ENSCHOG00000013697
echinops_telfairi ENSETEG00000009986
tupaia_belangeri ENSTBEG00000014500
dipodomys_ordii ENSDORG00000006748
phascolarctos_cinereus ENSPCIG00000033584
notamacropus_eugenii ENSMEUG00000012038
sarcophilus_harrisii ENSSHAG00000014065
monodelphis_domestica ENSMODG00000018054
