paramormyrops_kingsleyae ENSPKIG00000010493
scleropages_formosus ENSSFOG00015008813
poecilia_formosa ENSPFOG00000013852
poecilia_latipinna ENSPLAG00000012451
poecilia_mexicana ENSPMEG00000007745
poecilia_reticulata ENSPREG00000022670
xiphophorus_maculatus ENSXMAG00000012068
xiphophorus_couchianus ENSXCOG00000018902
gambusia_affinis ENSGAFG00000021286
fundulus_heteroclitus ENSFHEG00000017693
cyprinodon_variegatus ENSCVAG00000008243
kryptolebias_marmoratus ENSKMAG00000022085
oryzias_latipes ENSORLG00000008875
oryzias_latipes_asm223469v1 ENSORLG00015021532
oryzias_latipes ENSORLG00020022500
oryzias_melastigma ENSOMEG00000019515
takifugu_rubripes ENSTRUG00000010730
tetraodon_nigroviridis ENSTNIG00000013913
mola_mola ENSMMOG00000019921
labrus_bergylta ENSLBEG00000000680
gasterosteus_aculeatus ENSGACG00000003430
amphiprion_ocellaris ENSAOCG00000015905
amphiprion_percula ENSAPEG00000001311
acanthochromis_polyacanthus ENSAPOG00000000700
stegastes_partitus ENSSPAG00000005736
pundamilia_nyererei ENSPNYG00000019089
haplochromis_burtoni ENSHBUG00000022922
maylandia_zebra ENSMZEG00005022329
astatotilapia_calliptera ENSACLG00000003494
neolamprologus_brichardi ENSNBRG00000006108
oreochromis_niloticus ENSONIG00000014304
amphilophus_citrinellus ENSACIG00000022859
periophthalmus_magnuspinnatus ENSPMGG00000011464
mastacembelus_armatus ENSMAMG00000015589
monopterus_albus ENSMALG00000007157
anabas_testudineus ENSATEG00000010791
seriola_dumerili ENSSDUG00000005349
seriola_lalandi_dorsalis ENSSLDG00000019453
scophthalmus_maximus ENSSMAG00000019043
cynoglossus_semilaevis ENSCSEG00000003241
hippocampus_comes ENSHCOG00000013640
gadus_morhua ENSGMOG00000003239
esox_lucius ENSELUG00000018898
astyanax_mexicanus ENSAMXG00000002684
pygocentrus_nattereri ENSPNAG00000019192
ictalurus_punctatus ENSIPUG00000023554
danio_rerio ENSDARG00000069289
lepisosteus_oculatus ENSLOCG00000010754
pteropus_vampyrus ENSPVAG00000011312
myotis_lucifugus ENSMLUG00000011151
ursus_americanus ENSUAMG00000006116
ursus_maritimus ENSUMAG00000014760
ailuropoda_melanoleuca ENSAMEG00000017175
neovison_vison ENSNVIG00000003339
mustela_putorius_furo ENSMPUG00000001003
canis_lupus_familiaris ENSCAFG00000008512
canis_lupus_dingo ENSCAFG00020026333
vulpes_vulpes ENSVVUG00000024217
panthera_pardus ENSPPRG00000004330
panthera_tigris_altaica ENSPTIG00000007878
felis_catus ENSFCAG00000027000
capra_hircus ENSCHIG00000012998
ovis_aries ENSOARG00000015173
bos_taurus ENSBTAG00000019043
bos_mutus ENSBMUG00000010088
bison_bison_bison ENSBBBG00000012740
vicugna_pacos ENSVPAG00000006909
tursiops_truncatus ENSTTRG00000004785
sus_scrofa ENSSSCG00000037655
sus_scrofa ENSSSCG00000040580
equus_caballus ENSECAG00000018900
equus_asinus_asinus ENSEASG00005008176
saimiri_boliviensis_boliviensis ENSSBOG00000024897
cebus_capucinus ENSCCAG00000030053
aotus_nancymaae ENSANAG00000033356
aotus_nancymaae ENSANAG00000028939
callithrix_jacchus ENSCJAG00000045182
pan_troglodytes ENSPTRG00000042295
gorilla_gorilla ENSGGOG00000036174
pan_troglodytes ENSPTRG00000013810
pan_paniscus ENSPPAG00000035216
homo_sapiens ENSG00000154727
gorilla_gorilla ENSGGOG00000013900
pongo_abelii ENSPPYG00000011306
nomascus_leucogenys ENSNLEG00000002433
macaca_mulatta ENSMMUG00000008727
macaca_fascicularis ENSMFAG00000041587
macaca_nemestrina ENSMNEG00000040851
chlorocebus_sabaeus ENSCSAG00000009015
papio_anubis ENSPANG00000016228
mandrillus_leucophaeus ENSMLEG00000029466
theropithecus_gelada ENSTGEG00000000077
cercocebus_atys ENSCATG00000039489
piliocolobus_tephrosceles ENSPTEG00000024959
colobus_angolensis_palliatus ENSCANG00000031695
rhinopithecus_roxellana ENSRROG00000034285
rhinopithecus_bieti ENSRBIG00000032343
carlito_syrichta ENSTSYG00000026267
prolemur_simus ENSPSMG00000007382
propithecus_coquereli ENSPCOG00000015442
microcebus_murinus ENSMICG00000006341
otolemur_garnettii ENSOGAG00000001648
urocitellus_parryii ENSUPAG00010019838
marmota_marmota_marmota ENSMMMG00000017265
ictidomys_tridecemlineatus ENSSTOG00000008645
spermophilus_dauricus ENSSDAG00000020159
castor_canadensis ENSCCNG00000009843
cavia_porcellus ENSCPOG00000035074
cavia_aperea ENSCAPG00000010411
octodon_degus ENSODEG00000014082
chinchilla_lanigera ENSCLAG00000008257
heterocephalus_glaber_male ENSHGLG00100004000
heterocephalus_glaber_female ENSHGLG00000009462
fukomys_damarensis ENSFDAG00000019616
mus_spicilegus ENSMSIG00000000354
mus_musculus ENSMUSG00000008976
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021796
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020891
mus_pahari MGP_PahariEiJ_G0016595
rattus_norvegicus ENSRNOG00000053205
meriones_unguiculatus ENSMUGG00000009295
meriones_unguiculatus ENSMUGG00000009223
mesocricetus_auratus ENSMAUG00000019747
mesocricetus_auratus ENSMAUG00000016360
cricetulus_griseus_chok1gshd ENSCGRG00001024235
cricetulus_griseus_crigri ENSCGRG00000001400
cricetulus_griseus_crigri-picr ENSCGRG00015002268
microtus_ochrogaster ENSMOCG00000002179
peromyscus_maniculatus_bairdii ENSPEMG00000024152
nannospalax_galili ENSNGAG00000010917
jaculus_jaculus ENSJJAG00000018131
dipodomys_ordii ENSDORG00000014904
oryctolagus_cuniculus ENSOCUG00000006685
ochotona_princeps ENSOPRG00000009283
propithecus_coquereli ENSPCOG00000027632
tupaia_belangeri ENSTBEG00000002362
dasypus_novemcinctus ENSDNOG00000040145
choloepus_hoffmanni ENSCHOG00000010323
sorex_araneus ENSSARG00000001665
erinaceus_europaeus ENSEEUG00000009111
loxodonta_africana ENSLAFG00000011756
loxodonta_africana ENSLAFG00000026253
procavia_capensis ENSPCAG00000005863
echinops_telfairi ENSETEG00000006441
notamacropus_eugenii ENSMEUG00000006840
phascolarctos_cinereus ENSPCIG00000015417
sarcophilus_harrisii ENSSHAG00000010701
monodelphis_domestica ENSMODG00000021010
ornithorhynchus_anatinus ENSOANG00000022349
anolis_carolinensis ENSACAG00000014800
pogona_vitticeps ENSPVIG00000025295
notechis_scutatus ENSNSUG00000016828
salvator_merianae ENSSMRG00000023092
sphenodon_punctatus ENSSPUG00000016502
calidris_pygmaea ENSCPGG00000016289
calidris_pugnax ENSCPUG00000012746
melopsittacus_undulatus ENSMUNG00000005528
lonchura_striata_domestica ENSLSDG00000014494
taeniopygia_guttata ENSTGUG00000013556
serinus_canaria ENSSCAG00000016563
junco_hyemalis ENSJHYG00000007786
zonotrichia_albicollis ENSZALG00000016249
ficedula_albicollis ENSFALG00000011983
cyanistes_caeruleus ENSCCEG00000017843
parus_major ENSPMJG00000012071
lepidothrix_coronata ENSLCOG00000011243
manacus_vitellinus ENSMVIG00005001925
anser_brachyrhynchus ENSABRG00000021661
anas_platyrhynchos_platyrhynchos ENSAPLG00000009339
meleagris_gallopavo ENSMGAG00000014494
coturnix_japonica ENSCJPG00005004682
gallus_gallus ENSGALG00000015763
numida_meleagris ENSNMEG00000010700
apteryx_haastii ENSAHAG00000018783
apteryx_rowi ENSARWG00000003955
apteryx_owenii ENSAOWG00000009057
dromaius_novaehollandiae ENSDNVG00000010120
nothoprocta_perdicaria ENSNPEG00000014929
crocodylus_porosus ENSCPRG00005013411
gopherus_agassizii ENSGAGG00000016634
chelonoidis_abingdonii ENSCABG00000019893
chrysemys_picta_bellii ENSCPBG00000026809
pelodiscus_sinensis ENSPSIG00000011806
xenopus_tropicalis ENSXETG00000013611
latimeria_chalumnae ENSLACG00000003060
eptatretus_burgeri ENSEBUG00000010796
ciona_savignyi ENSCSAVG00000001056
ciona_intestinalis ENSCING00000010923
drosophila_melanogaster FBgn0004510
