danio_rerio ENSDARG00000104068
gadus_morhua ENSGMOG00000012518
paramormyrops_kingsleyae ENSPKIG00000001898
lepisosteus_oculatus ENSLOCG00000012144
lepisosteus_oculatus ENSLOCG00000012152
esox_lucius ENSELUG00000019492
ailuropoda_melanoleuca ENSAMEG00000000681
ailuropoda_melanoleuca ENSAMEG00000001130
mustela_putorius_furo ENSMPUG00000008011
ursus_maritimus ENSUMAG00000013053
ailuropoda_melanoleuca ENSAMEG00000001020
mustela_putorius_furo ENSMPUG00000004029
neovison_vison ENSNVIG00000012875
canis_lupus_familiaris ENSCAFG00000011349
canis_lupus_dingo ENSCAFG00020001675
canis_lupus_dingo ENSCAFG00020008637
canis_lupus_familiaris ENSCAFG00000019307
vulpes_vulpes ENSVVUG00000010240
canis_lupus_familiaris ENSCAFG00000010648
vulpes_vulpes ENSVVUG00000007542
canis_lupus_dingo ENSCAFG00020023404
vulpes_vulpes ENSVVUG00000021922
canis_lupus_dingo ENSCAFG00020000890
canis_lupus_familiaris ENSCAFG00000011452
canis_lupus_familiaris ENSCAFG00000032752
canis_lupus_dingo ENSCAFG00020006794
vulpes_vulpes ENSVVUG00000025381
panthera_tigris_altaica ENSPTIG00000022063
panthera_pardus ENSPPRG00000006958
felis_catus ENSFCAG00000001755
vicugna_pacos ENSVPAG00000008003
sus_scrofa ENSSSCG00000032003
tursiops_truncatus ENSTTRG00000003746
bos_mutus ENSBMUG00000021831
bison_bison_bison ENSBBBG00000011688
bos_taurus ENSBTAG00000051210
capra_hircus ENSCHIG00000014133
ovis_aries ENSOARG00000013165
equus_asinus_asinus ENSEASG00005005960
equus_caballus ENSECAG00000020462
pteropus_vampyrus ENSPVAG00000008586
sorex_araneus ENSSARG00000008962
cebus_capucinus ENSCCAG00000037776
callithrix_jacchus ENSCJAG00000000879
piliocolobus_tephrosceles ENSPTEG00000032674
colobus_angolensis_palliatus ENSCANG00000043708
rhinopithecus_bieti ENSRBIG00000030746
nomascus_leucogenys ENSNLEG00000006448
carlito_syrichta ENSTSYG00000026600
carlito_syrichta ENSTSYG00000027413
otolemur_garnettii ENSOGAG00000001869
echinops_telfairi ENSETEG00000020376
echinops_telfairi ENSETEG00000018654
notamacropus_eugenii ENSMEUG00000008001
anolis_carolinensis ENSACAG00000003940
pogona_vitticeps ENSPVIG00000022995
notechis_scutatus ENSNSUG00000016766
sphenodon_punctatus ENSSPUG00000001733
