eptatretus_burgeri ENSEBUG00000005837
petromyzon_marinus ENSPMAG00000000042
pygocentrus_nattereri ENSPNAG00000022226
astyanax_mexicanus ENSAMXG00000036793
ictalurus_punctatus ENSIPUG00000019398
danio_rerio ENSDARG00000012234
cynoglossus_semilaevis ENSCSEG00000015299
maylandia_zebra ENSMZEG00005007339
astatotilapia_calliptera ENSACLG00000025057
haplochromis_burtoni ENSHBUG00000005878
pundamilia_nyererei ENSPNYG00000001636
neolamprologus_brichardi ENSNBRG00000023031
oreochromis_niloticus ENSONIG00000018267
amphilophus_citrinellus ENSACIG00000013533
amphiprion_ocellaris ENSAOCG00000024072
amphiprion_percula ENSAPEG00000005989
acanthochromis_polyacanthus ENSAPOG00000004411
periophthalmus_magnuspinnatus ENSPMGG00000019153
mola_mola ENSMMOG00000020974
anabas_testudineus ENSATEG00000007386
mastacembelus_armatus ENSMAMG00000005912
seriola_lalandi_dorsalis ENSSLDG00000005747
seriola_dumerili ENSSDUG00000011048
monopterus_albus ENSMALG00000009571
hippocampus_comes ENSHCOG00000011845
scophthalmus_maximus ENSSMAG00000006731
gasterosteus_aculeatus ENSGACG00000003681
labrus_bergylta ENSLBEG00000010882
fundulus_heteroclitus ENSFHEG00000012091
cyprinodon_variegatus ENSCVAG00000006355
xiphophorus_maculatus ENSXMAG00000027968
xiphophorus_couchianus ENSXCOG00000003936
gambusia_affinis ENSGAFG00000012417
poecilia_formosa ENSPFOG00000017453
poecilia_latipinna ENSPLAG00000019206
poecilia_mexicana ENSPMEG00000022009
poecilia_reticulata ENSPREG00000011536
kryptolebias_marmoratus ENSKMAG00000005888
oryzias_latipes ENSORLG00000018778
oryzias_latipes ENSORLG00020022315
oryzias_latipes_asm223469v1 ENSORLG00015022059
oryzias_melastigma ENSOMEG00000004369
stegastes_partitus ENSSPAG00000002270
takifugu_rubripes ENSTRUG00000006170
tetraodon_nigroviridis ENSTNIG00000014411
gadus_morhua ENSGMOG00000002690
esox_lucius ENSELUG00000000273
paramormyrops_kingsleyae ENSPKIG00000001731
scleropages_formosus ENSSFOG00015008814
lepisosteus_oculatus ENSLOCG00000012181
anabas_testudineus ENSATEG00000010020
mastacembelus_armatus ENSMAMG00000000444
gasterosteus_aculeatus ENSGACG00000005761
gadus_morhua ENSGMOG00000016730
calidris_pygmaea ENSCPGG00000001130
melopsittacus_undulatus ENSMUNG00000001256
zonotrichia_albicollis ENSZALG00000004967
junco_hyemalis ENSJHYG00000009178
serinus_canaria ENSSCAG00000006703
parus_major ENSPMJG00000002010
cyanistes_caeruleus ENSCCEG00000021396
ficedula_albicollis ENSFALG00000000739
lonchura_striata_domestica ENSLSDG00000006446
taeniopygia_guttata ENSTGUG00000002797
lepidothrix_coronata ENSLCOG00000012318
manacus_vitellinus ENSMVIG00005013211
gallus_gallus ENSGALG00000002937
anser_brachyrhynchus ENSABRG00000013060
apteryx_owenii ENSAOWG00000007144
apteryx_haastii ENSAHAG00000009176
apteryx_rowi ENSARWG00000014218
dromaius_novaehollandiae ENSDNVG00000018771
numida_meleagris ENSNMEG00000007494
coturnix_japonica ENSCJPG00005005366
anas_platyrhynchos_platyrhynchos ENSAPLG00000030012
nothoprocta_perdicaria ENSNPEG00000002456
meleagris_gallopavo ENSMGAG00000004196
crocodylus_porosus ENSCPRG00005008179
gopherus_agassizii ENSGAGG00000008153
chelonoidis_abingdonii ENSCABG00000000153
chrysemys_picta_bellii ENSCPBG00000016487
anolis_carolinensis ENSACAG00000013688
anolis_carolinensis ENSACAG00000007122
pogona_vitticeps ENSPVIG00000001093
notechis_scutatus ENSNSUG00000005935
salvator_merianae ENSSMRG00000007965
sphenodon_punctatus ENSSPUG00000005306
colobus_angolensis_palliatus ENSCANG00000001511
cebus_capucinus ENSCCAG00000024491
mus_musculus ENSMUSG00000078652
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018054
mus_spicilegus ENSMSIG00000003237
mus_spicilegus ENSMSIG00000006866
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017211
mus_pahari MGP_PahariEiJ_G0018341
rattus_norvegicus ENSRNOG00000051344
meriones_unguiculatus ENSMUGG00000023150
cricetulus_griseus_crigri ENSCGRG00000008901
cricetulus_griseus_crigri-picr ENSCGRG00015000348
cricetulus_griseus_chok1gshd ENSCGRG00001014333
cricetulus_griseus_chok1gshd ENSCGRG00001017957
cricetulus_griseus_crigri ENSCGRG00000004412
mesocricetus_auratus ENSMAUG00000015391
mesocricetus_auratus ENSMAUG00000009462
microtus_ochrogaster ENSMOCG00000002970
microtus_ochrogaster ENSMOCG00000018138
peromyscus_maniculatus_bairdii ENSPEMG00000013099
octodon_degus ENSODEG00000005225
ochotona_princeps ENSOPRG00000012644
chinchilla_lanigera ENSCLAG00000016528
octodon_degus ENSODEG00000018174
heterocephalus_glaber_female ENSHGLG00000013508
heterocephalus_glaber_male ENSHGLG00100000357
fukomys_damarensis ENSFDAG00000015131
cavia_aperea ENSCAPG00000010086
cavia_porcellus ENSCPOG00000012552
vicugna_pacos ENSVPAG00000006200
pteropus_vampyrus ENSPVAG00000008806
piliocolobus_tephrosceles ENSPTEG00000024534
otolemur_garnettii ENSOGAG00000031404
ursus_maritimus ENSUMAG00000022860
panthera_pardus ENSPPRG00000022356
capra_hircus ENSCHIG00000019670
vicugna_pacos ENSVPAG00000002862
homo_sapiens ENSG00000131467
pongo_abelii ENSPPYG00000008372
chlorocebus_sabaeus ENSCSAG00000003352
mandrillus_leucophaeus ENSMLEG00000010594
papio_anubis ENSPANG00000021374
piliocolobus_tephrosceles ENSPTEG00000019198
rhinopithecus_roxellana ENSRROG00000034298
callithrix_jacchus ENSCJAG00000013111
aotus_nancymaae ENSANAG00000023115
pan_troglodytes ENSPTRG00000009225
pan_troglodytes ENSPTRG00000049975
pan_paniscus ENSPPAG00000043945
gorilla_gorilla ENSGGOG00000010707
nomascus_leucogenys ENSNLEG00000011860
macaca_nemestrina ENSMNEG00000003232
macaca_fascicularis ENSMFAG00000046232
macaca_mulatta ENSMMUG00000012685
cercocebus_atys ENSCATG00000043580
theropithecus_gelada ENSTGEG00000011411
rhinopithecus_bieti ENSRBIG00000001980
cebus_capucinus ENSCCAG00000025926
saimiri_boliviensis_boliviensis ENSSBOG00000024784
aotus_nancymaae ENSANAG00000023204
tupaia_belangeri ENSTBEG00000009849
jaculus_jaculus ENSJJAG00000020691
jaculus_jaculus ENSJJAG00000016313
jaculus_jaculus ENSJJAG00000011797
castor_canadensis ENSCCNG00000027013
dipodomys_ordii ENSDORG00000000958
nannospalax_galili ENSNGAG00000005238
ictidomys_tridecemlineatus ENSSTOG00000028833
marmota_marmota_marmota ENSMMMG00000004954
spermophilus_dauricus ENSSDAG00000010325
oryctolagus_cuniculus ENSOCUG00000015986
prolemur_simus ENSPSMG00000006418
otolemur_garnettii ENSOGAG00000009420
microcebus_murinus ENSMICG00000010398
carlito_syrichta ENSTSYG00000002969
piliocolobus_tephrosceles ENSPTEG00000031532
propithecus_coquereli ENSPCOG00000018396
urocitellus_parryii ENSUPAG00010010193
dasypus_novemcinctus ENSDNOG00000014063
tursiops_truncatus ENSTTRG00000011723
sus_scrofa ENSSSCG00000017385
ovis_aries ENSOARG00000003731
capra_hircus ENSCHIG00000007996
bos_mutus ENSBMUG00000015077
bos_taurus ENSBTAG00000019918
bison_bison_bison ENSBBBG00000011526
equus_asinus_asinus ENSEASG00005010051
equus_caballus ENSECAG00000012620
mustela_putorius_furo ENSMPUG00000010027
neovison_vison ENSNVIG00000013505
canis_lupus_dingo ENSCAFG00020013044
canis_lupus_familiaris ENSCAFG00000014716
vulpes_vulpes ENSVVUG00000023894
ursus_americanus ENSUAMG00000013177
ursus_maritimus ENSUMAG00000025062
ailuropoda_melanoleuca ENSAMEG00000006902
panthera_tigris_altaica ENSPTIG00000012451
panthera_pardus ENSPPRG00000009714
felis_catus ENSFCAG00000013130
myotis_lucifugus ENSMLUG00000004084
sorex_araneus ENSSARG00000000378
erinaceus_europaeus ENSEEUG00000010286
procavia_capensis ENSPCAG00000008548
loxodonta_africana ENSLAFG00000013446
echinops_telfairi ENSETEG00000018739
choloepus_hoffmanni ENSCHOG00000005531
notamacropus_eugenii ENSMEUG00000011725
calidris_pugnax ENSCPUG00000014423
ornithorhynchus_anatinus ENSOANG00000032224
xenopus_tropicalis ENSXETG00000012591
latimeria_chalumnae ENSLACG00000002283
ciona_intestinalis ENSCING00000013622
ciona_savignyi ENSCSAVG00000003674
ciona_savignyi ENSCSAVG00000001467
ciona_savignyi ENSCSAVG00000011253
ciona_intestinalis ENSCING00000005209
ciona_savignyi ENSCSAVG00000002237
ciona_intestinalis ENSCING00000003204
phascolarctos_cinereus ENSPCIG00000010757
notamacropus_eugenii ENSMEUG00000014712
monodelphis_domestica ENSMODG00000003532
bos_taurus ENSBTAG00000021395
bos_mutus ENSBMUG00000024815
bison_bison_bison ENSBBBG00000005811
ovis_aries ENSOARG00000019219
capra_hircus ENSCHIG00000009755
sus_scrofa ENSSSCG00000002006
equus_asinus_asinus ENSEASG00005011928
equus_caballus ENSECAG00000016855
ursus_maritimus ENSUMAG00000022690
ursus_americanus ENSUAMG00000024029
ailuropoda_melanoleuca ENSAMEG00000016433
mustela_putorius_furo ENSMPUG00000006035
ailuropoda_melanoleuca ENSAMEG00000013106
panthera_tigris_altaica ENSPTIG00000010395
panthera_pardus ENSPPRG00000021862
felis_catus ENSFCAG00000005583
myotis_lucifugus ENSMLUG00000009707
prolemur_simus ENSPSMG00000015970
propithecus_coquereli ENSPCOG00000018030
microcebus_murinus ENSMICG00000001688
otolemur_garnettii ENSOGAG00000027065
urocitellus_parryii ENSUPAG00010009735
ictidomys_tridecemlineatus ENSSTOG00000022843
marmota_marmota_marmota ENSMMMG00000012296
castor_canadensis ENSCCNG00000001228
tursiops_truncatus ENSTTRG00000008620
bison_bison_bison ENSBBBG00000004915
neovison_vison ENSNVIG00000000210
pteropus_vampyrus ENSPVAG00000007706
saimiri_boliviensis_boliviensis ENSSBOG00000026840
callithrix_jacchus ENSCJAG00000012692
cebus_capucinus ENSCCAG00000006901
aotus_nancymaae ENSANAG00000024372
saimiri_boliviensis_boliviensis ENSSBOG00000016579
cebus_capucinus ENSCCAG00000037264
aotus_nancymaae ENSANAG00000025939
pan_troglodytes ENSPTRG00000006194
pan_paniscus ENSPPAG00000003705
homo_sapiens ENSG00000092010
nomascus_leucogenys ENSNLEG00000033186
colobus_angolensis_palliatus ENSCANG00000031580
carlito_syrichta ENSTSYG00000005636
choloepus_hoffmanni ENSCHOG00000011558
canis_lupus_familiaris ENSCAFG00000011924
vulpes_vulpes ENSVVUG00000029136
cricetulus_griseus_crigri-picr ENSCGRG00015027976
mus_spicilegus ENSMSIG00000031823
loxodonta_africana ENSLAFG00000031762
heterocephalus_glaber_female ENSHGLG00000003645
heterocephalus_glaber_male ENSHGLG00100017421
fukomys_damarensis ENSFDAG00000004669
octodon_degus ENSODEG00000002910
octodon_degus ENSODEG00000005346
chinchilla_lanigera ENSCLAG00000009765
cavia_porcellus ENSCPOG00000000786
spermophilus_dauricus ENSSDAG00000022423
spermophilus_dauricus ENSSDAG00000022436
dipodomys_ordii ENSDORG00000009261
cricetulus_griseus_crigri-picr ENSCGRG00015018267
cricetulus_griseus_chok1gshd ENSCGRG00001021358
cricetulus_griseus_crigri ENSCGRG00000017506
cricetulus_griseus_crigri ENSCGRG00000012397
cricetulus_griseus_chok1gshd ENSCGRG00001001380
cricetulus_griseus_crigri-picr ENSCGRG00015026819
cricetulus_griseus_crigri ENSCGRG00000017936
cricetulus_griseus_chok1gshd ENSCGRG00001008034
mesocricetus_auratus ENSMAUG00000015111
microtus_ochrogaster ENSMOCG00000007640
microtus_ochrogaster ENSMOCG00000001900
peromyscus_maniculatus_bairdii ENSPEMG00000010100
mus_musculus ENSMUSG00000022216
mus_spicilegus ENSMSIG00000031083
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020188
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019299
mus_pahari MGP_PahariEiJ_G0030316
rattus_norvegicus ENSRNOG00000019041
rattus_norvegicus ENSRNOG00000061359
meriones_unguiculatus ENSMUGG00000008558
nannospalax_galili ENSNGAG00000010946
jaculus_jaculus ENSJJAG00000021850
oryctolagus_cuniculus ENSOCUG00000002846
ochotona_princeps ENSOPRG00000016543
gorilla_gorilla ENSGGOG00000038444
pongo_abelii ENSPPYG00000005682
rhinopithecus_bieti ENSRBIG00000026997
rhinopithecus_roxellana ENSRROG00000044408
piliocolobus_tephrosceles ENSPTEG00000019676
macaca_nemestrina ENSMNEG00000028183
macaca_fascicularis ENSMFAG00000043002
macaca_mulatta ENSMMUG00000012462
cercocebus_atys ENSCATG00000034375
papio_anubis ENSPANG00000011733
theropithecus_gelada ENSTGEG00000021579
chlorocebus_sabaeus ENSCSAG00000016177
mandrillus_leucophaeus ENSMLEG00000037456
erinaceus_europaeus ENSEEUG00000010147
sorex_araneus ENSSARG00000010580
tupaia_belangeri ENSTBEG00000016116
procavia_capensis ENSPCAG00000015219
canis_lupus_dingo ENSCAFG00020004093
canis_lupus_dingo ENSCAFG00020012564
vulpes_vulpes ENSVVUG00000029248
dasypus_novemcinctus ENSDNOG00000048973
chelonoidis_abingdonii ENSCABG00000005101
gopherus_agassizii ENSGAGG00000005914
chrysemys_picta_bellii ENSCPBG00000025838
sphenodon_punctatus ENSSPUG00000018037
pogona_vitticeps ENSPVIG00000013202
anolis_carolinensis ENSACAG00000000723
notechis_scutatus ENSNSUG00000017131
salvator_merianae ENSSMRG00000003980
xenopus_tropicalis ENSXETG00000014612
latimeria_chalumnae ENSLACG00000002842
paramormyrops_kingsleyae ENSPKIG00000008074
scleropages_formosus ENSSFOG00015012482
scleropages_formosus ENSSFOG00015014537
haplochromis_burtoni ENSHBUG00000019773
pundamilia_nyererei ENSPNYG00000013040
astatotilapia_calliptera ENSACLG00000016690
maylandia_zebra ENSMZEG00005011982
neolamprologus_brichardi ENSNBRG00000023931
oreochromis_niloticus ENSONIG00000008121
amphilophus_citrinellus ENSACIG00000021829
cynoglossus_semilaevis ENSCSEG00000009693
labrus_bergylta ENSLBEG00000027340
mastacembelus_armatus ENSMAMG00000008487
monopterus_albus ENSMALG00000003065
seriola_lalandi_dorsalis ENSSLDG00000006946
seriola_dumerili ENSSDUG00000020516
scophthalmus_maximus ENSSMAG00000020097
amphiprion_percula ENSAPEG00000009724
amphiprion_ocellaris ENSAOCG00000015688
acanthochromis_polyacanthus ENSAPOG00000014258
stegastes_partitus ENSSPAG00000021536
gasterosteus_aculeatus ENSGACG00000002192
anabas_testudineus ENSATEG00000020699
