pogona_vitticeps ENSPVIG00000002326
anolis_carolinensis ENSACAG00000012338
notechis_scutatus ENSNSUG00000013354
salvator_merianae ENSSMRG00000000518
sphenodon_punctatus ENSSPUG00000017281
calidris_pygmaea ENSCPGG00000015886
calidris_pugnax ENSCPUG00000013465
melopsittacus_undulatus ENSMUNG00000013535
taeniopygia_guttata ENSTGUG00000007122
lonchura_striata_domestica ENSLSDG00000005187
serinus_canaria ENSSCAG00000000608
junco_hyemalis ENSJHYG00000017861
zonotrichia_albicollis ENSZALG00000012937
ficedula_albicollis ENSFALG00000007114
parus_major ENSPMJG00000015505
cyanistes_caeruleus ENSCCEG00000011908
lepidothrix_coronata ENSLCOG00000003677
manacus_vitellinus ENSMVIG00005016428
gallus_gallus ENSGALG00000038722
meleagris_gallopavo ENSMGAG00000006720
numida_meleagris ENSNMEG00000004483
anser_brachyrhynchus ENSABRG00000007643
anas_platyrhynchos_platyrhynchos ENSAPLG00000003522
apteryx_owenii ENSAOWG00000009620
apteryx_haastii ENSAHAG00000004898
apteryx_rowi ENSARWG00000003723
nothoprocta_perdicaria ENSNPEG00000000957
dromaius_novaehollandiae ENSDNVG00000003110
crocodylus_porosus ENSCPRG00005002790
gopherus_agassizii ENSGAGG00000001463
chelonoidis_abingdonii ENSCABG00000017969
chrysemys_picta_bellii ENSCPBG00000024416
pelodiscus_sinensis ENSPSIG00000004601
phascolarctos_cinereus ENSPCIG00000001616
notamacropus_eugenii ENSMEUG00000015168
sarcophilus_harrisii ENSSHAG00000012843
monodelphis_domestica ENSMODG00000005240
choloepus_hoffmanni ENSCHOG00000001214
dasypus_novemcinctus ENSDNOG00000012394
loxodonta_africana ENSLAFG00000002949
procavia_capensis ENSPCAG00000008795
echinops_telfairi ENSETEG00000005578
erinaceus_europaeus ENSEEUG00000008713
sorex_araneus ENSSARG00000002072
bos_taurus ENSBTAG00000002880
bos_mutus ENSBMUG00000019324
bison_bison_bison ENSBBBG00000006180
ovis_aries ENSOARG00000006055
capra_hircus ENSCHIG00000013526
tursiops_truncatus ENSTTRG00000004988
sus_scrofa ENSSSCG00000010494
pteropus_vampyrus ENSPVAG00000008410
myotis_lucifugus ENSMLUG00000010954
ursus_americanus ENSUAMG00000021665
ursus_maritimus ENSUMAG00000021327
ailuropoda_melanoleuca ENSAMEG00000016006
neovison_vison ENSNVIG00000000477
mustela_putorius_furo ENSMPUG00000017117
canis_lupus_familiaris ENSCAFG00000008270
canis_lupus_dingo ENSCAFG00020004931
vulpes_vulpes ENSVVUG00000022815
panthera_tigris_altaica ENSPTIG00000020893
panthera_pardus ENSPPRG00000003547
felis_catus ENSFCAG00000001421
equus_caballus ENSECAG00000018511
equus_asinus_asinus ENSEASG00005011754
pan_troglodytes ENSPTRG00000002784
homo_sapiens ENSG00000095637
gorilla_gorilla ENSGGOG00000010457
pongo_abelii ENSPPYG00000002508
nomascus_leucogenys ENSNLEG00000013078
theropithecus_gelada ENSTGEG00000012937
papio_anubis ENSPANG00000021480
macaca_fascicularis ENSMFAG00000030641
mandrillus_leucophaeus ENSMLEG00000036005
chlorocebus_sabaeus ENSCSAG00000006164
piliocolobus_tephrosceles ENSPTEG00000034685
colobus_angolensis_palliatus ENSCANG00000008183
rhinopithecus_roxellana ENSRROG00000039701
rhinopithecus_bieti ENSRBIG00000039151
saimiri_boliviensis_boliviensis ENSSBOG00000030253
callithrix_jacchus ENSCJAG00000015981
aotus_nancymaae ENSANAG00000034111
macaca_mulatta ENSMMUG00000004818
macaca_nemestrina ENSMNEG00000030814
cercocebus_atys ENSCATG00000037044
pan_paniscus ENSPPAG00000027495
cebus_capucinus ENSCCAG00000030342
carlito_syrichta ENSTSYG00000029191
microcebus_murinus ENSMICG00000015925
prolemur_simus ENSPSMG00000009963
propithecus_coquereli ENSPCOG00000007870
otolemur_garnettii ENSOGAG00000008792
castor_canadensis ENSCCNG00000030395
dipodomys_ordii ENSDORG00000012619
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023860
mus_musculus ENSMUSG00000025006
mus_spicilegus ENSMSIG00000003140
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022939
mus_pahari MGP_PahariEiJ_G0014429
rattus_norvegicus ENSRNOG00000015658
meriones_unguiculatus ENSMUGG00000007774
cricetulus_griseus_chok1gshd ENSCGRG00001003127
cricetulus_griseus_crigri ENSCGRG00000010822
cricetulus_griseus_crigri-picr ENSCGRG00015025646
mesocricetus_auratus ENSMAUG00000021702
microtus_ochrogaster ENSMOCG00000021167
peromyscus_maniculatus_bairdii ENSPEMG00000002699
nannospalax_galili ENSNGAG00000019805
jaculus_jaculus ENSJJAG00000018414
heterocephalus_glaber_male ENSHGLG00100003132
heterocephalus_glaber_female ENSHGLG00000009457
fukomys_damarensis ENSFDAG00000018081
chinchilla_lanigera ENSCLAG00000003089
cavia_porcellus ENSCPOG00000002884
cavia_aperea ENSCAPG00000016791
octodon_degus ENSODEG00000015885
spermophilus_dauricus ENSSDAG00000015275
ictidomys_tridecemlineatus ENSSTOG00000004612
marmota_marmota_marmota ENSMMMG00000019903
urocitellus_parryii ENSUPAG00010010616
ochotona_princeps ENSOPRG00000003183
oryctolagus_cuniculus ENSOCUG00000013647
tupaia_belangeri ENSTBEG00000006525
ornithorhynchus_anatinus ENSOANG00000005136
xenopus_tropicalis ENSXETG00000008821
latimeria_chalumnae ENSLACG00000013876
scleropages_formosus ENSSFOG00015010697
paramormyrops_kingsleyae ENSPKIG00000005306
mastacembelus_armatus ENSMAMG00000013987
monopterus_albus ENSMALG00000008296
anabas_testudineus ENSATEG00000011627
seriola_dumerili ENSSDUG00000018930
seriola_lalandi_dorsalis ENSSLDG00000020563
scophthalmus_maximus ENSSMAG00000013146
amphiprion_percula ENSAPEG00000024791
amphiprion_ocellaris ENSAOCG00000005028
stegastes_partitus ENSSPAG00000018024
acanthochromis_polyacanthus ENSAPOG00000014811
astatotilapia_calliptera ENSACLG00000019832
maylandia_zebra ENSMZEG00005011582
pundamilia_nyererei ENSPNYG00000004261
haplochromis_burtoni ENSHBUG00000012133
neolamprologus_brichardi ENSNBRG00000017256
oreochromis_niloticus ENSONIG00000010334
amphilophus_citrinellus ENSACIG00000003174
labrus_bergylta ENSLBEG00000023552
cynoglossus_semilaevis ENSCSEG00000008115
mola_mola ENSMMOG00000008415
gasterosteus_aculeatus ENSGACG00000003233
takifugu_rubripes ENSTRUG00000017850
tetraodon_nigroviridis ENSTNIG00000013082
hippocampus_comes ENSHCOG00000005027
poecilia_mexicana ENSPMEG00000022152
poecilia_latipinna ENSPLAG00000015499
poecilia_formosa ENSPFOG00000008274
xiphophorus_maculatus ENSXMAG00000007912
xiphophorus_couchianus ENSXCOG00000006014
gambusia_affinis ENSGAFG00000000653
poecilia_reticulata ENSPREG00000002185
cyprinodon_variegatus ENSCVAG00000005248
fundulus_heteroclitus ENSFHEG00000014771
oryzias_latipes ENSORLG00000027680
oryzias_latipes ENSORLG00020004846
oryzias_latipes_asm223469v1 ENSORLG00015019948
oryzias_melastigma ENSOMEG00000016512
kryptolebias_marmoratus ENSKMAG00000007617
periophthalmus_magnuspinnatus ENSPMGG00000008972
gadus_morhua ENSGMOG00000006235
esox_lucius ENSELUG00000020467
pygocentrus_nattereri ENSPNAG00000001090
astyanax_mexicanus ENSAMXG00000009594
ictalurus_punctatus ENSIPUG00000015515
danio_rerio ENSDARG00000103435
gambusia_affinis ENSGAFG00000010195
lepisosteus_oculatus ENSLOCG00000011554
petromyzon_marinus ENSPMAG00000002225
eptatretus_burgeri ENSEBUG00000015351
