ornithorhynchus_anatinus ENSOANG00000030381
phascolarctos_cinereus ENSPCIG00000006734
gallus_gallus ENSGALG00000035365
coturnix_japonica ENSCJPG00005020196
astatotilapia_calliptera ENSACLG00000023562
maylandia_zebra ENSMZEG00005026479
pundamilia_nyererei ENSPNYG00000002811
haplochromis_burtoni ENSHBUG00000005327
neolamprologus_brichardi ENSNBRG00000006336
oreochromis_niloticus ENSONIG00000016720
amphilophus_citrinellus ENSACIG00000013400
poecilia_mexicana ENSPMEG00000001443
poecilia_formosa ENSPFOG00000009204
poecilia_latipinna ENSPLAG00000009088
poecilia_reticulata ENSPREG00000000745
gambusia_affinis ENSGAFG00000020743
xiphophorus_couchianus ENSXCOG00000014400
xiphophorus_maculatus ENSXMAG00000011692
fundulus_heteroclitus ENSFHEG00000006036
cyprinodon_variegatus ENSCVAG00000009972
periophthalmus_magnuspinnatus ENSPMGG00000023241
anabas_testudineus ENSATEG00000024058
mastacembelus_armatus ENSMAMG00000001846
seriola_dumerili ENSSDUG00000002033
seriola_lalandi_dorsalis ENSSLDG00000014113
labrus_bergylta ENSLBEG00000015981
amphiprion_ocellaris ENSAOCG00000013650
amphiprion_percula ENSAPEG00000006689
acanthochromis_polyacanthus ENSAPOG00000021951
stegastes_partitus ENSSPAG00000010005
stegastes_partitus ENSSPAG00000019854
acanthochromis_polyacanthus ENSAPOG00000000311
oryzias_latipes ENSORLG00020011013
oryzias_latipes ENSORLG00000025877
oryzias_melastigma ENSOMEG00000021773
oryzias_latipes ENSORLG00020010990
oryzias_latipes_asm223469v1 ENSORLG00015004961
oryzias_latipes ENSORLG00000015258
oryzias_melastigma ENSOMEG00000021739
oryzias_melastigma ENSOMEG00000013200
takifugu_rubripes ENSTRUG00000015537
tetraodon_nigroviridis ENSTNIG00000012515
mola_mola ENSMMOG00000017331
scophthalmus_maximus ENSSMAG00000020886
cynoglossus_semilaevis ENSCSEG00000021520
hippocampus_comes ENSHCOG00000010296
gadus_morhua ENSGMOG00000007295
esox_lucius ENSELUG00000003242
astyanax_mexicanus ENSAMXG00000036095
danio_rerio ENSDARG00000099586
astyanax_mexicanus ENSAMXG00000038346
pygocentrus_nattereri ENSPNAG00000005165
ictalurus_punctatus ENSIPUG00000011498
danio_rerio ENSDARG00000000887
scleropages_formosus ENSSFOG00015021600
lepisosteus_oculatus ENSLOCG00000004469
paramormyrops_kingsleyae ENSPKIG00000017039
xenopus_tropicalis ENSXETG00000021263
salvator_merianae ENSSMRG00000001577
eptatretus_burgeri ENSEBUG00000000411
eptatretus_burgeri ENSEBUG00000005681
eptatretus_burgeri ENSEBUG00000005577
petromyzon_marinus ENSPMAG00000009653
ciona_savignyi ENSCSAVG00000006579
ciona_intestinalis ENSCING00000015663
drosophila_melanogaster FBgn0036826
