pygocentrus_nattereri ENSPNAG00000011715
astyanax_mexicanus ENSAMXG00000025772
ictalurus_punctatus ENSIPUG00000014130
electrophorus_electricus ENSEEEG00000021399
danio_rerio ENSDARG00000038095
denticeps_clupeoides ENSDCDG00000003410
takifugu_rubripes ENSTRUG00000010558
tetraodon_nigroviridis ENSTNIG00000001079
gasterosteus_aculeatus ENSGACG00000014361
poecilia_formosa ENSPFOG00000009693
fundulus_heteroclitus ENSFHEG00000004304
kryptolebias_marmoratus ENSKMAG00000017919
oryzias_latipes ENSORLG00015022114
oryzias_latipes ENSORLG00020010979
oryzias_latipes ENSORLG00000030397
oryzias_melastigma ENSOMEG00000020621
betta_splendens ENSBSLG00000004425
cottoperca_gobio ENSCGOG00000017716
larimichthys_crocea ENSLCRG00005011506
mola_mola ENSMMOG00000012383
anabas_testudineus ENSATEG00000003694
amphiprion_percula ENSAPEG00000013533
stegastes_partitus ENSSPAG00000015515
cynoglossus_semilaevis ENSCSEG00000018742
astatotilapia_calliptera ENSACLG00000010197
maylandia_zebra ENSMZEG00005007882
pundamilia_nyererei ENSPNYG00000018968
haplochromis_burtoni ENSHBUG00000016248
neolamprologus_brichardi ENSNBRG00000006919
oreochromis_niloticus ENSONIG00000020647
amphilophus_citrinellus ENSACIG00000017291
mastacembelus_armatus ENSMAMG00000004012
hippocampus_comes ENSHCOG00000015543
seriola_dumerili ENSSDUG00000015321
seriola_lalandi ENSSLDG00000017058
lates_calcarifer ENSLCAG00010002864
scophthalmus_maximus ENSSMAG00000008361
labrus_bergylta ENSLBEG00000021700
parambassis_ranga ENSPRNG00000006641
gouania_willdenowi ENSGWIG00000016298
periophthalmus_magnuspinnatus ENSPMGG00000012297
gadus_morhua ENSGMOG00000012036
hucho_hucho ENSHHUG00000009309
esox_lucius ENSELUG00000013999
paramormyrops_kingsleyae ENSPKIG00000018580
scleropages_formosus ENSSFOG00015014200
scleropages_formosus ENSSFOG00015009099
paramormyrops_kingsleyae ENSPKIG00000012662
lepisosteus_oculatus ENSLOCG00000018105
erpetoichthys_calabaricus ENSECRG00000010883
latimeria_chalumnae ENSLACG00000008241
callorhinchus_milii ENSCMIG00000009266
apteryx_owenii ENSAOWG00000002866
apteryx_haastii ENSAHAG00000017990
apteryx_rowi ENSARWG00000000025
nothoprocta_perdicaria ENSNPEG00000012466
taeniopygia_guttata ENSTGUG00000004867
lonchura_striata ENSLSDG00000001195
serinus_canaria ENSSCAG00000011677
zonotrichia_albicollis ENSZALG00000015927
junco_hyemalis ENSJHYG00000017328
ficedula_albicollis ENSFALG00000014772
cyanistes_caeruleus ENSCCEG00000008810
manacus_vitellinus ENSMVIG00005005349
lepidothrix_coronata ENSLCOG00000009972
melopsittacus_undulatus ENSMUNG00000005294
anas_platyrhynchos ENSAPLG00000000830
anser_brachyrhynchus ENSABRG00000008805
coturnix_japonica ENSCJPG00005015928
gallus_gallus ENSGALG00000007158
meleagris_gallopavo ENSMGAG00000015576
numida_meleagris ENSNMEG00000021017
calidris_pygmaea ENSCPGG00000002837
calidris_pugnax ENSCPUG00000016865
crocodylus_porosus ENSCPRG00005003734
chrysemys_picta ENSCPBG00000006512
chelonoidis_abingdonii ENSCABG00000021126
pelodiscus_sinensis ENSPSIG00000017159
pogona_vitticeps ENSPVIG00000013994
anolis_carolinensis ENSACAG00000014599
notechis_scutatus ENSNSUG00000000214
salvator_merianae ENSSMRG00000007736
sphenodon_punctatus ENSSPUG00000003338
notamacropus_eugenii ENSMEUG00000011752
sarcophilus_harrisii ENSSHAG00000000187
rhinopithecus_bieti ENSRBIG00000006588
rhinopithecus_roxellana ENSRROG00000006896
piliocolobus_tephrosceles ENSPTEG00000023610
macaca_fascicularis ENSMFAG00000035312
macaca_mulatta ENSMMUG00000010956
macaca_nemestrina ENSMNEG00000016348
chlorocebus_sabaeus ENSCSAG00000018851
theropithecus_gelada ENSTGEG00000025923
papio_anubis ENSPANG00000000526
cercocebus_atys ENSCATG00000010419
gorilla_gorilla ENSGGOG00000014723
pan_troglodytes ENSPTRG00000007765
homo_sapiens ENSG00000185338
pongo_abelii ENSPPYG00000007099
nomascus_leucogenys ENSNLEG00000018452
saimiri_boliviensis ENSSBOG00000019660
cebus_capucinus ENSCCAG00000020012
callithrix_jacchus ENSCJAG00000062700
aotus_nancymaae ENSANAG00000031396
dasypus_novemcinctus ENSDNOG00000047633
bos_indicus ENSBIXG00000010693
bos_indicus ENSBIXG00005012476
bos_taurus ENSBTAG00000004386
capra_hircus ENSCHIG00000002110
sus_scrofa ENSSSCG00000027855
equus_asinus ENSEASG00005011526
equus_caballus ENSECAG00000026965
pteropus_vampyrus ENSPVAG00000005383
neovison_vison ENSNVIG00000021815
mustela_putorius ENSMPUG00000020049
ursus_americanus ENSUAMG00000020850
panthera_pardus ENSPPRG00000016042
microcebus_murinus ENSMICG00000047224
prolemur_simus ENSPSMG00000004350
propithecus_coquereli ENSPCOG00000012062
ictidomys_tridecemlineatus ENSSTOG00000023400
urocitellus_parryii ENSUPAG00010004662
mus_spicilegus ENSMSIG00000008393
mus_spretus MGP_SPRETEiJ_G0021341
mus_musculus ENSMUSG00000038037
mus_caroli MGP_CAROLIEiJ_G0020447
mus_pahari MGP_PahariEiJ_G0016154
rattus_norvegicus ENSRNOG00000002568
meriones_unguiculatus ENSMUGG00000024534
cricetulus_griseus ENSCGRG00001007612
cricetulus_griseus ENSCGRG00015008806
mesocricetus_auratus ENSMAUG00000015623
peromyscus_maniculatus ENSPEMG00000012362
microtus_ochrogaster ENSMOCG00000012900
nannospalax_galili ENSNGAG00000022861
jaculus_jaculus ENSJJAG00000002198
heterocephalus_glaber ENSHGLG00000017126
heterocephalus_glaber ENSHGLG00100020934
heterocephalus_glaber ENSHGLG00000013288
heterocephalus_glaber ENSHGLG00100012128
fukomys_damarensis ENSFDAG00000012803
chinchilla_lanigera ENSCLAG00000011766
octodon_degus ENSODEG00000012143
cavia_porcellus ENSCPOG00000009175
otolemur_garnettii ENSOGAG00000034069
myotis_lucifugus ENSMLUG00000000674
vicugna_pacos ENSVPAG00000003550
echinops_telfairi ENSETEG00000015273
canis_lupus ENSCAFG00000018916
ailuropoda_melanoleuca ENSAMEG00000014752
felis_catus ENSFCAG00000041934
vulpes_vulpes ENSVVUG00000017915
dipodomys_ordii ENSDORG00000007497
loxodonta_africana ENSLAFG00000027540
xenopus_tropicalis ENSXETG00000020494
latimeria_chalumnae ENSLACG00000000492
callorhinchus_milii ENSCMIG00000002426
