amphiprion_ocellaris ENSAOCG00000012098
amphiprion_percula ENSAPEG00000021051
acanthochromis_polyacanthus ENSAPOG00000018759
stegastes_partitus ENSSPAG00000019819
astatotilapia_calliptera ENSACLG00000025111
maylandia_zebra ENSMZEG00005012008
pundamilia_nyererei ENSPNYG00000004001
haplochromis_burtoni ENSHBUG00000015706
neolamprologus_brichardi ENSNBRG00000007202
oreochromis_niloticus ENSONIG00000000130
amphilophus_citrinellus ENSACIG00000003031
poecilia_formosa ENSPFOG00000019426
poecilia_latipinna ENSPLAG00000016025
poecilia_mexicana ENSPMEG00000004154
poecilia_reticulata ENSPREG00000015899
xiphophorus_couchianus ENSXCOG00000017000
xiphophorus_couchianus ENSXCOG00000016999
xiphophorus_maculatus ENSXMAG00000004046
xiphophorus_couchianus ENSXCOG00000008169
gambusia_affinis ENSGAFG00000000504
cyprinodon_variegatus ENSCVAG00000019180
fundulus_heteroclitus ENSFHEG00000009865
kryptolebias_marmoratus ENSKMAG00000002474
oryzias_latipes ENSORLG00020001173
oryzias_latipes_asm223469v1 ENSORLG00015016033
oryzias_latipes ENSORLG00000002313
oryzias_melastigma ENSOMEG00000005948
tetraodon_nigroviridis ENSTNIG00000005569
tetraodon_nigroviridis ENSTNIG00000008219
takifugu_rubripes ENSTRUG00000000186
gasterosteus_aculeatus ENSGACG00000004946
cynoglossus_semilaevis ENSCSEG00000013512
anabas_testudineus ENSATEG00000024738
mastacembelus_armatus ENSMAMG00000003055
monopterus_albus ENSMALG00000013644
labrus_bergylta ENSLBEG00000002581
mola_mola ENSMMOG00000017892
mola_mola ENSMMOG00000017888
monopterus_albus ENSMALG00000021451
seriola_dumerili ENSSDUG00000008759
seriola_lalandi_dorsalis ENSSLDG00000010642
scophthalmus_maximus ENSSMAG00000009004
hippocampus_comes ENSHCOG00000014351
periophthalmus_magnuspinnatus ENSPMGG00000022121
gadus_morhua ENSGMOG00000005838
esox_lucius ENSELUG00000021919
pygocentrus_nattereri ENSPNAG00000008080
astyanax_mexicanus ENSAMXG00000009056
danio_rerio ENSDARG00000003576
scleropages_formosus ENSSFOG00015011149
paramormyrops_kingsleyae ENSPKIG00000025636
nothoprocta_perdicaria ENSNPEG00000007880
chrysemys_picta_bellii ENSCPBG00000003479
gopherus_agassizii ENSGAGG00000020726
pelodiscus_sinensis ENSPSIG00000002471
chelonoidis_abingdonii ENSCABG00000005728
crocodylus_porosus ENSCPRG00005017348
notechis_scutatus ENSNSUG00000017874
notechis_scutatus ENSNSUG00000017875
sphenodon_punctatus ENSSPUG00000013814
crocodylus_porosus ENSCPRG00005017350
chelonoidis_abingdonii ENSCABG00000005731
sphenodon_punctatus ENSSPUG00000013823
lepidothrix_coronata ENSLCOG00000011757
manacus_vitellinus ENSMVIG00005001438
cyanistes_caeruleus ENSCCEG00000015952
parus_major ENSPMJG00000001160
taeniopygia_guttata ENSTGUG00000012306
lonchura_striata_domestica ENSLSDG00000013149
serinus_canaria ENSSCAG00000001341
junco_hyemalis ENSJHYG00000001630
