poecilia_reticulata ENSPREG00000011816
poecilia_latipinna ENSPLAG00000015761
xiphophorus_maculatus ENSXMAG00000022024
xiphophorus_couchianus ENSXCOG00000011495
cyprinodon_variegatus ENSCVAG00000014421
amphilophus_citrinellus ENSACIG00000024433
maylandia_zebra ENSMZEG00005001214
maylandia_zebra ENSMZEG00005002975
astatotilapia_calliptera ENSACLG00000016798
pundamilia_nyererei ENSPNYG00000012406
poecilia_mexicana ENSPMEG00000006970
amphiprion_ocellaris ENSAOCG00000013547
betta_splendens ENSBSLG00000012528
labrus_bergylta ENSLBEG00000006730
