anabas_testudineus ENSATEG00000004556
periophthalmus_magnuspinnatus ENSPMGG00000014407
poecilia_latipinna ENSPLAG00000018263
poecilia_mexicana ENSPMEG00000024416
xiphophorus_couchianus ENSXCOG00000004923
xiphophorus_maculatus ENSXMAG00000023117
gambusia_affinis ENSGAFG00000014980
fundulus_heteroclitus ENSFHEG00000015747
cyprinodon_variegatus ENSCVAG00000000833
oryzias_latipes ENSORLG00020018027
labrus_bergylta ENSLBEG00000005120
anas_platyrhynchos_platyrhynchos ENSAPLG00000022341
gallus_gallus ENSGALG00000050216
nothoprocta_perdicaria ENSNPEG00000002847
cercocebus_atys ENSCATG00000007606
theropithecus_gelada ENSTGEG00000018708
theropithecus_gelada ENSTGEG00000018557
