sus_scrofa ENSSSCG00000005506
vicugna_pacos ENSVPAG00000012575
bos_mutus ENSBMUG00000015984
bison_bison_bison ENSBBBG00000019166
bos_taurus ENSBTAG00000013706
capra_hircus ENSCHIG00000027246
ovis_aries ENSOARG00000005705
tursiops_truncatus ENSTTRG00000007135
equus_caballus ENSECAG00000000134
equus_asinus_asinus ENSEASG00005022032
ursus_americanus ENSUAMG00000016501
ursus_maritimus ENSUMAG00000004159
ailuropoda_melanoleuca ENSAMEG00000001232
mustela_putorius_furo ENSMPUG00000007741
neovison_vison ENSNVIG00000009651
canis_lupus_dingo ENSCAFG00020009096
panthera_tigris_altaica ENSPTIG00000012024
panthera_pardus ENSPPRG00000007070
felis_catus ENSFCAG00000033858
myotis_lucifugus ENSMLUG00000005011
pteropus_vampyrus ENSPVAG00000004502
erinaceus_europaeus ENSEEUG00000007602
sorex_araneus ENSSARG00000007393
pan_troglodytes ENSPTRG00000021303
pan_paniscus ENSPPAG00000000986
gorilla_gorilla ENSGGOG00000015277
homo_sapiens ENSG00000106780
pongo_abelii ENSPPYG00000019551
nomascus_leucogenys ENSNLEG00000017020
macaca_nemestrina ENSMNEG00000024832
macaca_mulatta ENSMMUG00000015885
macaca_fascicularis ENSMFAG00000032363
cercocebus_atys ENSCATG00000034491
mandrillus_leucophaeus ENSMLEG00000031479
theropithecus_gelada ENSTGEG00000026658
papio_anubis ENSPANG00000025814
chlorocebus_sabaeus ENSCSAG00000013180
rhinopithecus_roxellana ENSRROG00000038926
rhinopithecus_bieti ENSRBIG00000037703
piliocolobus_tephrosceles ENSPTEG00000036782
colobus_angolensis_palliatus ENSCANG00000031447
saimiri_boliviensis_boliviensis ENSSBOG00000035302
cebus_capucinus ENSCCAG00000029667
callithrix_jacchus ENSCJAG00000020344
aotus_nancymaae ENSANAG00000023066
carlito_syrichta ENSTSYG00000008516
propithecus_coquereli ENSPCOG00000027969
prolemur_simus ENSPSMG00000023832
microcebus_murinus ENSMICG00000003283
otolemur_garnettii ENSOGAG00000009838
tupaia_belangeri ENSTBEG00000009879
urocitellus_parryii ENSUPAG00010011071
ictidomys_tridecemlineatus ENSSTOG00000013036
marmota_marmota_marmota ENSMMMG00000019361
spermophilus_dauricus ENSSDAG00000015108
dipodomys_ordii ENSDORG00000011670
fukomys_damarensis ENSFDAG00000017610
heterocephalus_glaber_female ENSHGLG00000014426
cavia_porcellus ENSCPOG00000007428
octodon_degus ENSODEG00000002350
chinchilla_lanigera ENSCLAG00000013366
mus_spicilegus ENSMSIG00000016673
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027072
mus_musculus ENSMUSG00000039270
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026106
mus_pahari MGP_PahariEiJ_G0028444
rattus_norvegicus ENSRNOG00000005932
meriones_unguiculatus ENSMUGG00000026120
peromyscus_maniculatus_bairdii ENSPEMG00000027304
microtus_ochrogaster ENSMOCG00000018603
cricetulus_griseus_chok1gshd ENSCGRG00001023864
cricetulus_griseus_crigri-picr ENSCGRG00015012651
cricetulus_griseus_crigri ENSCGRG00000012022
mesocricetus_auratus ENSMAUG00000009827
nannospalax_galili ENSNGAG00000015005
jaculus_jaculus ENSJJAG00000000744
oryctolagus_cuniculus ENSOCUG00000009745
ochotona_princeps ENSOPRG00000015070
loxodonta_africana ENSLAFG00000012164
procavia_capensis ENSPCAG00000013609
choloepus_hoffmanni ENSCHOG00000011495
dasypus_novemcinctus ENSDNOG00000039460
notamacropus_eugenii ENSMEUG00000014963
phascolarctos_cinereus ENSPCIG00000033706
sarcophilus_harrisii ENSSHAG00000016698
monodelphis_domestica ENSMODG00000019630
ornithorhynchus_anatinus ENSOANG00000014651
gopherus_agassizii ENSGAGG00000011667
chelonoidis_abingdonii ENSCABG00000017388
chrysemys_picta_bellii ENSCPBG00000006154
pelodiscus_sinensis ENSPSIG00000003302
crocodylus_porosus ENSCPRG00005013916
sphenodon_punctatus ENSSPUG00000018098
anser_brachyrhynchus ENSABRG00000022921
anas_platyrhynchos_platyrhynchos ENSAPLG00000031052
gallus_gallus ENSGALG00000053670
meleagris_gallopavo ENSMGAG00000003399
coturnix_japonica ENSCJPG00005019848
numida_meleagris ENSNMEG00000006630
calidris_pygmaea ENSCPGG00000005240
calidris_pugnax ENSCPUG00000011527
serinus_canaria ENSSCAG00000006583
taeniopygia_guttata ENSTGUG00000003393
lonchura_striata_domestica ENSLSDG00000016167
ficedula_albicollis ENSFALG00000001281
cyanistes_caeruleus ENSCCEG00000024112
parus_major ENSPMJG00000009574
zonotrichia_albicollis ENSZALG00000001189
junco_hyemalis ENSJHYG00000012054
lepidothrix_coronata ENSLCOG00000006843
manacus_vitellinus ENSMVIG00005004501
melopsittacus_undulatus ENSMUNG00000015374
apteryx_haastii ENSAHAG00000016240
apteryx_owenii ENSAOWG00000010843
apteryx_rowi ENSARWG00000018564
dromaius_novaehollandiae ENSDNVG00000019109
nothoprocta_perdicaria ENSNPEG00000003985
anolis_carolinensis ENSACAG00000013773
pogona_vitticeps ENSPVIG00000003434
notechis_scutatus ENSNSUG00000008780
salvator_merianae ENSSMRG00000010417
latimeria_chalumnae ENSLACG00000015218
ciona_savignyi ENSCSAVG00000010201
ciona_intestinalis ENSCING00000007891
