phascolarctos_cinereus ENSPCIG00000008293
notamacropus_eugenii ENSMEUG00000000841
sarcophilus_harrisii ENSSHAG00000002832
monodelphis_domestica ENSMODG00000019669
ochotona_princeps ENSOPRG00000007609
echinops_telfairi ENSETEG00000016923
procavia_capensis ENSPCAG00000008710
otolemur_garnettii ENSOGAG00000005673
dasypus_novemcinctus ENSDNOG00000035525
dasypus_novemcinctus ENSDNOG00000045299
callithrix_jacchus ENSCJAG00000011912
saimiri_boliviensis_boliviensis ENSSBOG00000024541
cebus_capucinus ENSCCAG00000035597
aotus_nancymaae ENSANAG00000034233
macaca_fascicularis ENSMFAG00000003033
mandrillus_leucophaeus ENSMLEG00000039154
colobus_angolensis_palliatus ENSCANG00000032563
theropithecus_gelada ENSTGEG00000023825
papio_anubis ENSPANG00000024336
cercocebus_atys ENSCATG00000035307
macaca_mulatta ENSMMUG00000007510
macaca_nemestrina ENSMNEG00000037248
chlorocebus_sabaeus ENSCSAG00000010686
rhinopithecus_roxellana ENSRROG00000041539
rhinopithecus_bieti ENSRBIG00000039713
piliocolobus_tephrosceles ENSPTEG00000019003
homo_sapiens ENSG00000177156
gorilla_gorilla ENSGGOG00000010746
pan_troglodytes ENSPTRG00000003132
pan_paniscus ENSPPAG00000033253
pongo_abelii ENSPPYG00000002880
nomascus_leucogenys ENSNLEG00000008533
carlito_syrichta ENSTSYG00000033430
propithecus_coquereli ENSPCOG00000018282
prolemur_simus ENSPSMG00000008332
microcebus_murinus ENSMICG00000008362
dipodomys_ordii ENSDORG00000016454
castor_canadensis ENSCCNG00000011173
ictidomys_tridecemlineatus ENSSTOG00000013865
urocitellus_parryii ENSUPAG00010022876
marmota_marmota_marmota ENSMMMG00000005964
spermophilus_dauricus ENSSDAG00000001366
cricetulus_griseus_chok1gshd ENSCGRG00001013123
cricetulus_griseus_crigri-picr ENSCGRG00015027152
cricetulus_griseus_crigri ENSCGRG00000011506
cricetulus_griseus_chok1gshd ENSCGRG00001016135
cricetulus_griseus_crigri-picr ENSCGRG00015026759
mesocricetus_auratus ENSMAUG00000001586
peromyscus_maniculatus_bairdii ENSPEMG00000016776
microtus_ochrogaster ENSMOCG00000018177
mus_spicilegus ENSMSIG00000027437
mus_spicilegus ENSMSIG00000022561
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031804
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030693
mus_musculus ENSMUSG00000025503
mus_pahari MGP_PahariEiJ_G0013892
rattus_norvegicus ENSRNOG00000018367
meriones_unguiculatus ENSMUGG00000012516
nannospalax_galili ENSNGAG00000012265
jaculus_jaculus ENSJJAG00000020195
heterocephalus_glaber_male ENSHGLG00100010364
heterocephalus_glaber_female ENSHGLG00000006299
fukomys_damarensis ENSFDAG00000021353
octodon_degus ENSODEG00000020514
octodon_degus ENSODEG00000014998
octodon_degus ENSODEG00000005470
cavia_porcellus ENSCPOG00000001899
cavia_aperea ENSCAPG00000013013
chinchilla_lanigera ENSCLAG00000001681
tupaia_belangeri ENSTBEG00000004115
pteropus_vampyrus ENSPVAG00000017686
myotis_lucifugus ENSMLUG00000017583
ursus_americanus ENSUAMG00000022163
ursus_maritimus ENSUMAG00000005754
ailuropoda_melanoleuca ENSAMEG00000006993
mustela_putorius_furo ENSMPUG00000009000
neovison_vison ENSNVIG00000006068
canis_lupus_familiaris ENSCAFG00000006594
canis_lupus_familiaris ENSCAFG00000029403
canis_lupus_dingo ENSCAFG00020006881
vulpes_vulpes ENSVVUG00000017255
panthera_pardus ENSPPRG00000003338
panthera_tigris_altaica ENSPTIG00000017393
felis_catus ENSFCAG00000007593
capra_hircus ENSCHIG00000010935
ovis_aries ENSOARG00000006093
bos_taurus ENSBTAG00000010336
