monodelphis_domestica ENSMODG00000014030
phascolarctos_cinereus ENSPCIG00000029722
dasypus_novemcinctus ENSDNOG00000004851
choloepus_hoffmanni ENSCHOG00000006880
loxodonta_africana ENSLAFG00000026609
myotis_lucifugus ENSMLUG00000010221
pteropus_vampyrus ENSPVAG00000014470
equus_asinus_asinus ENSEASG00005009177
equus_caballus ENSECAG00000006499
ailuropoda_melanoleuca ENSAMEG00000019169
ursus_americanus ENSUAMG00000013226
neovison_vison ENSNVIG00000001200
mustela_putorius_furo ENSMPUG00000018746
canis_lupus_dingo ENSCAFG00020024514
canis_lupus_familiaris ENSCAFG00000018968
vulpes_vulpes ENSVVUG00000024748
felis_catus ENSFCAG00000043264
bos_taurus ENSBTAG00000039388
bos_mutus ENSBMUG00000006822
bison_bison_bison ENSBBBG00000005840
ovis_aries ENSOARG00000009481
sus_scrofa ENSSSCG00000040432
pan_paniscus ENSPPAG00000016837
pan_troglodytes ENSPTRG00000022324
homo_sapiens ENSG00000165370
gorilla_gorilla ENSGGOG00000005255
pongo_abelii ENSPPYG00000020773
nomascus_leucogenys ENSNLEG00000018828
papio_anubis ENSPANG00000010358
chlorocebus_sabaeus ENSCSAG00000000292
theropithecus_gelada ENSTGEG00000003764
cercocebus_atys ENSCATG00000021853
macaca_fascicularis ENSMFAG00000030844
macaca_mulatta ENSMMUG00000005605
macaca_nemestrina ENSMNEG00000019061
mandrillus_leucophaeus ENSMLEG00000026912
piliocolobus_tephrosceles ENSPTEG00000015627
callithrix_jacchus ENSCJAG00000022249
prolemur_simus ENSPSMG00000000577
tupaia_belangeri ENSTBEG00000012692
otolemur_garnettii ENSOGAG00000006478
castor_canadensis ENSCCNG00000000924
dipodomys_ordii ENSDORG00000011583
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034255
mus_spicilegus ENSMSIG00000005697
mus_musculus ENSMUSG00000036357
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033100
mus_pahari MGP_PahariEiJ_G0031643
rattus_norvegicus ENSRNOG00000027658
meriones_unguiculatus ENSMUGG00000004937
peromyscus_maniculatus_bairdii ENSPEMG00000025689
microtus_ochrogaster ENSMOCG00000019682
cricetulus_griseus_chok1gshd ENSCGRG00001012303
cricetulus_griseus_crigri ENSCGRG00000018911
cricetulus_griseus_crigri-picr ENSCGRG00015010144
mesocricetus_auratus ENSMAUG00000000743
jaculus_jaculus ENSJJAG00000022761
urocitellus_parryii ENSUPAG00010012948
ictidomys_tridecemlineatus ENSSTOG00000002026
spermophilus_dauricus ENSSDAG00000018056
marmota_marmota_marmota ENSMMMG00000012861
cavia_porcellus ENSCPOG00000010216
cavia_aperea ENSCAPG00000003772
chinchilla_lanigera ENSCLAG00000002046
heterocephalus_glaber_female ENSHGLG00000008046
heterocephalus_glaber_male ENSHGLG00100001317
fukomys_damarensis ENSFDAG00000001436
oryctolagus_cuniculus ENSOCUG00000027130
ornithorhynchus_anatinus ENSOANG00000011666
xenopus_tropicalis ENSXETG00000003478
pygocentrus_nattereri ENSPNAG00000019520
astyanax_mexicanus ENSAMXG00000012340
ictalurus_punctatus ENSIPUG00000022275
danio_rerio ENSDARG00000039218
gasterosteus_aculeatus ENSGACG00000017216
hippocampus_comes ENSHCOG00000001146
seriola_lalandi_dorsalis ENSSLDG00000005014
monopterus_albus ENSMALG00000009794
mastacembelus_armatus ENSMAMG00000020616
mola_mola ENSMMOG00000001058
seriola_dumerili ENSSDUG00000000102
seriola_lalandi_dorsalis ENSSLDG00000021501
scophthalmus_maximus ENSSMAG00000014750
cynoglossus_semilaevis ENSCSEG00000005199
labrus_bergylta ENSLBEG00000009825
anabas_testudineus ENSATEG00000017240
poecilia_formosa ENSPFOG00000020751
poecilia_latipinna ENSPLAG00000010542
poecilia_mexicana ENSPMEG00000007693
poecilia_reticulata ENSPREG00000010211
xiphophorus_couchianus ENSXCOG00000016081
xiphophorus_maculatus ENSXMAG00000023266
gambusia_affinis ENSGAFG00000019915
cyprinodon_variegatus ENSCVAG00000008750
fundulus_heteroclitus ENSFHEG00000016641
kryptolebias_marmoratus ENSKMAG00000001937
oryzias_latipes ENSORLG00020021209
oryzias_latipes_asm223469v1 ENSORLG00015010901
oryzias_latipes ENSORLG00000001659
oryzias_melastigma ENSOMEG00000016677
pundamilia_nyererei ENSPNYG00000012646
haplochromis_burtoni ENSHBUG00000015125
astatotilapia_calliptera ENSACLG00000000029
maylandia_zebra ENSMZEG00005006358
neolamprologus_brichardi ENSNBRG00000022218
oreochromis_niloticus ENSONIG00000002714
amphilophus_citrinellus ENSACIG00000011530
amphiprion_ocellaris ENSAOCG00000021069
amphiprion_percula ENSAPEG00000007409
acanthochromis_polyacanthus ENSAPOG00000006369
stegastes_partitus ENSSPAG00000008476
tetraodon_nigroviridis ENSTNIG00000016842
takifugu_rubripes ENSTRUG00000022610
periophthalmus_magnuspinnatus ENSPMGG00000017901
gadus_morhua ENSGMOG00000004449
esox_lucius ENSELUG00000003527
paramormyrops_kingsleyae ENSPKIG00000017683
lepisosteus_oculatus ENSLOCG00000017492
