esox_lucius ENSELUG00000003822
danio_rerio ENSDARG00000067646
lepisosteus_oculatus ENSLOCG00000010401
chrysemys_picta_bellii ENSCPBG00000013939
gopherus_agassizii ENSGAGG00000009236
pelodiscus_sinensis ENSPSIG00000011054
crocodylus_porosus ENSCPRG00005005985
anolis_carolinensis ENSACAG00000007083
pogona_vitticeps ENSPVIG00000010932
phascolarctos_cinereus ENSPCIG00000026824
sarcophilus_harrisii ENSSHAG00000001986
monodelphis_domestica ENSMODG00000001250
castor_canadensis ENSCCNG00000017898
castor_canadensis ENSCCNG00000017900
urocitellus_parryii ENSUPAG00010012017
spermophilus_dauricus ENSSDAG00000002433
marmota_marmota_marmota ENSMMMG00000008697
heterocephalus_glaber_male ENSHGLG00100010798
heterocephalus_glaber_female ENSHGLG00000010153
fukomys_damarensis ENSFDAG00000014123
chinchilla_lanigera ENSCLAG00000005961
octodon_degus ENSODEG00000002934
cavia_porcellus ENSCPOG00000004284
oryctolagus_cuniculus ENSOCUG00000009594
ochotona_princeps ENSOPRG00000014244
tupaia_belangeri ENSTBEG00000009267
pan_troglodytes ENSPTRG00000017123
pan_paniscus ENSPPAG00000039615
homo_sapiens ENSG00000186952
gorilla_gorilla ENSGGOG00000005241
pongo_abelii ENSPPYG00000015676
nomascus_leucogenys ENSNLEG00000011340
piliocolobus_tephrosceles ENSPTEG00000019964
colobus_angolensis_palliatus ENSCANG00000023339
rhinopithecus_bieti ENSRBIG00000027602
macaca_fascicularis ENSMFAG00000001672
macaca_mulatta ENSMMUG00000004275
macaca_nemestrina ENSMNEG00000032639
cercocebus_atys ENSCATG00000029729
papio_anubis ENSPANG00000022644
theropithecus_gelada ENSTGEG00000009461
chlorocebus_sabaeus ENSCSAG00000015059
saimiri_boliviensis_boliviensis ENSSBOG00000034059
cebus_capucinus ENSCCAG00000002879
callithrix_jacchus ENSCJAG00000016241
aotus_nancymaae ENSANAG00000024302
carlito_syrichta ENSTSYG00000010946
microcebus_murinus ENSMICG00000004950
otolemur_garnettii ENSOGAG00000004680
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022738
mus_musculus ENSMUSG00000045036
mus_spicilegus ENSMSIG00000030550
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021827
mus_pahari MGP_PahariEiJ_G0020815
rattus_norvegicus ENSRNOG00000031348
meriones_unguiculatus ENSMUGG00000007047
microtus_ochrogaster ENSMOCG00000003862
peromyscus_maniculatus_bairdii ENSPEMG00000001397
cricetulus_griseus_chok1gshd ENSCGRG00001007934
cricetulus_griseus_crigri-picr ENSCGRG00015019780
cricetulus_griseus_crigri ENSCGRG00000005574
mesocricetus_auratus ENSMAUG00000005921
nannospalax_galili ENSNGAG00000016844
neovison_vison ENSNVIG00000020918
equus_asinus_asinus ENSEASG00005015729
propithecus_coquereli ENSPCOG00000018976
prolemur_simus ENSPSMG00000012160
rhinopithecus_roxellana ENSRROG00000043033
mandrillus_leucophaeus ENSMLEG00000031202
bos_mutus ENSBMUG00000002955
bison_bison_bison ENSBBBG00000019790
bos_taurus ENSBTAG00000030198
ovis_aries ENSOARG00000018924
capra_hircus ENSCHIG00000026976
tursiops_truncatus ENSTTRG00000012405
sus_scrofa ENSSSCG00000014196
vicugna_pacos ENSVPAG00000006731
ursus_americanus ENSUAMG00000011341
ursus_americanus ENSUAMG00000011339
ursus_maritimus ENSUMAG00000015546
ailuropoda_melanoleuca ENSAMEG00000011889
mustela_putorius_furo ENSMPUG00000012642
canis_lupus_familiaris ENSCAFG00000007400
canis_lupus_dingo ENSCAFG00020013399
vulpes_vulpes ENSVVUG00000012986
panthera_pardus ENSPPRG00000004225
panthera_tigris_altaica ENSPTIG00000009293
felis_catus ENSFCAG00000010837
pteropus_vampyrus ENSPVAG00000003413
myotis_lucifugus ENSMLUG00000009460
equus_caballus ENSECAG00000022708
equus_asinus_asinus ENSEASG00005015731
sorex_araneus ENSSARG00000003098
loxodonta_africana ENSLAFG00000016404
procavia_capensis ENSPCAG00000006427
echinops_telfairi ENSETEG00000006682
choloepus_hoffmanni ENSCHOG00000011222
dasypus_novemcinctus ENSDNOG00000023971
ornithorhynchus_anatinus ENSOANG00000022701
xenopus_tropicalis ENSXETG00000021258
latimeria_chalumnae ENSLACG00000022304
