acanthochromis_polyacanthus ENSAPOG00000006668
amphiprion_percula ENSAPEG00000000103
stegastes_partitus ENSSPAG00000003881
parambassis_ranga ENSPRNG00000004220
maylandia_zebra ENSMZEG00005013960
haplochromis_burtoni ENSHBUG00000008247
pundamilia_nyererei ENSPNYG00000024205
astatotilapia_calliptera ENSACLG00000011896
neolamprologus_brichardi ENSNBRG00000019196
amphilophus_citrinellus ENSACIG00000020940
poecilia_reticulata ENSPREG00000004220
poecilia_mexicana ENSPMEG00000010771
poecilia_formosa ENSPFOG00000024028
poecilia_latipinna ENSPLAG00000008665
xiphophorus_maculatus ENSXMAG00000021427
xiphophorus_couchianus ENSXCOG00000013968
gambusia_affinis ENSGAFG00000013350
cyprinodon_variegatus ENSCVAG00000003286
fundulus_heteroclitus ENSFHEG00000021430
kryptolebias_marmoratus ENSKMAG00000002846
oryzias_latipes ENSORLG00000026667
oryzias_latipes ENSORLG00020001420
oryzias_latipes ENSORLG00015002649
oryzias_melastigma ENSOMEG00000005624
seriola_lalandi ENSSLDG00000008521
seriola_dumerili ENSSDUG00000015203
lates_calcarifer ENSLCAG00010018646
anabas_testudineus ENSATEG00000021010
betta_splendens ENSBSLG00000011712
mastacembelus_armatus ENSMAMG00000014935
takifugu_rubripes ENSTRUG00000024372
monopterus_albus ENSMALG00000014453
hippocampus_comes ENSHCOG00000018907
labrus_bergylta ENSLBEG00000026011
scophthalmus_maximus ENSSMAG00000009214
cynoglossus_semilaevis ENSCSEG00000002996
periophthalmus_magnuspinnatus ENSPMGG00000017976
larimichthys_crocea ENSLCRG00005014616
cottoperca_gobio ENSCGOG00000002224
mola_mola ENSMMOG00000006507
gouania_willdenowi ENSGWIG00000000858
paramormyrops_kingsleyae ENSPKIG00000002788
scleropages_formosus ENSSFOG00015009353
