ornithorhynchus_anatinus ENSOANG00000028825
ciona_intestinalis ENSCING00000021253
drosophila_melanogaster FBgn0015010
drosophila_melanogaster FBgn0020508
drosophila_melanogaster FBgn0052679
drosophila_melanogaster FBgn0261848
drosophila_melanogaster FBgn0030562
drosophila_melanogaster FBgn0034623
drosophila_melanogaster FBgn0034624
drosophila_melanogaster FBgn0036072
drosophila_melanogaster FBgn0050488
drosophila_melanogaster FBgn0032853
drosophila_melanogaster FBgn0050486
drosophila_melanogaster FBgn0250842
drosophila_melanogaster FBgn0035042
drosophila_melanogaster FBgn0260766
drosophila_melanogaster FBgn0037888
drosophila_melanogaster FBgn0037879
drosophila_melanogaster FBgn0037889
drosophila_melanogaster FBgn0264298
drosophila_melanogaster FBgn0264297
drosophila_melanogaster FBgn0264299
drosophila_melanogaster FBgn0036070
caenorhabditis_elegans WBGene00015246
