sus_scrofa ENSSSCG00000010506
vicugna_pacos ENSVPAG00000004904
bos_taurus ENSBTAG00000011740
bos_mutus ENSBMUG00000020786
bison_bison_bison ENSBBBG00000007059
capra_hircus ENSCHIG00000017059
ovis_aries ENSOARG00000007746
tursiops_truncatus ENSTTRG00000015941
equus_caballus ENSECAG00000015305
equus_asinus_asinus ENSEASG00005011327
canis_lupus_familiaris ENSCAFG00000008530
vulpes_vulpes ENSVVUG00000022943
mustela_putorius_furo ENSMPUG00000017082
neovison_vison ENSNVIG00000020971
ursus_americanus ENSUAMG00000020755
ursus_maritimus ENSUMAG00000021392
ailuropoda_melanoleuca ENSAMEG00000000256
panthera_tigris_altaica ENSPTIG00000021294
panthera_pardus ENSPPRG00000010536
felis_catus ENSFCAG00000036134
loxodonta_africana ENSLAFG00000003493
procavia_capensis ENSPCAG00000009781
echinops_telfairi ENSETEG00000019723
choloepus_hoffmanni ENSCHOG00000005175
pteropus_vampyrus ENSPVAG00000013553
myotis_lucifugus ENSMLUG00000009306
erinaceus_europaeus ENSEEUG00000015502
castor_canadensis ENSCCNG00000009253
dipodomys_ordii ENSDORG00000008050
mus_musculus ENSMUSG00000050121
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023868
mus_spicilegus ENSMSIG00000015036
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022947
mus_pahari MGP_PahariEiJ_G0014437
rattus_norvegicus ENSRNOG00000022386
meriones_unguiculatus ENSMUGG00000009306
cricetulus_griseus_crigri-picr ENSCGRG00015025253
cricetulus_griseus_chok1gshd ENSCGRG00001000224
cricetulus_griseus_crigri ENSCGRG00000013574
mesocricetus_auratus ENSMAUG00000019374
peromyscus_maniculatus_bairdii ENSPEMG00000031402
microtus_ochrogaster ENSMOCG00000009465
nannospalax_galili ENSNGAG00000018775
spermophilus_dauricus ENSSDAG00000023374
spermophilus_dauricus ENSSDAG00000023379
ictidomys_tridecemlineatus ENSSTOG00000012748
urocitellus_parryii ENSUPAG00010014040
marmota_marmota_marmota ENSMMMG00000021401
cavia_porcellus ENSCPOG00000034213
cavia_aperea ENSCAPG00000014141
octodon_degus ENSODEG00000015705
chinchilla_lanigera ENSCLAG00000006654
heterocephalus_glaber_male ENSHGLG00100011178
heterocephalus_glaber_female ENSHGLG00000011525
fukomys_damarensis ENSFDAG00000016834
oryctolagus_cuniculus ENSOCUG00000002880
ochotona_princeps ENSOPRG00000007852
tupaia_belangeri ENSTBEG00000004727
pongo_abelii ENSPPYG00000002519
pongo_abelii ENSPPYG00000029575
homo_sapiens ENSG00000197430
gorilla_gorilla ENSGGOG00000000901
pan_troglodytes ENSPTRG00000022887
pan_paniscus ENSPPAG00000041321
nomascus_leucogenys ENSNLEG00000013398
macaca_fascicularis ENSMFAG00000043114
macaca_mulatta ENSMMUG00000022497
macaca_nemestrina ENSMNEG00000036553
cercocebus_atys ENSCATG00000037495
theropithecus_gelada ENSTGEG00000014262
mandrillus_leucophaeus ENSMLEG00000028586
papio_anubis ENSPANG00000021423
chlorocebus_sabaeus ENSCSAG00000006053
piliocolobus_tephrosceles ENSPTEG00000032683
colobus_angolensis_palliatus ENSCANG00000009690
rhinopithecus_bieti ENSRBIG00000036919
rhinopithecus_roxellana ENSRROG00000036213
saimiri_boliviensis_boliviensis ENSSBOG00000021409
cebus_capucinus ENSCCAG00000022700
callithrix_jacchus ENSCJAG00000047907
aotus_nancymaae ENSANAG00000038093
carlito_syrichta ENSTSYG00000000467
propithecus_coquereli ENSPCOG00000003690
prolemur_simus ENSPSMG00000007053
microcebus_murinus ENSMICG00000010737
otolemur_garnettii ENSOGAG00000015078
canis_lupus_dingo ENSCAFG00020005622
dasypus_novemcinctus ENSDNOG00000033233
monodelphis_domestica ENSMODG00000025726
phascolarctos_cinereus ENSPCIG00000015887
