haplochromis_burtoni ENSHBUG00000003472
pundamilia_nyererei ENSPNYG00000011342
oreochromis_niloticus ENSONIG00000005470
neolamprologus_brichardi ENSNBRG00000001356
amphilophus_citrinellus ENSACIG00000012110
amphiprion_percula ENSAPEG00000020837
acanthochromis_polyacanthus ENSAPOG00000013215
mastacembelus_armatus ENSMAMG00000020203
mastacembelus_armatus ENSMAMG00000020019
monopterus_albus ENSMALG00000010059
anabas_testudineus ENSATEG00000001491
labrus_bergylta ENSLBEG00000012550
fundulus_heteroclitus ENSFHEG00000015190
cyprinodon_variegatus ENSCVAG00000015040
poecilia_latipinna ENSPLAG00000009556
poecilia_reticulata ENSPREG00000016297
xiphophorus_maculatus ENSXMAG00000021184
gambusia_affinis ENSGAFG00000001982
poecilia_formosa ENSPFOG00000008082
poecilia_mexicana ENSPMEG00000006455
oryzias_latipes_asm223469v1 ENSORLG00015020256
oryzias_latipes ENSORLG00020011892
oryzias_latipes ENSORLG00000012924
oryzias_melastigma ENSOMEG00000009266
tetraodon_nigroviridis ENSTNIG00000004970
takifugu_rubripes ENSTRUG00000001393
mola_mola ENSMMOG00000004522
periophthalmus_magnuspinnatus ENSPMGG00000008686
hippocampus_comes ENSHCOG00000011431
scophthalmus_maximus ENSSMAG00000003748
gadus_morhua ENSGMOG00000008783
esox_lucius ENSELUG00000018547
astyanax_mexicanus ENSAMXG00000001518
pygocentrus_nattereri ENSPNAG00000023464
ictalurus_punctatus ENSIPUG00000008561
danio_rerio ENSDARG00000021633
scleropages_formosus ENSSFOG00015009903
paramormyrops_kingsleyae ENSPKIG00000012144
lepisosteus_oculatus ENSLOCG00000001571
salvator_merianae ENSSMRG00000022980
anolis_carolinensis ENSACAG00000005419
gopherus_agassizii ENSGAGG00000023148
chrysemys_picta_bellii ENSCPBG00000012430
pelodiscus_sinensis ENSPSIG00000015636
taeniopygia_guttata ENSTGUG00000005133
lonchura_striata_domestica ENSLSDG00000008322
parus_major ENSPMJG00000010241
cyanistes_caeruleus ENSCCEG00000019074
junco_hyemalis ENSJHYG00000001329
zonotrichia_albicollis ENSZALG00000002443
serinus_canaria ENSSCAG00000010721
ficedula_albicollis ENSFALG00000005014
dromaius_novaehollandiae ENSDNVG00000009542
gallus_gallus ENSGALG00000016127
coturnix_japonica ENSCJPG00005008263
melopsittacus_undulatus ENSMUNG00000008817
chelonoidis_abingdonii ENSCABG00000020023
sphenodon_punctatus ENSSPUG00000011594
numida_meleagris ENSNMEG00000012909
meleagris_gallopavo ENSMGAG00000014561
calidris_pygmaea ENSCPGG00000011075
anas_platyrhynchos_platyrhynchos ENSAPLG00000018874
anas_platyrhynchos_platyrhynchos ENSAPLG00000022577
anser_brachyrhynchus ENSABRG00000007927
apteryx_rowi ENSARWG00000014766
apteryx_haastii ENSAHAG00000010770
apteryx_owenii ENSAOWG00000007766
calidris_pugnax ENSCPUG00000012433
lepidothrix_coronata ENSLCOG00000000840
nothoprocta_perdicaria ENSNPEG00000000116
crocodylus_porosus ENSCPRG00005016025
crocodylus_porosus ENSCPRG00005016026
pogona_vitticeps ENSPVIG00000004838
phascolarctos_cinereus ENSPCIG00000028279
sarcophilus_harrisii ENSSHAG00000004155
monodelphis_domestica ENSMODG00000020969
myotis_lucifugus ENSMLUG00000013499
myotis_lucifugus ENSMLUG00000030411
pteropus_vampyrus ENSPVAG00000012466
ursus_maritimus ENSUMAG00000001849
ailuropoda_melanoleuca ENSAMEG00000014116
mustela_putorius_furo ENSMPUG00000008609
neovison_vison ENSNVIG00000017088
canis_lupus_dingo ENSCAFG00020024325
panthera_tigris_altaica ENSPTIG00000011349
panthera_pardus ENSPPRG00000004726
felis_catus ENSFCAG00000004671
papio_anubis ENSPANG00000017092
chlorocebus_sabaeus ENSCSAG00000008320
macaca_fascicularis ENSMFAG00000031582
macaca_nemestrina ENSMNEG00000044767
macaca_mulatta ENSMMUG00000001133
cercocebus_atys ENSCATG00000040538
mandrillus_leucophaeus ENSMLEG00000031375
rhinopithecus_bieti ENSRBIG00000035022
rhinopithecus_roxellana ENSRROG00000037605
pan_paniscus ENSPPAG00000037065
pan_troglodytes ENSPTRG00000013917
gorilla_gorilla ENSGGOG00000005007
homo_sapiens ENSG00000185437
nomascus_leucogenys ENSNLEG00000013169
piliocolobus_tephrosceles ENSPTEG00000000607
colobus_angolensis_palliatus ENSCANG00000014665
theropithecus_gelada ENSTGEG00000023736
homo_sapiens ENSG00000285815
cebus_capucinus ENSCCAG00000036879
callithrix_jacchus ENSCJAG00000005687
saimiri_boliviensis_boliviensis ENSSBOG00000035842
aotus_nancymaae ENSANAG00000033495
urocitellus_parryii ENSUPAG00010020382
ictidomys_tridecemlineatus ENSSTOG00000020100
tupaia_belangeri ENSTBEG00000007788
prolemur_simus ENSPSMG00000023123
microcebus_murinus ENSMICG00000007755
propithecus_coquereli ENSPCOG00000018334
otolemur_garnettii ENSOGAG00000001720
bos_mutus ENSBMUG00000025661
bos_taurus ENSBTAG00000007068
bison_bison_bison ENSBBBG00000013682
