homo_sapiens ENSG00000158008
gorilla_gorilla ENSGGOG00000016393
pan_paniscus ENSPPAG00000018172
pan_troglodytes ENSPTRG00000000371
pongo_abelii ENSPPYG00000001698
nomascus_leucogenys ENSNLEG00000009153
macaca_nemestrina ENSMNEG00000040210
macaca_mulatta ENSMMUG00000061744
macaca_fascicularis ENSMFAG00000031631
mandrillus_leucophaeus ENSMLEG00000033341
papio_anubis ENSPANG00000001282
theropithecus_gelada ENSTGEG00000006375
cercocebus_atys ENSCATG00000020905
chlorocebus_sabaeus ENSCSAG00000000962
colobus_angolensis ENSCANG00000036580
piliocolobus_tephrosceles ENSPTEG00000016935
rhinopithecus_roxellana ENSRROG00000041355
rhinopithecus_bieti ENSRBIG00000035630
cebus_capucinus ENSCCAG00000033300
saimiri_boliviensis ENSSBOG00000025053
callithrix_jacchus ENSCJAG00000009501
aotus_nancymaae ENSANAG00000023474
carlito_syrichta ENSTSYG00000029981
propithecus_coquereli ENSPCOG00000015388
microcebus_murinus ENSMICG00000046663
prolemur_simus ENSPSMG00000012157
otolemur_garnettii ENSOGAG00000000575
tupaia_belangeri ENSTBEG00000011221
castor_canadensis ENSCCNG00000023076
dipodomys_ordii ENSDORG00000003821
mus_spicilegus ENSMSIG00000002528
mus_spretus MGP_SPRETEiJ_G0027600
mus_musculus ENSMUSG00000028838
mus_caroli MGP_CAROLIEiJ_G0026620
mus_pahari MGP_PahariEiJ_G0028953
rattus_norvegicus ENSRNOG00000016776
meriones_unguiculatus ENSMUGG00000019817
cricetulus_griseus ENSCGRG00000013081
cricetulus_griseus ENSCGRG00001000575
cricetulus_griseus ENSCGRG00015018200
mesocricetus_auratus ENSMAUG00000012590
peromyscus_maniculatus ENSPEMG00000018307
microtus_ochrogaster ENSMOCG00000020884
nannospalax_galili ENSNGAG00000019216
cavia_porcellus ENSCPOG00000000922
cavia_aperea ENSCAPG00000006637
octodon_degus ENSODEG00000013752
chinchilla_lanigera ENSCLAG00000009216
heterocephalus_glaber ENSHGLG00000010814
heterocephalus_glaber ENSHGLG00100013593
fukomys_damarensis ENSFDAG00000014424
urocitellus_parryii ENSUPAG00010021721
spermophilus_dauricus ENSSDAG00000018676
ictidomys_tridecemlineatus ENSSTOG00000022136
marmota_marmota ENSMMMG00000014376
oryctolagus_cuniculus ENSOCUG00000006878
ochotona_princeps ENSOPRG00000001366
bos_indicus ENSBIXG00005029379
bos_indicus ENSBIXG00000025239
bos_taurus ENSBTAG00000006349
bos_mutus ENSBMUG00000016039
bison_bison ENSBBBG00000014277
capra_hircus ENSCHIG00000013043
ovis_aries ENSOARG00000005587
tursiops_truncatus ENSTTRG00000005086
sus_scrofa ENSSSCG00000029558
vicugna_pacos ENSVPAG00000001228
erinaceus_europaeus ENSEEUG00000002223
equus_asinus ENSEASG00005004055
equus_caballus ENSECAG00000013612
ursus_maritimus ENSUMAG00000012796
ursus_americanus ENSUAMG00000026208
ailuropoda_melanoleuca ENSAMEG00000010336
mustela_putorius ENSMPUG00000015772
neovison_vison ENSNVIG00000023579
canis_lupus ENSCAFG00000012712
canis_lupus ENSCAFG00020021198
vulpes_vulpes ENSVVUG00000011633
panthera_pardus ENSPPRG00000024299
panthera_tigris ENSPTIG00000015254
felis_catus ENSFCAG00000012799
pteropus_vampyrus ENSPVAG00000006348
myotis_lucifugus ENSMLUG00000015619
sorex_araneus ENSSARG00000011101
choloepus_hoffmanni ENSCHOG00000008536
dasypus_novemcinctus ENSDNOG00000044530
loxodonta_africana ENSLAFG00000002438
echinops_telfairi ENSETEG00000007734
vombatus_ursinus ENSVURG00010006668
phascolarctos_cinereus ENSPCIG00000011897
notamacropus_eugenii ENSMEUG00000011253
sarcophilus_harrisii ENSSHAG00000007694
monodelphis_domestica ENSMODG00000014040
