tursiops_truncatus ENSTTRG00000008762
pteropus_vampyrus ENSPVAG00000007477
ochotona_princeps ENSOPRG00000008301
oryctolagus_cuniculus ENSOCUG00000010975
tupaia_belangeri ENSTBEG00000016993
procavia_capensis ENSPCAG00000002936
ursus_americanus ENSUAMG00000024668
ailuropoda_melanoleuca ENSAMEG00000015833
neovison_vison ENSNVIG00000005848
mustela_putorius_furo ENSMPUG00000003375
canis_lupus_familiaris ENSCAFG00000017617
canis_lupus_dingo ENSCAFG00020014514
vulpes_vulpes ENSVVUG00000018663
panthera_tigris_altaica ENSPTIG00000014596
panthera_pardus ENSPPRG00000009275
capra_hircus ENSCHIG00000017080
ovis_aries ENSOARG00000014237
bos_mutus ENSBMUG00000016529
bison_bison_bison ENSBBBG00000008036
bos_taurus ENSBTAG00000016112
sus_scrofa ENSSSCG00000039415
equus_asinus_asinus ENSEASG00005021424
equus_caballus ENSECAG00000023183
myotis_lucifugus ENSMLUG00000003192
urocitellus_parryii ENSUPAG00010000495
spermophilus_dauricus ENSSDAG00000013919
marmota_marmota_marmota ENSMMMG00000000945
chinchilla_lanigera ENSCLAG00000015437
homo_sapiens ENSG00000175699
gorilla_gorilla ENSGGOG00000022026
pan_paniscus ENSPPAG00000018378
pan_troglodytes ENSPTRG00000046799
pongo_abelii ENSPPYG00000006093
theropithecus_gelada ENSTGEG00000004320
papio_anubis ENSPANG00000030297
cercocebus_atys ENSCATG00000036645
mandrillus_leucophaeus ENSMLEG00000043796
macaca_fascicularis ENSMFAG00000000696
macaca_nemestrina ENSMNEG00000045081
macaca_mulatta ENSMMUG00000040090
chlorocebus_sabaeus ENSCSAG00000010987
rhinopithecus_bieti ENSRBIG00000044554
colobus_angolensis_palliatus ENSCANG00000042798
piliocolobus_tephrosceles ENSPTEG00000010808
rhinopithecus_roxellana ENSRROG00000035412
cebus_capucinus ENSCCAG00000020750
saimiri_boliviensis_boliviensis ENSSBOG00000027574
callithrix_jacchus ENSCJAG00000034533
aotus_nancymaae ENSANAG00000023516
loxodonta_africana ENSLAFG00000000704
dasypus_novemcinctus ENSDNOG00000016650
