manacus_vitellinus ENSMVIG00005015135
lepidothrix_coronata ENSLCOG00000004007
melopsittacus_undulatus ENSMUNG00000001877
calidris_pugnax ENSCPUG00000016134
calidris_pygmaea ENSCPGG00000003938
anser_brachyrhynchus ENSABRG00000014321
anas_platyrhynchos ENSAPLG00000029701
gallus_gallus ENSGALG00000011812
meleagris_gallopavo ENSMGAG00000016709
coturnix_japonica ENSCJPG00005001878
numida_meleagris ENSNMEG00000019073
junco_hyemalis ENSJHYG00000006364
zonotrichia_albicollis ENSZALG00000004661
serinus_canaria ENSSCAG00000012518
lonchura_striata ENSLSDG00000005076
taeniopygia_guttata ENSTGUG00000004379
parus_major ENSPMJG00000010274
cyanistes_caeruleus ENSCCEG00000011900
ficedula_albicollis ENSFALG00000006559
apteryx_haastii ENSAHAG00000007200
apteryx_owenii ENSAOWG00000008786
dromaius_novaehollandiae ENSDNVG00000001746
nothoprocta_perdicaria ENSNPEG00000016231
gopherus_agassizii ENSGAGG00000004298
calidris_pygmaea ENSCPGG00000016816
ornithorhynchus_anatinus ENSOANG00000013688
chelonoidis_abingdonii ENSCABG00000016593
gopherus_agassizii ENSGAGG00000013480
chrysemys_picta ENSCPBG00000022302
pelodiscus_sinensis ENSPSIG00000012641
chelonoidis_abingdonii ENSCABG00000016596
chelonoidis_abingdonii ENSCABG00000016600
gopherus_agassizii ENSGAGG00000013484
chrysemys_picta ENSCPBG00000013063
pelodiscus_sinensis ENSPSIG00000009537
sphenodon_punctatus ENSSPUG00000009253
mus_spicilegus ENSMSIG00000005437
mus_musculus ENSMUSG00000029273
mus_spretus MGP_SPRETEiJ_G0028353
mus_caroli MGP_CAROLIEiJ_G0027356
mus_pahari MGP_PahariEiJ_G0017138
rattus_norvegicus ENSRNOG00000001960
meriones_unguiculatus ENSMUGG00000017330
cricetulus_griseus ENSCGRG00015020259
cricetulus_griseus ENSCGRG00000017238
cricetulus_griseus ENSCGRG00001015275
mesocricetus_auratus ENSMAUG00000017564
peromyscus_maniculatus ENSPEMG00000012616
microtus_ochrogaster ENSMOCG00000009914
nannospalax_galili ENSNGAG00000016399
jaculus_jaculus ENSJJAG00000014591
heterocephalus_glaber ENSHGLG00100009274
heterocephalus_glaber ENSHGLG00000000269
fukomys_damarensis ENSFDAG00000004029
cavia_porcellus ENSCPOG00000024974
cavia_aperea ENSCAPG00000012507
chinchilla_lanigera ENSCLAG00000003433
dipodomys_ordii ENSDORG00000025100
oryctolagus_cuniculus ENSOCUG00000005024
pan_troglodytes ENSPTRG00000044013
pan_paniscus ENSPPAG00000029558
gorilla_gorilla ENSGGOG00000036367
carlito_syrichta ENSTSYG00000034676
microcebus_murinus ENSMICG00000029088
propithecus_coquereli ENSPCOG00000025694
otolemur_garnettii ENSOGAG00000025238
ursus_maritimus ENSUMAG00000009209
ailuropoda_melanoleuca ENSAMEG00000012216
mustela_putorius ENSMPUG00000009879
neovison_vison ENSNVIG00000016920
canis_lupus ENSCAFG00020027088
canis_lupus ENSCAFG00000002873
vulpes_vulpes ENSVVUG00000004374
panthera_tigris ENSPTIG00000006804
panthera_pardus ENSPPRG00000014685
felis_catus ENSFCAG00000024787
equus_caballus ENSECAG00000028627
equus_asinus ENSEASG00005016743
ursus_americanus ENSUAMG00000001173
myotis_lucifugus ENSMLUG00000030033
bos_mutus ENSBMUG00000018684
bison_bison ENSBBBG00000024574
bos_taurus ENSBTAG00000038214
sus_scrofa ENSSSCG00000039518
loxodonta_africana ENSLAFG00000027197
dasypus_novemcinctus ENSDNOG00000039701
sarcophilus_harrisii ENSSHAG00000006604
sarcophilus_harrisii ENSSHAG00000005259
phascolarctos_cinereus ENSPCIG00000009560
monodelphis_domestica ENSMODG00000012343
dasypus_novemcinctus ENSDNOG00000033570
xenopus_tropicalis ENSXETG00000006064
anolis_carolinensis ENSACAG00000025478
anolis_carolinensis ENSACAG00000006642
pogona_vitticeps ENSPVIG00000022839
pogona_vitticeps ENSPVIG00000022840
notechis_scutatus ENSNSUG00000007355
salvator_merianae ENSSMRG00000004372
sphenodon_punctatus ENSSPUG00000010184
chrysemys_picta ENSCPBG00000012639
phascolarctos_cinereus ENSPCIG00000009599
xenopus_tropicalis ENSXETG00000012821
