macaca_fascicularis ENSMFAG00000037799
macaca_mulatta ENSMMUG00000023712
piliocolobus_tephrosceles ENSPTEG00000021515
piliocolobus_tephrosceles ENSPTEG00000021553
rhinopithecus_bieti ENSRBIG00000031799
rhinopithecus_roxellana ENSRROG00000044604
colobus_angolensis_palliatus ENSCANG00000033207
mandrillus_leucophaeus ENSMLEG00000029072
cercocebus_atys ENSCATG00000045127
theropithecus_gelada ENSTGEG00000015676
theropithecus_gelada ENSTGEG00000015719
papio_anubis ENSPANG00000011638
macaca_nemestrina ENSMNEG00000031073
macaca_nemestrina ENSMNEG00000007986
chlorocebus_sabaeus ENSCSAG00000004266
pongo_abelii ENSPPYG00000003582
pongo_abelii ENSPPYG00000003583
pan_paniscus ENSPPAG00000037060
pan_paniscus ENSPPAG00000038228
pan_troglodytes ENSPTRG00000028731
homo_sapiens ENSG00000213934
homo_sapiens ENSG00000196565
homo_sapiens ENSG00000284931
gorilla_gorilla ENSGGOG00000026413
nomascus_leucogenys ENSNLEG00000017360
nomascus_leucogenys ENSNLEG00000028897
callithrix_jacchus ENSCJAG00000020208
cebus_capucinus ENSCCAG00000023654
aotus_nancymaae ENSANAG00000037825
prolemur_simus ENSPSMG00000000426
propithecus_coquereli ENSPCOG00000010427
microcebus_murinus ENSMICG00000037416
otolemur_garnettii ENSOGAG00000030895
heterocephalus_glaber_male ENSHGLG00100016060
heterocephalus_glaber_female ENSHGLG00000014032
fukomys_damarensis ENSFDAG00000017122
chinchilla_lanigera ENSCLAG00000017040
cavia_porcellus ENSCPOG00000039741
ictidomys_tridecemlineatus ENSSTOG00000020876
ailuropoda_melanoleuca ENSAMEG00000013439
choloepus_hoffmanni ENSCHOG00000003036
loxodonta_africana ENSLAFG00000020932
bison_bison_bison ENSBBBG00000020999
bos_mutus ENSBMUG00000007991
bos_mutus ENSBMUG00000007920
bison_bison_bison ENSBBBG00000005903
capra_hircus ENSCHIG00000024977
pteropus_vampyrus ENSPVAG00000008259
ursus_americanus ENSUAMG00000001001
ursus_maritimus ENSUMAG00000000610
canis_lupus_dingo ENSCAFG00020009063
panthera_pardus ENSPPRG00000017712
panthera_tigris_altaica ENSPTIG00000019344
felis_catus ENSFCAG00000038029
vulpes_vulpes ENSVVUG00000015601
bos_taurus ENSBTAG00000037815
aotus_nancymaae ENSANAG00000038338
callithrix_jacchus ENSCJAG00000020187
nomascus_leucogenys ENSNLEG00000017362
prolemur_simus ENSPSMG00000000468
microcebus_murinus ENSMICG00000042616
heterocephalus_glaber_male ENSHGLG00100015420
heterocephalus_glaber_female ENSHGLG00000017921
fukomys_damarensis ENSFDAG00000000729
octodon_degus ENSODEG00000008233
cavia_porcellus ENSCPOG00000025774
procavia_capensis ENSPCAG00000015088
loxodonta_africana ENSLAFG00000020785
notamacropus_eugenii ENSMEUG00000000695
monodelphis_domestica ENSMODG00000011325
