calidris_pygmaea ENSCPGG00000000586
ornithorhynchus_anatinus ENSOANG00000030409
lates_calcarifer ENSLCAG00010018455
monopterus_albus ENSMALG00000021612
cottoperca_gobio ENSCGOG00000022318
seriola_lalandi ENSSLDG00000023810
acanthochromis_polyacanthus ENSAPOG00000000098
hucho_hucho ENSHHUG00000007250
anolis_carolinensis ENSACAG00000024083
anolis_carolinensis ENSACAG00000012261
pogona_vitticeps ENSPVIG00000025526
notechis_scutatus ENSNSUG00000019747
salvator_merianae ENSSMRG00000019129
sphenodon_punctatus ENSSPUG00000019287
gopherus_agassizii ENSGAGG00000007623
chelonoidis_abingdonii ENSCABG00000014379
chrysemys_picta ENSCPBG00000017411
loxodonta_africana ENSLAFG00000018354
procavia_capensis ENSPCAG00000006485
echinops_telfairi ENSETEG00000019515
dasypus_novemcinctus ENSDNOG00000012207
pteropus_vampyrus ENSPVAG00000008034
myotis_lucifugus ENSMLUG00000008181
equus_caballus ENSECAG00000026821
equus_asinus ENSEASG00005013849
capra_hircus ENSCHIG00000001939
ovis_aries ENSOARG00000006658
bos_indicus ENSBIXG00005013750
bos_indicus ENSBIXG00000011627
bos_taurus ENSBTAG00000023182
bos_mutus ENSBMUG00000018641
tursiops_truncatus ENSTTRG00000011325
sus_scrofa ENSSSCG00000012332
vicugna_pacos ENSVPAG00000007531
ursus_maritimus ENSUMAG00000019207
ursus_americanus ENSUAMG00000007527
ailuropoda_melanoleuca ENSAMEG00000002463
ailuropoda_melanoleuca ENSAMEG00000006156
neovison_vison ENSNVIG00000001024
mustela_putorius ENSMPUG00000011455
canis_lupus ENSCAFG00020014052
canis_lupus ENSCAFG00000016427
vulpes_vulpes ENSVVUG00000002310
panthera_tigris ENSPTIG00000007156
panthera_pardus ENSPPRG00000001312
felis_catus ENSFCAG00000005966
erinaceus_europaeus ENSEEUG00000006134
sorex_araneus ENSSARG00000009297
theropithecus_gelada ENSTGEG00000027798
papio_anubis ENSPANG00000006679
macaca_mulatta ENSMMUG00000005433
macaca_fascicularis ENSMFAG00000031003
macaca_nemestrina ENSMNEG00000000787
cercocebus_atys ENSCATG00000034697
mandrillus_leucophaeus ENSMLEG00000029595
chlorocebus_sabaeus ENSCSAG00000012379
