mus_spicilegus ENSMSIG00000002835
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031192
mus_musculus ENSMUSG00000066279
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030081
mus_pahari MGP_PahariEiJ_G0013302
rattus_norvegicus ENSRNOG00000020293
meriones_unguiculatus ENSMUGG00000005524
cricetulus_griseus_crigri-picr ENSCGRG00015017361
cricetulus_griseus_chok1gshd ENSCGRG00001010661
cricetulus_griseus_crigri ENSCGRG00000017558
mesocricetus_auratus ENSMAUG00000005411
microtus_ochrogaster ENSMOCG00000005181
peromyscus_maniculatus_bairdii ENSPEMG00000017386
nannospalax_galili ENSNGAG00000008221
jaculus_jaculus ENSJJAG00000016424
dipodomys_ordii ENSDORG00000001387
ictidomys_tridecemlineatus ENSSTOG00000023110
urocitellus_parryii ENSUPAG00010019373
spermophilus_dauricus ENSSDAG00000021722
marmota_marmota_marmota ENSMMMG00000012422
cavia_porcellus ENSCPOG00000027544
cavia_aperea ENSCAPG00000015041
chinchilla_lanigera ENSCLAG00000014704
octodon_degus ENSODEG00000007974
heterocephalus_glaber_male ENSHGLG00100004986
heterocephalus_glaber_female ENSHGLG00000006957
fukomys_damarensis ENSFDAG00000018640
oryctolagus_cuniculus ENSOCUG00000007303
oryctolagus_cuniculus ENSOCUG00000013630
ochotona_princeps ENSOPRG00000010292
prolemur_simus ENSPSMG00000013408
propithecus_coquereli ENSPCOG00000000604
microcebus_murinus ENSMICG00000048048
otolemur_garnettii ENSOGAG00000007040
homo_sapiens ENSG00000129749
gorilla_gorilla ENSGGOG00000009471
pan_paniscus ENSPPAG00000034846
pan_troglodytes ENSPTRG00000003199
pongo_abelii ENSPPYG00000003632
nomascus_leucogenys ENSNLEG00000017278
piliocolobus_tephrosceles ENSPTEG00000017790
colobus_angolensis_palliatus ENSCANG00000035366
rhinopithecus_bieti ENSRBIG00000009540
rhinopithecus_roxellana ENSRROG00000043364
papio_anubis ENSPANG00000007812
theropithecus_gelada ENSTGEG00000024486
cercocebus_atys ENSCATG00000038975
mandrillus_leucophaeus ENSMLEG00000019278
macaca_nemestrina ENSMNEG00000028568
macaca_fascicularis ENSMFAG00000032461
chlorocebus_sabaeus ENSCSAG00000004227
saimiri_boliviensis_boliviensis ENSSBOG00000013019
cebus_capucinus ENSCCAG00000024887
callithrix_jacchus ENSCJAG00000015465
aotus_nancymaae ENSANAG00000038522
bos_taurus ENSBTAG00000055237
bos_taurus ENSBTAG00000053052
bison_bison_bison ENSBBBG00000013024
capra_hircus ENSCHIG00000023811
tursiops_truncatus ENSTTRG00000016639
sus_scrofa ENSSSCG00000014796
neovison_vison ENSNVIG00000019515
mustela_putorius_furo ENSMPUG00000010400
vulpes_vulpes ENSVVUG00000025660
ursus_americanus ENSUAMG00000027331
ailuropoda_melanoleuca ENSAMEG00000010978
panthera_pardus ENSPPRG00000010582
panthera_tigris_altaica ENSPTIG00000013924
felis_catus ENSFCAG00000023105
equus_caballus ENSECAG00000015284
equus_asinus_asinus ENSEASG00005000710
pteropus_vampyrus ENSPVAG00000016436
myotis_lucifugus ENSMLUG00000013586
erinaceus_europaeus ENSEEUG00000004832
ovis_aries ENSOARG00000002003
ovis_aries ENSOARG00000002505
vicugna_pacos ENSVPAG00000005305
canis_lupus_familiaris ENSCAFG00000024527
carlito_syrichta ENSTSYG00000037304
procavia_capensis ENSPCAG00000001987
loxodonta_africana ENSLAFG00000013051
dasypus_novemcinctus ENSDNOG00000040920
echinops_telfairi ENSETEG00000014881
sorex_araneus ENSSARG00000012509
canis_lupus_dingo ENSCAFG00020005002
notamacropus_eugenii ENSMEUG00000009564
phascolarctos_cinereus ENSPCIG00000021591
monodelphis_domestica ENSMODG00000008246
sarcophilus_harrisii ENSSHAG00000008448
ornithorhynchus_anatinus ENSOANG00000012926
anas_platyrhynchos_platyrhynchos ENSAPLG00000024327
xenopus_tropicalis ENSXETG00000032337
xenopus_tropicalis ENSXETG00000004693
xenopus_tropicalis ENSXETG00000004900
latimeria_chalumnae ENSLACG00000005922
astyanax_mexicanus ENSAMXG00000030028
pygocentrus_nattereri ENSPNAG00000015806
danio_rerio ENSDARG00000011113
pundamilia_nyererei ENSPNYG00000002420
haplochromis_burtoni ENSHBUG00000017488
astatotilapia_calliptera ENSACLG00000001485
oreochromis_niloticus ENSONIG00000016894
scophthalmus_maximus ENSSMAG00000005768
acanthochromis_polyacanthus ENSAPOG00000022159
stegastes_partitus ENSSPAG00000013910
cynoglossus_semilaevis ENSCSEG00000007568
xiphophorus_maculatus ENSXMAG00000006833
xiphophorus_couchianus ENSXCOG00000005141
poecilia_formosa ENSPFOG00000004647
gambusia_affinis ENSGAFG00000020812
cyprinodon_variegatus ENSCVAG00000003923
takifugu_rubripes ENSTRUG00000003807
tetraodon_nigroviridis ENSTNIG00000016254
labrus_bergylta ENSLBEG00000001296
gasterosteus_aculeatus ENSGACG00000011416
