choloepus_hoffmanni ENSCHOG00000005748
dasypus_novemcinctus ENSDNOG00000012771
loxodonta_africana ENSLAFG00000001888
procavia_capensis ENSPCAG00000012200
echinops_telfairi ENSETEG00000005581
castor_canadensis ENSCCNG00000009604
dipodomys_ordii ENSDORG00000009331
ictidomys_tridecemlineatus ENSSTOG00000028644
spermophilus_dauricus ENSSDAG00000016043
urocitellus_parryii ENSUPAG00010020526
marmota_marmota_marmota ENSMMMG00000012641
nannospalax_galili ENSNGAG00000009837
cavia_porcellus ENSCPOG00000009725
cavia_aperea ENSCAPG00000017736
octodon_degus ENSODEG00000005703
heterocephalus_glaber_male ENSHGLG00100009740
heterocephalus_glaber_female ENSHGLG00000019593
fukomys_damarensis ENSFDAG00000017934
oryctolagus_cuniculus ENSOCUG00000000133
ochotona_princeps ENSOPRG00000004328
pan_troglodytes ENSPTRG00000015179
pan_paniscus ENSPPAG00000034769
homo_sapiens ENSG00000144802
gorilla_gorilla ENSGGOG00000003769
pongo_abelii ENSPPYG00000013585
nomascus_leucogenys ENSNLEG00000003323
papio_anubis ENSPANG00000006771
theropithecus_gelada ENSTGEG00000025737
chlorocebus_sabaeus ENSCSAG00000006272
macaca_fascicularis ENSMFAG00000036738
macaca_nemestrina ENSMNEG00000035736
cercocebus_atys ENSCATG00000010523
mandrillus_leucophaeus ENSMLEG00000037298
colobus_angolensis_palliatus ENSCANG00000037590
piliocolobus_tephrosceles ENSPTEG00000027319
rhinopithecus_bieti ENSRBIG00000029869
rhinopithecus_roxellana ENSRROG00000033908
macaca_mulatta ENSMMUG00000021568
callithrix_jacchus ENSCJAG00000000465
saimiri_boliviensis_boliviensis ENSSBOG00000025036
cebus_capucinus ENSCCAG00000028806
aotus_nancymaae ENSANAG00000037144
carlito_syrichta ENSTSYG00000014138
microcebus_murinus ENSMICG00000048907
propithecus_coquereli ENSPCOG00000023299
prolemur_simus ENSPSMG00000005927
otolemur_garnettii ENSOGAG00000025293
tupaia_belangeri ENSTBEG00000007663
pteropus_vampyrus ENSPVAG00000009894
myotis_lucifugus ENSMLUG00000017089
ursus_maritimus ENSUMAG00000003315
ursus_americanus ENSUAMG00000008592
ailuropoda_melanoleuca ENSAMEG00000003689
mustela_putorius_furo ENSMPUG00000011786
neovison_vison ENSNVIG00000017926
canis_lupus_familiaris ENSCAFG00000009634
canis_lupus_dingo ENSCAFG00020008790
vulpes_vulpes ENSVVUG00000021744
panthera_pardus ENSPPRG00000008337
panthera_tigris_altaica ENSPTIG00000012261
felis_catus ENSFCAG00000018764
capra_hircus ENSCHIG00000026427
ovis_aries ENSOARG00000018628
bos_mutus ENSBMUG00000010460
bos_taurus ENSBTAG00000010987
bison_bison_bison ENSBBBG00000020528
tursiops_truncatus ENSTTRG00000006369
sus_scrofa ENSSSCG00000011951
vicugna_pacos ENSVPAG00000010981
erinaceus_europaeus ENSEEUG00000015031
sorex_araneus ENSSARG00000008696
cricetulus_griseus_crigri-picr ENSCGRG00015012377
cricetulus_griseus_chok1gshd ENSCGRG00001019170
cricetulus_griseus_crigri ENSCGRG00000014889
mesocricetus_auratus ENSMAUG00000012092
peromyscus_maniculatus_bairdii ENSPEMG00000010338
microtus_ochrogaster ENSMOCG00000001612
mus_spicilegus ENSMSIG00000021767
mus_musculus ENSMUSG00000035356
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020807
mus_pahari MGP_PahariEiJ_G0016506
rattus_norvegicus ENSRNOG00000031163
meriones_unguiculatus ENSMUGG00000024169
jaculus_jaculus ENSJJAG00000019118
chinchilla_lanigera ENSCLAG00000008036
equus_caballus ENSECAG00000011496
equus_asinus_asinus ENSEASG00005011239
phascolarctos_cinereus ENSPCIG00000016061
notamacropus_eugenii ENSMEUG00000013712
monodelphis_domestica ENSMODG00000001888
sarcophilus_harrisii ENSSHAG00000006414
ornithorhynchus_anatinus ENSOANG00000007502
pogona_vitticeps ENSPVIG00000019384
anolis_carolinensis ENSACAG00000012098
notechis_scutatus ENSNSUG00000015932
salvator_merianae ENSSMRG00000004546
sphenodon_punctatus ENSSPUG00000018407
calidris_pugnax ENSCPUG00000004635
calidris_pygmaea ENSCPGG00000012522
melopsittacus_undulatus ENSMUNG00000004991
lepidothrix_coronata ENSLCOG00000009142
manacus_vitellinus ENSMVIG00005011078
taeniopygia_guttata ENSTGUG00000016356
taeniopygia_guttata ENSTGUG00000013615
lonchura_striata_domestica ENSLSDG00000005246
ficedula_albicollis ENSFALG00000006542
parus_major ENSPMJG00000011182
cyanistes_caeruleus ENSCCEG00000015731
junco_hyemalis ENSJHYG00000010229
zonotrichia_albicollis ENSZALG00000016432
serinus_canaria ENSSCAG00000016828
anas_platyrhynchos_platyrhynchos ENSAPLG00000004175
anser_brachyrhynchus ENSABRG00000007558
coturnix_japonica ENSCJPG00005017617
gallus_gallus ENSGALG00000015346
meleagris_gallopavo ENSMGAG00000014379
numida_meleagris ENSNMEG00000017273
apteryx_haastii ENSAHAG00000015316
apteryx_rowi ENSARWG00000005925
apteryx_owenii ENSAOWG00000017519
dromaius_novaehollandiae ENSDNVG00000007046
nothoprocta_perdicaria ENSNPEG00000006078
crocodylus_porosus ENSCPRG00005010808
chelonoidis_abingdonii ENSCABG00000004067
gopherus_agassizii ENSGAGG00000001827
chrysemys_picta_bellii ENSCPBG00000004507
pelodiscus_sinensis ENSPSIG00000015425
xenopus_tropicalis ENSXETG00000032514
xenopus_tropicalis ENSXETG00000006998
latimeria_chalumnae ENSLACG00000006974
pygocentrus_nattereri ENSPNAG00000011841
astyanax_mexicanus ENSAMXG00000015888
ictalurus_punctatus ENSIPUG00000013611
danio_rerio ENSDARG00000102097
mola_mola ENSMMOG00000013401
tetraodon_nigroviridis ENSTNIG00000010263
gasterosteus_aculeatus ENSGACG00000013710
poecilia_formosa ENSPFOG00000021772
poecilia_mexicana ENSPMEG00000015070
poecilia_latipinna ENSPLAG00000004524
poecilia_reticulata ENSPREG00000018828
gambusia_affinis ENSGAFG00000007235
xiphophorus_maculatus ENSXMAG00000009933
xiphophorus_couchianus ENSXCOG00000020390
cyprinodon_variegatus ENSCVAG00000021814
kryptolebias_marmoratus ENSKMAG00000003057
oryzias_latipes ENSORLG00000022896
oryzias_latipes ENSORLG00020000618
oryzias_latipes_asm223469v1 ENSORLG00015021132
oryzias_melastigma ENSOMEG00000001958
amphiprion_ocellaris ENSAOCG00000002837
amphiprion_percula ENSAPEG00000015009
acanthochromis_polyacanthus ENSAPOG00000010016
stegastes_partitus ENSSPAG00000021814
astatotilapia_calliptera ENSACLG00000023823
astatotilapia_calliptera ENSACLG00000016440
haplochromis_burtoni ENSHBUG00000020958
maylandia_zebra ENSMZEG00005017936
pundamilia_nyererei ENSPNYG00000021622
seriola_lalandi_dorsalis ENSSLDG00000013676
cynoglossus_semilaevis ENSCSEG00000006960
anabas_testudineus ENSATEG00000017276
labrus_bergylta ENSLBEG00000027064
esox_lucius ENSELUG00000001900
scleropages_formosus ENSSFOG00015008620
paramormyrops_kingsleyae ENSPKIG00000010186
lepisosteus_oculatus ENSLOCG00000009576
calidris_pugnax ENSCPUG00000013991
calidris_pygmaea ENSCPGG00000007381
melopsittacus_undulatus ENSMUNG00000009003
cyanistes_caeruleus ENSCCEG00000005652
parus_major ENSPMJG00000008602
serinus_canaria ENSSCAG00000007821
junco_hyemalis ENSJHYG00000006255
ficedula_albicollis ENSFALG00000006126
meleagris_gallopavo ENSMGAG00000004107
gallus_gallus ENSGALG00000045251
anas_platyrhynchos_platyrhynchos ENSAPLG00000020986
dromaius_novaehollandiae ENSDNVG00000011039
gopherus_agassizii ENSGAGG00000009585
anolis_carolinensis ENSACAG00000022359
latimeria_chalumnae ENSLACG00000018884
scleropages_formosus ENSSFOG00015001362
paramormyrops_kingsleyae ENSPKIG00000019775
paramormyrops_kingsleyae ENSPKIG00000019320
scophthalmus_maximus ENSSMAG00000016262
cynoglossus_semilaevis ENSCSEG00000004972
seriola_dumerili ENSSDUG00000012839
seriola_lalandi_dorsalis ENSSLDG00000001186
takifugu_rubripes ENSTRUG00000011535
tetraodon_nigroviridis ENSTNIG00000014368
mola_mola ENSMMOG00000019304
labrus_bergylta ENSLBEG00000003773
monopterus_albus ENSMALG00000015988
mastacembelus_armatus ENSMAMG00000019336
anabas_testudineus ENSATEG00000000782
xiphophorus_maculatus ENSXMAG00000025147
gambusia_affinis ENSGAFG00000011114
poecilia_formosa ENSPFOG00000004876
poecilia_mexicana ENSPMEG00000016571
kryptolebias_marmoratus ENSKMAG00000006819
oryzias_latipes ENSORLG00000026552
oryzias_latipes ENSORLG00020007198
oryzias_latipes_asm223469v1 ENSORLG00015012864
oryzias_melastigma ENSOMEG00000008028
amphiprion_percula ENSAPEG00000004589
amphiprion_ocellaris ENSAOCG00000023789
acanthochromis_polyacanthus ENSAPOG00000013520
stegastes_partitus ENSSPAG00000019813
maylandia_zebra ENSMZEG00005019104
haplochromis_burtoni ENSHBUG00000019345
astatotilapia_calliptera ENSACLG00000018744
neolamprologus_brichardi ENSNBRG00000001142
oreochromis_niloticus ENSONIG00000014769
amphilophus_citrinellus ENSACIG00000006708
hippocampus_comes ENSHCOG00000014213
gadus_morhua ENSGMOG00000015477
esox_lucius ENSELUG00000023534
astyanax_mexicanus ENSAMXG00000002706
pygocentrus_nattereri ENSPNAG00000002841
ictalurus_punctatus ENSIPUG00000015147
danio_rerio ENSDARG00000099533
lepisosteus_oculatus ENSLOCG00000003506
chelonoidis_abingdonii ENSCABG00000013855
chrysemys_picta_bellii ENSCPBG00000017093
cyanistes_caeruleus ENSCCEG00000012867
parus_major ENSPMJG00000006922
serinus_canaria ENSSCAG00000015101
ficedula_albicollis ENSFALG00000001047
lepidothrix_coronata ENSLCOG00000000482
manacus_vitellinus ENSMVIG00005013568
anolis_carolinensis ENSACAG00000016377
pogona_vitticeps ENSPVIG00000010544
notechis_scutatus ENSNSUG00000002635
salvator_merianae ENSSMRG00000004925
sphenodon_punctatus ENSSPUG00000005470
loxodonta_africana ENSLAFG00000002277
procavia_capensis ENSPCAG00000016851
echinops_telfairi ENSETEG00000018468
heterocephalus_glaber_male ENSHGLG00100010189
