paramormyrops_kingsleyae ENSPKIG00000019014
scleropages_formosus ENSSFOG00015018568
hucho_hucho ENSHHUG00000002273
hucho_hucho ENSHHUG00000041629
esox_lucius ENSELUG00000014549
fundulus_heteroclitus ENSFHEG00000011102
cyprinodon_variegatus ENSCVAG00000001222
xiphophorus_maculatus ENSXMAG00000009065
xiphophorus_couchianus ENSXCOG00000005123
gambusia_affinis ENSGAFG00000006338
poecilia_formosa ENSPFOG00000019659
poecilia_mexicana ENSPMEG00000008665
poecilia_latipinna ENSPLAG00000008469
poecilia_reticulata ENSPREG00000006820
kryptolebias_marmoratus ENSKMAG00000013042
oryzias_latipes ENSORLG00020010936
oryzias_latipes ENSORLG00015023069
oryzias_latipes ENSORLG00000010949
oryzias_melastigma ENSOMEG00000022217
gouania_willdenowi ENSGWIG00000015705
maylandia_zebra ENSMZEG00005017815
astatotilapia_calliptera ENSACLG00000020350
pundamilia_nyererei ENSPNYG00000012742
haplochromis_burtoni ENSHBUG00000005723
oreochromis_niloticus ENSONIG00000003763
tetraodon_nigroviridis ENSTNIG00000003502
hippocampus_comes ENSHCOG00000013970
mola_mola ENSMMOG00000021049
takifugu_rubripes ENSTRUG00000002167
neolamprologus_brichardi ENSNBRG00000020827
amphilophus_citrinellus ENSACIG00000003064
anabas_testudineus ENSATEG00000020975
betta_splendens ENSBSLG00000019985
amphilophus_citrinellus ENSACIG00000003080
neolamprologus_brichardi ENSNBRG00000020783
mola_mola ENSMMOG00000021047
takifugu_rubripes ENSTRUG00000022294
periophthalmus_magnuspinnatus ENSPMGG00000015464
seriola_dumerili ENSSDUG00000007549
seriola_lalandi ENSSLDG00000000262
lates_calcarifer ENSLCAG00010011062
amphiprion_ocellaris ENSAOCG00000023378
amphiprion_percula ENSAPEG00000005055
acanthochromis_polyacanthus ENSAPOG00000021650
stegastes_partitus ENSSPAG00000019316
mastacembelus_armatus ENSMAMG00000006670
monopterus_albus ENSMALG00000012699
larimichthys_crocea ENSLCRG00005016933
labrus_bergylta ENSLBEG00000010367
scophthalmus_maximus ENSSMAG00000018754
cynoglossus_semilaevis ENSCSEG00000003922
parambassis_ranga ENSPRNG00000001919
cottoperca_gobio ENSCGOG00000015589
gasterosteus_aculeatus ENSGACG00000017640
gadus_morhua ENSGMOG00000012059
clupea_harengus ENSCHAG00000019544
denticeps_clupeoides ENSDCDG00000020784
astyanax_mexicanus ENSAMXG00000014373
astyanax_mexicanus ENSAMXG00005012227
pygocentrus_nattereri ENSPNAG00000013166
electrophorus_electricus ENSEEEG00000022265
ictalurus_punctatus ENSIPUG00000018629
danio_rerio ENSDARG00000114329
lepisosteus_oculatus ENSLOCG00000003264
erpetoichthys_calabaricus ENSECRG00000008508
taeniopygia_guttata ENSTGUG00000000245
lonchura_striata ENSLSDG00000013842
serinus_canaria ENSSCAG00000013337
zonotrichia_albicollis ENSZALG00000007824
parus_major ENSPMJG00000003405
cyanistes_caeruleus ENSCCEG00000017348
ficedula_albicollis ENSFALG00000005146
lepidothrix_coronata ENSLCOG00000005497
manacus_vitellinus ENSMVIG00005019900
melopsittacus_undulatus ENSMUNG00000005641
calidris_pygmaea ENSCPGG00000011548
calidris_pugnax ENSCPUG00000010241
anser_brachyrhynchus ENSABRG00000009951
anas_platyrhynchos ENSAPLG00000013045
coturnix_japonica ENSCJPG00005012101
meleagris_gallopavo ENSMGAG00000007543
gallus_gallus ENSGALG00000015390
numida_meleagris ENSNMEG00000004315
calidris_pygmaea ENSCPGG00000008829
dromaius_novaehollandiae ENSDNVG00000000697
dromaius_novaehollandiae ENSDNVG00000000763
apteryx_owenii ENSAOWG00000017032
apteryx_rowi ENSARWG00000006962
apteryx_haastii ENSAHAG00000006562
nothoprocta_perdicaria ENSNPEG00000011580
salvator_merianae ENSSMRG00000020662
gopherus_agassizii ENSGAGG00000021396
chelonoidis_abingdonii ENSCABG00000003531
chrysemys_picta ENSCPBG00000027530
pelodiscus_sinensis ENSPSIG00000013498
