papio_anubis ENSPANG00000035662
mandrillus_leucophaeus ENSMLEG00000026453
macaca_nemestrina ENSMNEG00000008483
macaca_mulatta ENSMMUG00000042333
macaca_fascicularis ENSMFAG00000030264
theropithecus_gelada ENSTGEG00000013968
cercocebus_atys ENSCATG00000022779
rhinopithecus_roxellana ENSRROG00000042275
rhinopithecus_bieti ENSRBIG00000037898
colobus_angolensis_palliatus ENSCANG00000004313
pan_troglodytes ENSPTRG00000048798
pan_paniscus ENSPPAG00000033481
gorilla_gorilla ENSGGOG00000038061
cebus_capucinus ENSCCAG00000021896
saimiri_boliviensis_boliviensis ENSSBOG00000024640
