mastacembelus_armatus ENSMAMG00000009970
monopterus_albus ENSMALG00000011111
anabas_testudineus ENSATEG00000007334
seriola_lalandi_dorsalis ENSSLDG00000013113
seriola_dumerili ENSSDUG00000012531
scophthalmus_maximus ENSSMAG00000008916
labrus_bergylta ENSLBEG00000013516
takifugu_rubripes ENSTRUG00000006614
tetraodon_nigroviridis ENSTNIG00000016898
mola_mola ENSMMOG00000002312
gasterosteus_aculeatus ENSGACG00000007098
xiphophorus_maculatus ENSXMAG00000019047
xiphophorus_couchianus ENSXCOG00000013205
gambusia_affinis ENSGAFG00000018137
poecilia_mexicana ENSPMEG00000019772
poecilia_mexicana ENSPMEG00000012602
poecilia_latipinna ENSPLAG00000010179
poecilia_formosa ENSPFOG00000002358
poecilia_formosa ENSPFOG00000002449
poecilia_reticulata ENSPREG00000001458
cyprinodon_variegatus ENSCVAG00000008738
fundulus_heteroclitus ENSFHEG00000007740
kryptolebias_marmoratus ENSKMAG00000013499
oryzias_latipes ENSORLG00020018718
oryzias_latipes_asm223469v1 ENSORLG00015015141
oryzias_latipes ENSORLG00000017461
oryzias_melastigma ENSOMEG00000014557
maylandia_zebra ENSMZEG00005006073
astatotilapia_calliptera ENSACLG00000019441
haplochromis_burtoni ENSHBUG00000020109
pundamilia_nyererei ENSPNYG00000006821
neolamprologus_brichardi ENSNBRG00000009646
oreochromis_niloticus ENSONIG00000008157
amphilophus_citrinellus ENSACIG00000022516
amphiprion_ocellaris ENSAOCG00000008231
amphiprion_percula ENSAPEG00000019313
acanthochromis_polyacanthus ENSAPOG00000001157
stegastes_partitus ENSSPAG00000009157
cynoglossus_semilaevis ENSCSEG00000000051
hippocampus_comes ENSHCOG00000012615
periophthalmus_magnuspinnatus ENSPMGG00000011194
gadus_morhua ENSGMOG00000018997
esox_lucius ENSELUG00000003119
pygocentrus_nattereri ENSPNAG00000023728
astyanax_mexicanus ENSAMXG00000042673
ictalurus_punctatus ENSIPUG00000015677
danio_rerio ENSDARG00000021220
scleropages_formosus ENSSFOG00015023508
paramormyrops_kingsleyae ENSPKIG00000025338
lepisosteus_oculatus ENSLOCG00000001792
ornithorhynchus_anatinus ENSOANG00000014239
ornithorhynchus_anatinus ENSOANG00000004172
tursiops_truncatus ENSTTRG00000016135
sus_scrofa ENSSSCG00000026025
bos_taurus ENSBTAG00000021832
bos_mutus ENSBMUG00000013890
bison_bison_bison ENSBBBG00000014808
capra_hircus ENSCHIG00000026977
ovis_aries ENSOARG00000007033
vicugna_pacos ENSVPAG00000011275
equus_caballus ENSECAG00000025131
equus_asinus_asinus ENSEASG00005004364
neovison_vison ENSNVIG00000023029
mustela_putorius_furo ENSMPUG00000015847
canis_lupus_familiaris ENSCAFG00000013085
canis_lupus_dingo ENSCAFG00020020448
vulpes_vulpes ENSVVUG00000026898
ursus_maritimus ENSUMAG00000013193
ursus_americanus ENSUAMG00000008911
ailuropoda_melanoleuca ENSAMEG00000009804
panthera_pardus ENSPPRG00000006454
panthera_tigris_altaica ENSPTIG00000019236
felis_catus ENSFCAG00000011820
sorex_araneus ENSSARG00000014017
erinaceus_europaeus ENSEEUG00000001586
myotis_lucifugus ENSMLUG00000005276
pteropus_vampyrus ENSPVAG00000013616
tupaia_belangeri ENSTBEG00000010348
procavia_capensis ENSPCAG00000003077
loxodonta_africana ENSLAFG00000017326
dasypus_novemcinctus ENSDNOG00000038631
choloepus_hoffmanni ENSCHOG00000003866
mus_musculus ENSMUSG00000028672
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027629
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026649
mus_pahari MGP_PahariEiJ_G0028982
rattus_norvegicus ENSRNOG00000009422
meriones_unguiculatus ENSMUGG00000020717
peromyscus_maniculatus_bairdii ENSPEMG00000012287
microtus_ochrogaster ENSMOCG00000010721
cricetulus_griseus_crigri ENSCGRG00000008608
cricetulus_griseus_crigri-picr ENSCGRG00015019415
cricetulus_griseus_chok1gshd ENSCGRG00001008106
nannospalax_galili ENSNGAG00000018763
jaculus_jaculus ENSJJAG00000013840
castor_canadensis ENSCCNG00000022465
dipodomys_ordii ENSDORG00000011123
heterocephalus_glaber_male ENSHGLG00100009545
heterocephalus_glaber_female ENSHGLG00000015186
fukomys_damarensis ENSFDAG00000011967
chinchilla_lanigera ENSCLAG00000013961
octodon_degus ENSODEG00000014361
cavia_porcellus ENSCPOG00000008645
cavia_aperea ENSCAPG00000014277
ictidomys_tridecemlineatus ENSSTOG00000011933
urocitellus_parryii ENSUPAG00010021020
spermophilus_dauricus ENSSDAG00000020385
marmota_marmota_marmota ENSMMMG00000018659
oryctolagus_cuniculus ENSOCUG00000013683
ochotona_princeps ENSOPRG00000006875
pan_troglodytes ENSPTRG00000000339
pan_paniscus ENSPPAG00000035201
homo_sapiens ENSG00000117305
gorilla_gorilla ENSGGOG00000004339
pongo_abelii ENSPPYG00000001731
nomascus_leucogenys ENSNLEG00000008664
rhinopithecus_roxellana ENSRROG00000040170
rhinopithecus_bieti ENSRBIG00000041225
colobus_angolensis_palliatus ENSCANG00000039052
piliocolobus_tephrosceles ENSPTEG00000013327
chlorocebus_sabaeus ENSCSAG00000000934
papio_anubis ENSPANG00000010869
theropithecus_gelada ENSTGEG00000004321
mandrillus_leucophaeus ENSMLEG00000034060
macaca_nemestrina ENSMNEG00000040518
macaca_mulatta ENSMMUG00000019548
macaca_fascicularis ENSMFAG00000001549
cercocebus_atys ENSCATG00000020396
cebus_capucinus ENSCCAG00000023261
saimiri_boliviensis_boliviensis ENSSBOG00000021529
callithrix_jacchus ENSCJAG00000020903
aotus_nancymaae ENSANAG00000023122
carlito_syrichta ENSTSYG00000000974
propithecus_coquereli ENSPCOG00000016623
prolemur_simus ENSPSMG00000013254
microcebus_murinus ENSMICG00000005852
otolemur_garnettii ENSOGAG00000009381
echinops_telfairi ENSETEG00000005048
notamacropus_eugenii ENSMEUG00000003215
phascolarctos_cinereus ENSPCIG00000014290
sarcophilus_harrisii ENSSHAG00000005255
monodelphis_domestica ENSMODG00000012891
pogona_vitticeps ENSPVIG00000020272
pogona_vitticeps ENSPVIG00000003605
anolis_carolinensis ENSACAG00000005231
notechis_scutatus ENSNSUG00000019808
salvator_merianae ENSSMRG00000001053
sphenodon_punctatus ENSSPUG00000001458
coturnix_japonica ENSCJPG00005005108
gallus_gallus ENSGALG00000004057
numida_meleagris ENSNMEG00000011930
anser_brachyrhynchus ENSABRG00000012489
melopsittacus_undulatus ENSMUNG00000003504
calidris_pugnax ENSCPUG00000016251
calidris_pygmaea ENSCPGG00000017740
manacus_vitellinus ENSMVIG00005008649
lepidothrix_coronata ENSLCOG00000009661
lonchura_striata_domestica ENSLSDG00000015269
taeniopygia_guttata ENSTGUG00000001195
junco_hyemalis ENSJHYG00000000133
zonotrichia_albicollis ENSZALG00000016012
serinus_canaria ENSSCAG00000006869
ficedula_albicollis ENSFALG00000000512
cyanistes_caeruleus ENSCCEG00000016806
parus_major ENSPMJG00000000643
apteryx_haastii ENSAHAG00000010173
apteryx_owenii ENSAOWG00000010744
apteryx_rowi ENSARWG00000011111
dromaius_novaehollandiae ENSDNVG00000008625
nothoprocta_perdicaria ENSNPEG00000011238
crocodylus_porosus ENSCPRG00005016550
gopherus_agassizii ENSGAGG00000005346
chelonoidis_abingdonii ENSCABG00000001979
chrysemys_picta_bellii ENSCPBG00000000518
pelodiscus_sinensis ENSPSIG00000005841
xenopus_tropicalis ENSXETG00000015336
latimeria_chalumnae ENSLACG00000010365
petromyzon_marinus ENSPMAG00000006726
eptatretus_burgeri ENSEBUG00000006642
