caenorhabditis_elegans_strain_n2 WBGene00010409
drosophila_melanogaster FBgn0032251
eptatretus_burgeri ENSEBUG00000005551
petromyzon_marinus ENSPMAG00000004105
manacus_vitellinus ENSMVIG00005015558
lepidothrix_coronata ENSLCOG00000010024
zonotrichia_albicollis ENSZALG00000012756
junco_hyemalis ENSJHYG00000010540
gallus_gallus ENSGALG00000009504
numida_meleagris ENSNMEG00000012781
dromaius_novaehollandiae ENSDNVG00000002206
salvator_merianae ENSSMRG00000005469
monodelphis_domestica ENSMODG00000008405
latimeria_chalumnae ENSLACG00000022174
scleropages_formosus ENSSFOG00015003406
paramormyrops_kingsleyae ENSPKIG00000021110
takifugu_rubripes ENSTRUG00000010786
takifugu_rubripes ENSTRUG00000015029
tetraodon_nigroviridis ENSTNIG00000016623
labrus_bergylta ENSLBEG00000026837
poecilia_formosa ENSPFOG00000016549
poecilia_mexicana ENSPMEG00000012546
poecilia_latipinna ENSPLAG00000005818
poecilia_reticulata ENSPREG00000003735
xiphophorus_maculatus ENSXMAG00000005673
gambusia_affinis ENSGAFG00000006397
fundulus_heteroclitus ENSFHEG00000005196
cyprinodon_variegatus ENSCVAG00000016540
cyprinodon_variegatus ENSCVAG00000016850
kryptolebias_marmoratus ENSKMAG00000015399
oryzias_latipes_asm223469v1 ENSORLG00015001288
oryzias_latipes ENSORLG00000011593
oryzias_latipes ENSORLG00020016241
oryzias_melastigma ENSOMEG00000021951
hippocampus_comes ENSHCOG00000008094
cynoglossus_semilaevis ENSCSEG00000011720
mastacembelus_armatus ENSMAMG00000019775
monopterus_albus ENSMALG00000003074
anabas_testudineus ENSATEG00000017351
seriola_lalandi_dorsalis ENSSLDG00000001733
seriola_dumerili ENSSDUG00000001297
amphiprion_ocellaris ENSAOCG00000003419
amphiprion_percula ENSAPEG00000015945
acanthochromis_polyacanthus ENSAPOG00000001667
stegastes_partitus ENSSPAG00000010755
astatotilapia_calliptera ENSACLG00000025765
maylandia_zebra ENSMZEG00005008674
haplochromis_burtoni ENSHBUG00000010752
pundamilia_nyererei ENSPNYG00000017673
neolamprologus_brichardi ENSNBRG00000015903
oreochromis_niloticus ENSONIG00000009943
amphilophus_citrinellus ENSACIG00000008948
scophthalmus_maximus ENSSMAG00000009185
gasterosteus_aculeatus ENSGACG00000005042
mola_mola ENSMMOG00000003328
periophthalmus_magnuspinnatus ENSPMGG00000022380
esox_lucius ENSELUG00000016291
pygocentrus_nattereri ENSPNAG00000008367
astyanax_mexicanus ENSAMXG00000012091
ictalurus_punctatus ENSIPUG00000024470
danio_rerio ENSDARG00000024311
lepisosteus_oculatus ENSLOCG00000008786
ciona_savignyi ENSCSAVG00000002024
ciona_intestinalis ENSCING00000007558
saccharomyces_cerevisiae YDL105W
