poecilia_latipinna ENSPLAG00000013254
fundulus_heteroclitus ENSFHEG00000023336
oreochromis_niloticus ENSONIG00000012248
pundamilia_nyererei ENSPNYG00000017019
amphilophus_citrinellus ENSACIG00000012946
tetraodon_nigroviridis ENSTNIG00000015047
hippocampus_comes ENSHCOG00000019526
astyanax_mexicanus ENSAMXG00005003392
ictalurus_punctatus ENSIPUG00000022432
danio_rerio ENSDARG00000036675
paramormyrops_kingsleyae ENSPKIG00000003028
paramormyrops_kingsleyae ENSPKIG00000006240
sorex_araneus ENSSARG00000010620
sorex_araneus ENSSARG00000008882
dasypus_novemcinctus ENSDNOG00000033368
chrysemys_picta ENSCPBG00000022326
chrysemys_picta ENSCPBG00000018623
gopherus_agassizii ENSGAGG00000010635
chelonoidis_abingdonii ENSCABG00000004651
pelodiscus_sinensis ENSPSIG00000004486
gallus_gallus ENSGALG00000042011
meleagris_gallopavo ENSMGAG00000007630
coturnix_japonica ENSCJPG00005002420
apteryx_owenii ENSAOWG00000004961
apteryx_rowi ENSARWG00000009998
apteryx_haastii ENSAHAG00000014692
dromaius_novaehollandiae ENSDNVG00000008033
lonchura_striata ENSLSDG00000003688
nothoprocta_perdicaria ENSNPEG00000011233
anolis_carolinensis ENSACAG00000007169
pogona_vitticeps ENSPVIG00000006867
notechis_scutatus ENSNSUG00000002960
salvator_merianae ENSSMRG00000002434
tupaia_belangeri ENSTBEG00000016272
ictidomys_tridecemlineatus ENSSTOG00000015259
myotis_lucifugus ENSMLUG00000026028
echinops_telfairi ENSETEG00000017485
castor_canadensis ENSCCNG00000023300
chinchilla_lanigera ENSCLAG00000007977
otolemur_garnettii ENSOGAG00000031644
myotis_lucifugus ENSMLUG00000028335
echinops_telfairi ENSETEG00000017761
echinops_telfairi ENSETEG00000002921
dipodomys_ordii ENSDORG00000028388
propithecus_coquereli ENSPCOG00000017921
capra_hircus ENSCHIG00000017826
mus_musculus ENSMUSG00000098549
mus_spretus MGP_SPRETEiJ_G0014912
mus_caroli MGP_CAROLIEiJ_G0014108
mus_pahari MGP_PahariEiJ_G0027352
nannospalax_galili ENSNGAG00000017839
canis_lupus ENSCAFG00000005164
canis_lupus ENSCAFG00020017577
dasypus_novemcinctus ENSDNOG00000037882
dasypus_novemcinctus ENSDNOG00000041750
canis_lupus ENSCAFG00020013754
vulpes_vulpes ENSVVUG00000006307
canis_lupus ENSCAFG00020011757
vulpes_vulpes ENSVVUG00000024413
mustela_putorius ENSMPUG00000012635
felis_catus ENSFCAG00000012001
bos_taurus ENSBTAG00000052568
piliocolobus_tephrosceles ENSPTEG00000037668
jaculus_jaculus ENSJJAG00000002566
aotus_nancymaae ENSANAG00000035982
callithrix_jacchus ENSCJAG00000063009
jaculus_jaculus ENSJJAG00000017750
jaculus_jaculus ENSJJAG00000016030
erinaceus_europaeus ENSEEUG00000009941
erinaceus_europaeus ENSEEUG00000011837
mustela_putorius ENSMPUG00000004620
mustela_putorius ENSMPUG00000005940
panthera_pardus ENSPPRG00000005026
equus_asinus ENSEASG00005023455
myotis_lucifugus ENSMLUG00000030316
myotis_lucifugus ENSMLUG00000027180
loxodonta_africana ENSLAFG00000026657
loxodonta_africana ENSLAFG00000030769
loxodonta_africana ENSLAFG00000029171
ovis_aries ENSOARG00000003049
nannospalax_galili ENSNGAG00000018392
felis_catus ENSFCAG00000042512
dasypus_novemcinctus ENSDNOG00000010301
colobus_angolensis ENSCANG00000028832
theropithecus_gelada ENSTGEG00000022073
heterocephalus_glaber ENSHGLG00000020870
heterocephalus_glaber ENSHGLG00100006275
heterocephalus_glaber ENSHGLG00100001909
neovison_vison ENSNVIG00000022762
canis_lupus ENSCAFG00020021537
echinops_telfairi ENSETEG00000009031
echinops_telfairi ENSETEG00000011678
dasypus_novemcinctus ENSDNOG00000049276
peromyscus_maniculatus ENSPEMG00000011977
ictidomys_tridecemlineatus ENSSTOG00000033766
pan_paniscus ENSPPAG00000027791
pan_troglodytes ENSPTRG00000052173
gorilla_gorilla ENSGGOG00000027879
propithecus_coquereli ENSPCOG00000028658
theropithecus_gelada ENSTGEG00000025494
theropithecus_gelada ENSTGEG00000027533
macaca_fascicularis ENSMFAG00000043804
canis_lupus ENSCAFG00020018495
ailuropoda_melanoleuca ENSAMEG00000004289
neovison_vison ENSNVIG00000010282
capra_hircus ENSCHIG00000025214
dasypus_novemcinctus ENSDNOG00000034908
rhinopithecus_roxellana ENSRROG00000030782
colobus_angolensis ENSCANG00000041992
theropithecus_gelada ENSTGEG00000010288
macaca_fascicularis ENSMFAG00000031561
macaca_nemestrina ENSMNEG00000042992
macaca_mulatta ENSMMUG00000007887
chlorocebus_sabaeus ENSCSAG00000005436
mandrillus_leucophaeus ENSMLEG00000044414
piliocolobus_tephrosceles ENSPTEG00000035759
pan_troglodytes ENSPTRG00000049417
carlito_syrichta ENSTSYG00000012949
microcebus_murinus ENSMICG00000032477
oryctolagus_cuniculus ENSOCUG00000023674
oryctolagus_cuniculus ENSOCUG00000023322
oryctolagus_cuniculus ENSOCUG00000013350
oryctolagus_cuniculus ENSOCUG00000022568
oryctolagus_cuniculus ENSOCUG00000021006
oryctolagus_cuniculus ENSOCUG00000022627
oryctolagus_cuniculus ENSOCUG00000021007
tupaia_belangeri ENSTBEG00000008238
cricetulus_griseus ENSCGRG00001013129
cricetulus_griseus ENSCGRG00000006222
mesocricetus_auratus ENSMAUG00000019184
mus_spretus MGP_SPRETEiJ_G0021266
jaculus_jaculus ENSJJAG00000024047
castor_canadensis ENSCCNG00000024943
pan_paniscus ENSPPAG00000018027
homo_sapiens ENSG00000135486
papio_anubis ENSPANG00000010434
propithecus_coquereli ENSPCOG00000015986
prolemur_simus ENSPSMG00000016993
mus_musculus ENSMUSG00000046434
mus_spicilegus ENSMSIG00000010644
rattus_norvegicus ENSRNOG00000036839
nannospalax_galili ENSNGAG00000017304
bos_taurus ENSBTAG00000001553
bos_indicus ENSBIXG00000004495
ovis_aries ENSOARG00000016240
sus_scrofa ENSSSCG00000000288
panthera_pardus ENSPPRG00000012587
macaca_fascicularis ENSMFAG00000030694
pan_paniscus ENSPPAG00000025744
microtus_ochrogaster ENSMOCG00000004275
capra_hircus ENSCHIG00000011858
capra_hircus ENSCHIG00000020945
bos_indicus ENSBIXG00005013410
bison_bison ENSBBBG00000004708
equus_caballus ENSECAG00000008676
capra_hircus ENSCHIG00000008322
myotis_lucifugus ENSMLUG00000003232
prolemur_simus ENSPSMG00000015373
propithecus_coquereli ENSPCOG00000020647
otolemur_garnettii ENSOGAG00000029974
otolemur_garnettii ENSOGAG00000033209
piliocolobus_tephrosceles ENSPTEG00000028325
colobus_angolensis ENSCANG00000039350
cercocebus_atys ENSCATG00000001588
macaca_nemestrina ENSMNEG00000038566
papio_anubis ENSPANG00000011253
mandrillus_leucophaeus ENSMLEG00000040197
chlorocebus_sabaeus ENSCSAG00000000627
panthera_pardus ENSPPRG00000005893
felis_catus ENSFCAG00000050603
bos_indicus ENSBIXG00005021562
microcebus_murinus ENSMICG00000044516
bos_mutus ENSBMUG00000019765
bos_mutus ENSBMUG00000017140
bos_indicus ENSBIXG00005015049
bos_indicus ENSBIXG00000005669
bos_taurus ENSBTAG00000021755
bison_bison ENSBBBG00000002385
bos_indicus ENSBIXG00005015356
erinaceus_europaeus ENSEEUG00000006130
rhinopithecus_roxellana ENSRROG00000039750
meriones_unguiculatus ENSMUGG00000007143
pongo_abelii ENSPPYG00000025850
ochotona_princeps ENSOPRG00000006107
cebus_capucinus ENSCCAG00000025169
mus_spicilegus ENSMSIG00000010198
sorex_araneus ENSSARG00000008946
erinaceus_europaeus ENSEEUG00000000494
nannospalax_galili ENSNGAG00000000408
myotis_lucifugus ENSMLUG00000028292
dasypus_novemcinctus ENSDNOG00000039227
otolemur_garnettii ENSOGAG00000027042
oryctolagus_cuniculus ENSOCUG00000028124
ovis_aries ENSOARG00000015841
dasypus_novemcinctus ENSDNOG00000048115
piliocolobus_tephrosceles ENSPTEG00000023869
propithecus_coquereli ENSPCOG00000011549
urocitellus_parryii ENSUPAG00010014177
spermophilus_dauricus ENSSDAG00000019147
urocitellus_parryii ENSUPAG00010010179
mus_spicilegus ENSMSIG00000025494
homo_sapiens ENSG00000224578
cebus_capucinus ENSCCAG00000028483
canis_lupus ENSCAFG00000040986
canis_lupus ENSCAFG00000006663
felis_catus ENSFCAG00000026009
bos_taurus ENSBTAG00000024964
bos_indicus ENSBIXG00000008497
bison_bison ENSBBBG00000004565
ovis_aries ENSOARG00000015110
dasypus_novemcinctus ENSDNOG00000044747
prolemur_simus ENSPSMG00000015887
propithecus_coquereli ENSPCOG00000021193
pan_paniscus ENSPPAG00000038639
jaculus_jaculus ENSJJAG00000023987
equus_asinus ENSEASG00005008801
equus_caballus ENSECAG00000006699
mustela_putorius ENSMPUG00000002619
pongo_abelii ENSPPYG00000018709
