eptatretus_burgeri ENSEBUG00000003529
petromyzon_marinus ENSPMAG00000008051
anolis_carolinensis ENSACAG00000003829
pogona_vitticeps ENSPVIG00000021197
sphenodon_punctatus ENSSPUG00000004675
choloepus_hoffmanni ENSCHOG00000008451
dasypus_novemcinctus ENSDNOG00000003918
bos_taurus ENSBTAG00000001782
bos_mutus ENSBMUG00000014625
bison_bison_bison ENSBBBG00000019085
ovis_aries ENSOARG00000005927
capra_hircus ENSCHIG00000013852
tursiops_truncatus ENSTTRG00000011794
sus_scrofa ENSSSCG00000031860
equus_asinus_asinus ENSEASG00005019736
equus_caballus ENSECAG00000013794
mustela_putorius_furo ENSMPUG00000017750
neovison_vison ENSNVIG00000010122
canis_lupus_dingo ENSCAFG00020016784
canis_lupus_familiaris ENSCAFG00000005623
vulpes_vulpes ENSVVUG00000006433
ursus_americanus ENSUAMG00000011626
ursus_maritimus ENSUMAG00000019235
ailuropoda_melanoleuca ENSAMEG00000008722
panthera_pardus ENSPPRG00000011742
panthera_tigris_altaica ENSPTIG00000008427
felis_catus ENSFCAG00000014573
sorex_araneus ENSSARG00000006985
pteropus_vampyrus ENSPVAG00000011605
myotis_lucifugus ENSMLUG00000006076
cebus_capucinus ENSCCAG00000035388
saimiri_boliviensis_boliviensis ENSSBOG00000025707
callithrix_jacchus ENSCJAG00000043176
aotus_nancymaae ENSANAG00000033654
rhinopithecus_roxellana ENSRROG00000030787
rhinopithecus_bieti ENSRBIG00000029741
colobus_angolensis_palliatus ENSCANG00000003652
piliocolobus_tephrosceles ENSPTEG00000038120
macaca_nemestrina ENSMNEG00000040379
macaca_fascicularis ENSMFAG00000044563
mandrillus_leucophaeus ENSMLEG00000036963
theropithecus_gelada ENSTGEG00000002989
papio_anubis ENSPANG00000021673
cercocebus_atys ENSCATG00000038438
chlorocebus_sabaeus ENSCSAG00000003929
pan_troglodytes ENSPTRG00000010948
pan_paniscus ENSPPAG00000041637
gorilla_gorilla ENSGGOG00000002500
homo_sapiens ENSG00000128626
pongo_abelii ENSPPYG00000009950
microcebus_murinus ENSMICG00000045111
propithecus_coquereli ENSPCOG00000020370
prolemur_simus ENSPSMG00000023466
otolemur_garnettii ENSOGAG00000008295
otolemur_garnettii ENSOGAG00000025634
cavia_porcellus ENSCPOG00000035217
cavia_aperea ENSCAPG00000009543
octodon_degus ENSODEG00000016161
chinchilla_lanigera ENSCLAG00000013286
heterocephalus_glaber_female ENSHGLG00000014942
heterocephalus_glaber_male ENSHGLG00100017710
fukomys_damarensis ENSFDAG00000008482
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030553
mus_musculus ENSMUSG00000045948
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029457
mus_spicilegus ENSMSIG00000000095
mus_pahari MGP_PahariEiJ_G0012691
rattus_norvegicus ENSRNOG00000019949
meriones_unguiculatus ENSMUGG00000023344
cricetulus_griseus_chok1gshd ENSCGRG00001018968
cricetulus_griseus_crigri ENSCGRG00000007113
cricetulus_griseus_crigri-picr ENSCGRG00015025986
mesocricetus_auratus ENSMAUG00000019146
peromyscus_maniculatus_bairdii ENSPEMG00000016700
microtus_ochrogaster ENSMOCG00000012666
nannospalax_galili ENSNGAG00000022099
jaculus_jaculus ENSJJAG00000017837
dipodomys_ordii ENSDORG00000001544
urocitellus_parryii ENSUPAG00010009562
spermophilus_dauricus ENSSDAG00000001969
marmota_marmota_marmota ENSMMMG00000000334
ictidomys_tridecemlineatus ENSSTOG00000009006
castor_canadensis ENSCCNG00000026399
oryctolagus_cuniculus ENSOCUG00000000689
tupaia_belangeri ENSTBEG00000001288
carlito_syrichta ENSTSYG00000009568
erinaceus_europaeus ENSEEUG00000013868
loxodonta_africana ENSLAFG00000022140
procavia_capensis ENSPCAG00000010853
echinops_telfairi ENSETEG00000017985
notamacropus_eugenii ENSMEUG00000005688
phascolarctos_cinereus ENSPCIG00000010531
monodelphis_domestica ENSMODG00000013431
anas_platyrhynchos_platyrhynchos ENSAPLG00000014350
anas_platyrhynchos_platyrhynchos ENSAPLG00000011925
anser_brachyrhynchus ENSABRG00000022497
gallus_gallus ENSGALG00000038667
meleagris_gallopavo ENSMGAG00000005414
coturnix_japonica ENSCJPG00005006504
numida_meleagris ENSNMEG00000005151
calidris_pugnax ENSCPUG00000008263
calidris_pygmaea ENSCPGG00000017737
taeniopygia_guttata ENSTGUG00000016491
lonchura_striata_domestica ENSLSDG00000004418
parus_major ENSPMJG00000003301
ficedula_albicollis ENSFALG00000015276
lepidothrix_coronata ENSLCOG00000013755
apteryx_owenii ENSAOWG00000000845
salvator_merianae ENSSMRG00000001187
chelonoidis_abingdonii ENSCABG00000008191
gopherus_agassizii ENSGAGG00000009748
chrysemys_picta_bellii ENSCPBG00000018941
