nomascus_leucogenys ENSNLEG00000034278
pan_troglodytes ENSPTRG00000042986
colobus_angolensis_palliatus ENSCANG00000020181
rhinopithecus_bieti ENSRBIG00000036693
macaca_fascicularis ENSMFAG00000035236
papio_anubis ENSPANG00000036156
theropithecus_gelada ENSTGEG00000022346
cercocebus_atys ENSCATG00000034846
mandrillus_leucophaeus ENSMLEG00000027428
saimiri_boliviensis_boliviensis ENSSBOG00000024739
cebus_capucinus ENSCCAG00000038064
aotus_nancymaae ENSANAG00000032924
prolemur_simus ENSPSMG00000000191
