parus_major ENSPMJG00000017776
calidris_pygmaea ENSCPGG00000015743
anas_platyrhynchos_platyrhynchos ENSAPLG00000024965
dromaius_novaehollandiae ENSDNVG00000007971
apteryx_rowi ENSARWG00000011690
crocodylus_porosus ENSCPRG00005002184
gopherus_agassizii ENSGAGG00000020377
chelonoidis_abingdonii ENSCABG00000017873
chrysemys_picta_bellii ENSCPBG00000000974
pelodiscus_sinensis ENSPSIG00000007241
anolis_carolinensis ENSACAG00000000599
pogona_vitticeps ENSPVIG00000016164
notechis_scutatus ENSNSUG00000020319
salvator_merianae ENSSMRG00000016323
sphenodon_punctatus ENSSPUG00000011438
oryctolagus_cuniculus ENSOCUG00000005036
ochotona_princeps ENSOPRG00000013052
chinchilla_lanigera ENSCLAG00000012239
sorex_araneus ENSSARG00000011618
myotis_lucifugus ENSMLUG00000002066
pteropus_vampyrus ENSPVAG00000009857
ursus_maritimus ENSUMAG00000006779
ursus_americanus ENSUAMG00000002477
ailuropoda_melanoleuca ENSAMEG00000003416
neovison_vison ENSNVIG00000022088
mustela_putorius_furo ENSMPUG00000003980
canis_lupus_dingo ENSCAFG00020017886
canis_lupus_familiaris ENSCAFG00000009667
vulpes_vulpes ENSVVUG00000006404
panthera_tigris_altaica ENSPTIG00000014811
panthera_pardus ENSPPRG00000009203
felis_catus ENSFCAG00000024534
ovis_aries ENSOARG00000010494
capra_hircus ENSCHIG00000025564
bos_taurus ENSBTAG00000003483
bos_mutus ENSBMUG00000013352
bison_bison_bison ENSBBBG00000003572
tursiops_truncatus ENSTTRG00000012036
sus_scrofa ENSSSCG00000009615
equus_caballus ENSECAG00000010645
equus_asinus_asinus ENSEASG00005018844
erinaceus_europaeus ENSEEUG00000011815
pan_troglodytes ENSPTRG00000020049
pan_paniscus ENSPPAG00000031703
homo_sapiens ENSG00000275074
gorilla_gorilla ENSGGOG00000004482
pongo_abelii ENSPPYG00000018412
nomascus_leucogenys ENSNLEG00000028376
mandrillus_leucophaeus ENSMLEG00000035829
cercocebus_atys ENSCATG00000031847
macaca_mulatta ENSMMUG00000013021
macaca_fascicularis ENSMFAG00000001150
macaca_nemestrina ENSMNEG00000044949
papio_anubis ENSPANG00000016695
theropithecus_gelada ENSTGEG00000024013
chlorocebus_sabaeus ENSCSAG00000016570
rhinopithecus_bieti ENSRBIG00000037911
rhinopithecus_roxellana ENSRROG00000034673
colobus_angolensis_palliatus ENSCANG00000029289
piliocolobus_tephrosceles ENSPTEG00000025791
saimiri_boliviensis_boliviensis ENSSBOG00000002418
cebus_capucinus ENSCCAG00000037530
callithrix_jacchus ENSCJAG00000020357
aotus_nancymaae ENSANAG00000026181
carlito_syrichta ENSTSYG00000036146
propithecus_coquereli ENSPCOG00000023646
microcebus_murinus ENSMICG00000000990
prolemur_simus ENSPSMG00000005396
otolemur_garnettii ENSOGAG00000004890
loxodonta_africana ENSLAFG00000015609
procavia_capensis ENSPCAG00000001573
echinops_telfairi ENSETEG00000002918
urocitellus_parryii ENSUPAG00010017905
ictidomys_tridecemlineatus ENSSTOG00000029142
spermophilus_dauricus ENSSDAG00000004867
marmota_marmota_marmota ENSMMMG00000017482
heterocephalus_glaber_male ENSHGLG00100014469
heterocephalus_glaber_female ENSHGLG00000009076
fukomys_damarensis ENSFDAG00000016294
cavia_porcellus ENSCPOG00000030205
cavia_aperea ENSCAPG00000015571
octodon_degus ENSODEG00000007621
castor_canadensis ENSCCNG00000006022
dipodomys_ordii ENSDORG00000011892
peromyscus_maniculatus_bairdii ENSPEMG00000014423
microtus_ochrogaster ENSMOCG00000007739
cricetulus_griseus_crigri ENSCGRG00000003107
cricetulus_griseus_chok1gshd ENSCGRG00001004686
mesocricetus_auratus ENSMAUG00000010693
mus_musculus ENSMUSG00000045211
mus_spicilegus ENSMSIG00000031175
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020380
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019488
mus_pahari MGP_PahariEiJ_G0030505
rattus_norvegicus ENSRNOG00000011831
meriones_unguiculatus ENSMUGG00000010251
nannospalax_galili ENSNGAG00000009752
jaculus_jaculus ENSJJAG00000013459
dasypus_novemcinctus ENSDNOG00000048317
phascolarctos_cinereus ENSPCIG00000036571
notamacropus_eugenii ENSMEUG00000003483
sarcophilus_harrisii ENSSHAG00000018014
monodelphis_domestica ENSMODG00000009619
ornithorhynchus_anatinus ENSOANG00000007144
lepidothrix_coronata ENSLCOG00000003423
lonchura_striata_domestica ENSLSDG00000015561
coturnix_japonica ENSCJPG00005015132
calidris_pygmaea ENSCPGG00000015741
calidris_pugnax ENSCPUG00000004075
nothoprocta_perdicaria ENSNPEG00000010367
latimeria_chalumnae ENSLACG00000017102
poecilia_formosa ENSPFOG00000010420
poecilia_mexicana ENSPMEG00000016845
poecilia_latipinna ENSPLAG00000005502
xiphophorus_maculatus ENSXMAG00000015000
gambusia_affinis ENSGAFG00000015774
