monopterus_albus ENSMALG00000005259
mastacembelus_armatus ENSMAMG00000010879
anabas_testudineus ENSATEG00000016968
scophthalmus_maximus ENSSMAG00000005222
haplochromis_burtoni ENSHBUG00000021086
astatotilapia_calliptera ENSACLG00000005866
maylandia_zebra ENSMZEG00005021025
pundamilia_nyererei ENSPNYG00000023797
maylandia_zebra ENSMZEG00005028396
neolamprologus_brichardi ENSNBRG00000024038
oreochromis_niloticus ENSONIG00000009187
amphilophus_citrinellus ENSACIG00000003724
ochotona_princeps ENSOPRG00000011349
sorex_araneus ENSSARG00000009653
sus_scrofa ENSSSCG00000040661
echinops_telfairi ENSETEG00000003541
