marmota_marmota_marmota ENSMMMG00000006827
spermophilus_dauricus ENSSDAG00000015122
urocitellus_parryii ENSUPAG00010011464
ictidomys_tridecemlineatus ENSSTOG00000026908
heterocephalus_glaber_female ENSHGLG00000019155
heterocephalus_glaber_male ENSHGLG00100007224
mus_spicilegus ENSMSIG00000016897
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016982
mus_musculus ENSMUSG00000020286
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016139
mus_pahari MGP_PahariEiJ_G0016751
rattus_norvegicus ENSRNOG00000051590
meriones_unguiculatus ENSMUGG00000005839
cricetulus_griseus_chok1gshd ENSCGRG00001014409
cricetulus_griseus_crigri-picr ENSCGRG00015027601
cricetulus_griseus_crigri ENSCGRG00000006098
mesocricetus_auratus ENSMAUG00000002621
microtus_ochrogaster ENSMOCG00000014054
peromyscus_maniculatus_bairdii ENSPEMG00000004943
nannospalax_galili ENSNGAG00000023598
jaculus_jaculus ENSJJAG00000019388
dipodomys_ordii ENSDORG00000011227
oryctolagus_cuniculus ENSOCUG00000029395
ochotona_princeps ENSOPRG00000018863
pan_paniscus ENSPPAG00000027440
pan_troglodytes ENSPTRG00000033941
homo_sapiens ENSG00000237651
gorilla_gorilla ENSGGOG00000023058
nomascus_leucogenys ENSNLEG00000009582
colobus_angolensis_palliatus ENSCANG00000000952
piliocolobus_tephrosceles ENSPTEG00000017165
rhinopithecus_roxellana ENSRROG00000033337
rhinopithecus_bieti ENSRBIG00000043239
macaca_fascicularis ENSMFAG00000034596
macaca_mulatta ENSMMUG00000041555
macaca_nemestrina ENSMNEG00000028498
theropithecus_gelada ENSTGEG00000008299
papio_anubis ENSPANG00000035894
mandrillus_leucophaeus ENSMLEG00000041467
cercocebus_atys ENSCATG00000037754
chlorocebus_sabaeus ENSCSAG00000014493
saimiri_boliviensis_boliviensis ENSSBOG00000026818
cebus_capucinus ENSCCAG00000032740
callithrix_jacchus ENSCJAG00000042078
aotus_nancymaae ENSANAG00000032268
carlito_syrichta ENSTSYG00000035356
propithecus_coquereli ENSPCOG00000019501
microcebus_murinus ENSMICG00000034983
prolemur_simus ENSPSMG00000014130
otolemur_garnettii ENSOGAG00000033349
castor_canadensis ENSCCNG00000009020
tursiops_truncatus ENSTTRG00000013364
sus_scrofa ENSSSCG00000008384
bos_taurus ENSBTAG00000047149
bos_mutus ENSBMUG00000026415
bison_bison_bison ENSBBBG00000016460
capra_hircus ENSCHIG00000015008
ovis_aries ENSOARG00000020283
vicugna_pacos ENSVPAG00000000499
equus_asinus_asinus ENSEASG00005002091
equus_caballus ENSECAG00000013166
pteropus_vampyrus ENSPVAG00000002520
myotis_lucifugus ENSMLUG00000027969
ursus_americanus ENSUAMG00000010173
ursus_maritimus ENSUMAG00000019220
ailuropoda_melanoleuca ENSAMEG00000018247
neovison_vison ENSNVIG00000012228
mustela_putorius_furo ENSMPUG00000005244
canis_lupus_dingo ENSCAFG00020026882
canis_lupus_familiaris ENSCAFG00000030289
vulpes_vulpes ENSVVUG00000010534
panthera_tigris_altaica ENSPTIG00000011235
panthera_pardus ENSPPRG00000024210
felis_catus ENSFCAG00000019120
dasypus_novemcinctus ENSDNOG00000024848
choloepus_hoffmanni ENSCHOG00000011851
loxodonta_africana ENSLAFG00000020666
sarcophilus_harrisii ENSSHAG00000013408
