ciona_intestinalis ENSCING00000013172
ciona_savignyi ENSCSAVG00000007849
seriola_dumerili ENSSDUG00000016866
seriola_lalandi_dorsalis ENSSLDG00000009157
scophthalmus_maximus ENSSMAG00000015293
mastacembelus_armatus ENSMAMG00000023468
anabas_testudineus ENSATEG00000002065
tetraodon_nigroviridis ENSTNIG00000006016
tetraodon_nigroviridis ENSTNIG00000005953
labrus_bergylta ENSLBEG00000000084
mola_mola ENSMMOG00000009987
gasterosteus_aculeatus ENSGACG00000019455
amphiprion_percula ENSAPEG00000020474
amphiprion_ocellaris ENSAOCG00000013809
acanthochromis_polyacanthus ENSAPOG00000007754
stegastes_partitus ENSSPAG00000022263
pundamilia_nyererei ENSPNYG00000020834
haplochromis_burtoni ENSHBUG00000012309
astatotilapia_calliptera ENSACLG00000015563
maylandia_zebra ENSMZEG00005008331
neolamprologus_brichardi ENSNBRG00000006503
neolamprologus_brichardi ENSNBRG00000006513
neolamprologus_brichardi ENSNBRG00000002038
oreochromis_niloticus ENSONIG00000012046
amphilophus_citrinellus ENSACIG00000023774
poecilia_formosa ENSPFOG00000002435
poecilia_mexicana ENSPMEG00000023905
poecilia_latipinna ENSPLAG00000008799
poecilia_reticulata ENSPREG00000013746
xiphophorus_couchianus ENSXCOG00000015200
xiphophorus_maculatus ENSXMAG00000006341
gambusia_affinis ENSGAFG00000005994
cyprinodon_variegatus ENSCVAG00000008161
fundulus_heteroclitus ENSFHEG00000006382
kryptolebias_marmoratus ENSKMAG00000012296
oryzias_latipes ENSORLG00000026962
oryzias_latipes_asm223469v1 ENSORLG00015020995
oryzias_melastigma ENSOMEG00000012855
fundulus_heteroclitus ENSFHEG00000015089
oryzias_latipes ENSORLG00020021936
hippocampus_comes ENSHCOG00000009507
cynoglossus_semilaevis ENSCSEG00000016868
periophthalmus_magnuspinnatus ENSPMGG00000010678
gadus_morhua ENSGMOG00000007144
esox_lucius ENSELUG00000022579
pygocentrus_nattereri ENSPNAG00000022281
astyanax_mexicanus ENSAMXG00000013250
danio_rerio ENSDARG00000053709
scleropages_formosus ENSSFOG00015018487
paramormyrops_kingsleyae ENSPKIG00000019660
pygocentrus_nattereri ENSPNAG00000024957
astyanax_mexicanus ENSAMXG00000004128
ictalurus_punctatus ENSIPUG00000004635
danio_rerio ENSDARG00000058492
lepisosteus_oculatus ENSLOCG00000016266
