electrophorus_electricus ENSEEEG00000004253
ictalurus_punctatus ENSIPUG00000014387
astyanax_mexicanus ENSAMXG00005015023
astyanax_mexicanus ENSAMXG00000031104
pygocentrus_nattereri ENSPNAG00000004062
denticeps_clupeoides ENSDCDG00000033271
mola_mola ENSMMOG00000020866
takifugu_rubripes ENSTRUG00000023110
cottoperca_gobio ENSCGOG00000006719
labrus_bergylta ENSLBEG00000028049
larimichthys_crocea ENSLCRG00005023004
mastacembelus_armatus ENSMAMG00000004688
monopterus_albus ENSMALG00000007670
anabas_testudineus ENSATEG00000005968
betta_splendens ENSBSLG00000023143
seriola_dumerili ENSSDUG00000012575
seriola_lalandi ENSSLDG00000007243
lates_calcarifer ENSLCAG00010011934
lates_calcarifer ENSLCAG00010008376
scophthalmus_maximus ENSSMAG00000007917
cynoglossus_semilaevis ENSCSEG00000008001
amphiprion_percula ENSAPEG00000002385
amphiprion_ocellaris ENSAOCG00000001538
acanthochromis_polyacanthus ENSAPOG00000007392
stegastes_partitus ENSSPAG00000017191
parambassis_ranga ENSPRNG00000014731
poecilia_formosa ENSPFOG00000016362
poecilia_latipinna ENSPLAG00000016810
poecilia_mexicana ENSPMEG00000012752
poecilia_reticulata ENSPREG00000010733
gambusia_affinis ENSGAFG00000011979
xiphophorus_couchianus ENSXCOG00000003981
fundulus_heteroclitus ENSFHEG00000019499
cyprinodon_variegatus ENSCVAG00000008203
kryptolebias_marmoratus ENSKMAG00000007122
oryzias_latipes ENSORLG00000030078
oryzias_latipes ENSORLG00020001827
oryzias_latipes ENSORLG00015001463
oryzias_melastigma ENSOMEG00000005746
astatotilapia_calliptera ENSACLG00000026204
maylandia_zebra ENSMZEG00005005964
haplochromis_burtoni ENSHBUG00000007018
pundamilia_nyererei ENSPNYG00000003189
neolamprologus_brichardi ENSNBRG00000006030
amphilophus_citrinellus ENSACIG00000008410
periophthalmus_magnuspinnatus ENSPMGG00000021358
hippocampus_comes ENSHCOG00000011136
gouania_willdenowi ENSGWIG00000014827
gadus_morhua ENSGMOG00000019316
hucho_hucho ENSHHUG00000008670
hucho_hucho ENSHHUG00000030466
esox_lucius ENSELUG00000015285
danio_rerio ENSDARG00000100585
clupea_harengus ENSCHAG00000008436
paramormyrops_kingsleyae ENSPKIG00000024121
scleropages_formosus ENSSFOG00015009349
lepisosteus_oculatus ENSLOCG00000012378
erpetoichthys_calabaricus ENSECRG00000012132
latimeria_chalumnae ENSLACG00000022554
xenopus_tropicalis ENSXETG00000010876
pteropus_vampyrus ENSPVAG00000008803
myotis_lucifugus ENSMLUG00000004072
bos_indicus ENSBIXG00000016391
bos_indicus ENSBIXG00005006632
bos_mutus ENSBMUG00000015325
bos_taurus ENSBTAG00000019911
bison_bison ENSBBBG00000011374
capra_hircus ENSCHIG00000017406
capra_hircus ENSCHIG00000019482
tursiops_truncatus ENSTTRG00000011706
equus_caballus ENSECAG00000023640
equus_asinus ENSEASG00005010046
ursus_americanus ENSUAMG00000013173
ursus_maritimus ENSUMAG00000025059
ailuropoda_melanoleuca ENSAMEG00000006865
mustela_putorius ENSMPUG00000010114
neovison_vison ENSNVIG00000013432
canis_lupus ENSCAFG00020013061
canis_lupus ENSCAFG00000014765
canis_lupus ENSCAFG00020022311
canis_lupus ENSCAFG00000010126
vulpes_vulpes ENSVVUG00000023882
panthera_pardus ENSPPRG00000007814
panthera_tigris ENSPTIG00000011990
felis_catus ENSFCAG00000013134
