kryptolebias_marmoratus ENSKMAG00000011709
oryzias_latipes ENSORLG00000004140
amphilophus_citrinellus ENSACIG00000015657
labrus_bergylta ENSLBEG00000010815
takifugu_rubripes ENSTRUG00000019610
anabas_testudineus ENSATEG00000020113
amphiprion_ocellaris ENSAOCG00000013491
haplochromis_burtoni ENSHBUG00000018615
xiphophorus_couchianus ENSXCOG00000007947
poecilia_latipinna ENSPLAG00000003105
anabas_testudineus ENSATEG00000001404
periophthalmus_magnuspinnatus ENSPMGG00000018451
scleropages_formosus ENSSFOG00015013396
