seriola_lalandi_dorsalis ENSSLDG00000006250
takifugu_rubripes ENSTRUG00000023678
seriola_dumerili ENSSDUG00000019722
cynoglossus_semilaevis ENSCSEG00000017213
mola_mola ENSMMOG00000009867
hippocampus_comes ENSHCOG00000005644
oreochromis_niloticus ENSONIG00000000800
haplochromis_burtoni ENSHBUG00000020813
neolamprologus_brichardi ENSNBRG00000008309
stegastes_partitus ENSSPAG00000005100
oryzias_latipes_asm223469v1 ENSORLG00015017571
oryzias_latipes ENSORLG00020003345
oryzias_latipes ENSORLG00000029784
oryzias_melastigma ENSOMEG00000011274
gambusia_affinis ENSGAFG00000000301
