amphiprion_ocellaris ENSAOCG00000005112
amphiprion_percula ENSAPEG00000018597
acanthochromis_polyacanthus ENSAPOG00000001887
stegastes_partitus ENSSPAG00000020056
maylandia_zebra ENSMZEG00005014602
astatotilapia_calliptera ENSACLG00000004973
pundamilia_nyererei ENSPNYG00000020301
haplochromis_burtoni ENSHBUG00000009630
neolamprologus_brichardi ENSNBRG00000002240
oreochromis_niloticus ENSONIG00000015922
amphilophus_citrinellus ENSACIG00000007248
xiphophorus_maculatus ENSXMAG00000024296
xiphophorus_couchianus ENSXCOG00000009571
gambusia_affinis ENSGAFG00000009316
poecilia_formosa ENSPFOG00000002114
poecilia_mexicana ENSPMEG00000004456
poecilia_latipinna ENSPLAG00000012217
poecilia_reticulata ENSPREG00000004256
fundulus_heteroclitus ENSFHEG00000007303
cyprinodon_variegatus ENSCVAG00000021762
kryptolebias_marmoratus ENSKMAG00000005336
oryzias_latipes ENSORLG00000029206
oryzias_latipes ENSORLG00020009740
oryzias_latipes_asm223469v1 ENSORLG00015023184
oryzias_melastigma ENSOMEG00000006182
seriola_dumerili ENSSDUG00000016379
seriola_lalandi_dorsalis ENSSLDG00000005319
scophthalmus_maximus ENSSMAG00000009141
labrus_bergylta ENSLBEG00000006140
takifugu_rubripes ENSTRUG00000002504
tetraodon_nigroviridis ENSTNIG00000015435
takifugu_rubripes ENSTRUG00000024172
tetraodon_nigroviridis ENSTNIG00000000655
mola_mola ENSMMOG00000018319
gasterosteus_aculeatus ENSGACG00000010212
cynoglossus_semilaevis ENSCSEG00000011392
cynoglossus_semilaevis ENSCSEG00000017721
hippocampus_comes ENSHCOG00000017205
mastacembelus_armatus ENSMAMG00000011751
monopterus_albus ENSMALG00000009652
anabas_testudineus ENSATEG00000004006
periophthalmus_magnuspinnatus ENSPMGG00000013561
gadus_morhua ENSGMOG00000011145
danio_rerio ENSDARG00000089769
ictalurus_punctatus ENSIPUG00000013442
