macaca_nemestrina ENSMNEG00000033113
piliocolobus_tephrosceles ENSPTEG00000030088
pongo_abelii ENSPPYG00000009486
pan_paniscus ENSPPAG00000044101
pan_troglodytes ENSPTRG00000010403
gorilla_gorilla ENSGGOG00000005655
homo_sapiens ENSG00000090659
nomascus_leucogenys ENSNLEG00000001171
rhinopithecus_roxellana ENSRROG00000041662
rhinopithecus_bieti ENSRBIG00000032271
colobus_angolensis_palliatus ENSCANG00000040228
macaca_mulatta ENSMMUG00000022463
macaca_fascicularis ENSMFAG00000046257
cercocebus_atys ENSCATG00000039635
mandrillus_leucophaeus ENSMLEG00000009315
chlorocebus_sabaeus ENSCSAG00000008268
papio_anubis ENSPANG00000023825
theropithecus_gelada ENSTGEG00000021708
cebus_capucinus ENSCCAG00000019752
callithrix_jacchus ENSCJAG00000044378
piliocolobus_tephrosceles ENSPTEG00000005863
piliocolobus_tephrosceles ENSPTEG00000005722
piliocolobus_tephrosceles ENSPTEG00000005619
piliocolobus_tephrosceles ENSPTEG00000005761
callithrix_jacchus ENSCJAG00000006032
macaca_mulatta ENSMMUG00000048292
theropithecus_gelada ENSTGEG00000021681
chlorocebus_sabaeus ENSCSAG00000008277
pan_paniscus ENSPPAG00000039972
pan_troglodytes ENSPTRG00000039006
saimiri_boliviensis_boliviensis ENSSBOG00000033786
cebus_capucinus ENSCCAG00000020177
callithrix_jacchus ENSCJAG00000015556
aotus_nancymaae ENSANAG00000026389
piliocolobus_tephrosceles ENSPTEG00000005800
piliocolobus_tephrosceles ENSPTEG00000005673
carlito_syrichta ENSTSYG00000032964
castor_canadensis ENSCCNG00000006166
otolemur_garnettii ENSOGAG00000028671
otolemur_garnettii ENSOGAG00000008986
propithecus_coquereli ENSPCOG00000020388
microcebus_murinus ENSMICG00000027611
cricetulus_griseus_crigri-picr ENSCGRG00015019007
cricetulus_griseus_crigri ENSCGRG00000005879
cricetulus_griseus_chok1gshd ENSCGRG00001024768
mesocricetus_auratus ENSMAUG00000011892
microtus_ochrogaster ENSMOCG00000011986
peromyscus_maniculatus_bairdii ENSPEMG00000023754
mus_spicilegus ENSMSIG00000011003
mus_musculus ENSMUSG00000040197
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031893
rattus_norvegicus ENSRNOG00000028803
nannospalax_galili ENSNGAG00000015970
dipodomys_ordii ENSDORG00000012009
chinchilla_lanigera ENSCLAG00000002179
octodon_degus ENSODEG00000012346
heterocephalus_glaber_female ENSHGLG00000017766
heterocephalus_glaber_male ENSHGLG00100013848
fukomys_damarensis ENSFDAG00000007292
cavia_aperea ENSCAPG00000017535
cavia_porcellus ENSCPOG00000000303
microtus_ochrogaster ENSMOCG00000013815
peromyscus_maniculatus_bairdii ENSPEMG00000022536
cricetulus_griseus_crigri-picr ENSCGRG00015018949
cricetulus_griseus_chok1gshd ENSCGRG00001006687
cricetulus_griseus_crigri ENSCGRG00000005507
mesocricetus_auratus ENSMAUG00000016298
mus_spicilegus ENSMSIG00000010842
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030784
mus_musculus ENSMUSG00000031494
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031892
mus_pahari MGP_PahariEiJ_G0021251
rattus_norvegicus ENSRNOG00000040128
nannospalax_galili ENSNGAG00000014013
cricetulus_griseus_crigri-picr ENSCGRG00015019153
peromyscus_maniculatus_bairdii ENSPEMG00000029410
rattus_norvegicus ENSRNOG00000042795
mus_spicilegus ENSMSIG00000014735
rattus_norvegicus ENSRNOG00000046921
rattus_norvegicus ENSRNOG00000048882
castor_canadensis ENSCCNG00000006174
dipodomys_ordii ENSDORG00000029898
castor_canadensis ENSCCNG00000006182
cricetulus_griseus_crigri ENSCGRG00000009780
cricetulus_griseus_crigri-picr ENSCGRG00015019117
cricetulus_griseus_chok1gshd ENSCGRG00001013767
mesocricetus_auratus ENSMAUG00000013062
peromyscus_maniculatus_bairdii ENSPEMG00000019023
microtus_ochrogaster ENSMOCG00000021128
mus_musculus ENSMUSG00000040165
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031896
mus_spicilegus ENSMSIG00000014693
mus_pahari MGP_PahariEiJ_G0021253
rattus_norvegicus ENSRNOG00000042807
castor_canadensis ENSCCNG00000028292
ictidomys_tridecemlineatus ENSSTOG00000022637
marmota_marmota_marmota ENSMMMG00000021180
spermophilus_dauricus ENSSDAG00000000281
spermophilus_dauricus ENSSDAG00000000389
urocitellus_parryii ENSUPAG00010018364
marmota_marmota_marmota ENSMMMG00000021176
ictidomys_tridecemlineatus ENSSTOG00000028847
spermophilus_dauricus ENSSDAG00000000255
marmota_marmota_marmota ENSMMMG00000021194
ictidomys_tridecemlineatus ENSSTOG00000029769
chinchilla_lanigera ENSCLAG00000001953
octodon_degus ENSODEG00000012311
cavia_porcellus ENSCPOG00000027614
fukomys_damarensis ENSFDAG00000004728
dipodomys_ordii ENSDORG00000027866
ictidomys_tridecemlineatus ENSSTOG00000020523
marmota_marmota_marmota ENSMMMG00000021198
urocitellus_parryii ENSUPAG00010018355
spermophilus_dauricus ENSSDAG00000000218
chinchilla_lanigera ENSCLAG00000002265
octodon_degus ENSODEG00000010680
cavia_aperea ENSCAPG00000018007
cavia_porcellus ENSCPOG00000038706
fukomys_damarensis ENSFDAG00000012343
chinchilla_lanigera ENSCLAG00000002053
cavia_aperea ENSCAPG00000008099
fukomys_damarensis ENSFDAG00000007709
oryctolagus_cuniculus ENSOCUG00000010890
ochotona_princeps ENSOPRG00000010620
castor_canadensis ENSCCNG00000028286
dipodomys_ordii ENSDORG00000028409
cricetulus_griseus_crigri ENSCGRG00000008186
cricetulus_griseus_chok1gshd ENSCGRG00001018164
mesocricetus_auratus ENSMAUG00000015887
microtus_ochrogaster ENSMOCG00000014532
peromyscus_maniculatus_bairdii ENSPEMG00000023417
mus_musculus ENSMUSG00000065987
mus_spicilegus ENSMSIG00000014613
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031895
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030786
mus_pahari MGP_PahariEiJ_G0021252
rattus_norvegicus ENSRNOG00000029881
nannospalax_galili ENSNGAG00000014247
cricetulus_griseus_crigri ENSCGRG00000006596
cricetulus_griseus_crigri-picr ENSCGRG00015019028
cricetulus_griseus_chok1gshd ENSCGRG00001012454
peromyscus_maniculatus_bairdii ENSPEMG00000023532
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031894
mus_musculus ENSMUSG00000031495
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030785
rattus_norvegicus ENSRNOG00000001017
equus_asinus_asinus ENSEASG00005003839
equus_caballus ENSECAG00000021212
loxodonta_africana ENSLAFG00000005594
procavia_capensis ENSPCAG00000006136
dasypus_novemcinctus ENSDNOG00000044614
