saimiri_boliviensis ENSSBOG00000024630
cebus_capucinus ENSCCAG00000028496
aotus_nancymaae ENSANAG00000029129
carlito_syrichta ENSTSYG00000036515
prolemur_simus ENSPSMG00000002299
macaca_mulatta ENSMMUG00000058472
macaca_mulatta ENSMMUG00000056940
theropithecus_gelada ENSTGEG00000018115
theropithecus_gelada ENSTGEG00000018079
macaca_mulatta ENSMMUG00000055266
rhinopithecus_roxellana ENSRROG00000044055
piliocolobus_tephrosceles ENSPTEG00000026882
piliocolobus_tephrosceles ENSPTEG00000026900
rhinopithecus_bieti ENSRBIG00000037097
gorilla_gorilla ENSGGOG00000003304
homo_sapiens ENSG00000172155
homo_sapiens ENSG00000186226
pan_paniscus ENSPPAG00000001201
pan_troglodytes ENSPTRG00000050660
homo_sapiens ENSG00000240386
nomascus_leucogenys ENSNLEG00000027468
macaca_mulatta ENSMMUG00000054634
microcebus_murinus ENSMICG00000016847
oryctolagus_cuniculus ENSOCUG00000033213
equus_caballus ENSECAG00000043150
choloepus_hoffmanni ENSCHOG00000011196
