rhinopithecus_roxellana ENSRROG00000035578
rhinopithecus_bieti ENSRBIG00000042413
macaca_fascicularis ENSMFAG00000039168
mandrillus_leucophaeus ENSMLEG00000033262
pan_troglodytes ENSPTRG00000019132
gorilla_gorilla ENSGGOG00000038950
pan_troglodytes ENSPTRG00000050290
pan_troglodytes ENSPTRG00000052689
gorilla_gorilla ENSGGOG00000043186
gorilla_gorilla ENSGGOG00000003934
pan_troglodytes ENSPTRG00000028611
papio_anubis ENSPANG00000015179
aotus_nancymaae ENSANAG00000020385
cebus_capucinus ENSCCAG00000029378
cavia_aperea ENSCAPG00000013625
procavia_capensis ENSPCAG00000003269
choloepus_hoffmanni ENSCHOG00000008325
tursiops_truncatus ENSTTRG00000014846
chrysemys_picta_bellii ENSCPBG00000027774
vicugna_pacos ENSVPAG00000007077
capra_hircus ENSCHIG00000009008
canis_lupus_dingo ENSCAFG00020013154
vulpes_vulpes ENSVVUG00000023727
microcebus_murinus ENSMICG00000010323
castor_canadensis ENSCCNG00000017535
equus_caballus ENSECAG00000022750
bos_taurus ENSBTAG00000005446
latimeria_chalumnae ENSLACG00000022567
paramormyrops_kingsleyae ENSPKIG00000013014
