poecilia_reticulata ENSPREG00000009896
poecilia_latipinna ENSPLAG00000015031
xiphophorus_maculatus ENSXMAG00000021920
xiphophorus_couchianus ENSXCOG00000017538
gambusia_affinis ENSGAFG00000011877
fundulus_heteroclitus ENSFHEG00000023309
cyprinodon_variegatus ENSCVAG00000011242
kryptolebias_marmoratus ENSKMAG00000009817
betta_splendens ENSBSLG00000002343
mastacembelus_armatus ENSMAMG00000021902
anabas_testudineus ENSATEG00000022989
haplochromis_burtoni ENSHBUG00000008602
astatotilapia_calliptera ENSACLG00000025400
pundamilia_nyererei ENSPNYG00000013843
maylandia_zebra ENSMZEG00005023082
neolamprologus_brichardi ENSNBRG00000004305
amphilophus_citrinellus ENSACIG00000007506
parambassis_ranga ENSPRNG00000002484
lates_calcarifer ENSLCAG00010006190
mola_mola ENSMMOG00000016950
