lepidothrix_coronata ENSLCOG00000004877
manacus_vitellinus ENSMVIG00005005524
lonchura_striata_domestica ENSLSDG00000016825
taeniopygia_guttata ENSTGUG00000001998
parus_major ENSPMJG00000009505
cyanistes_caeruleus ENSCCEG00000013264
serinus_canaria ENSSCAG00000005131
junco_hyemalis ENSJHYG00000013291
ficedula_albicollis ENSFALG00000003325
calidris_pugnax ENSCPUG00000016227
nothoprocta_perdicaria ENSNPEG00000010092
calidris_pygmaea ENSCPGG00000019542
melopsittacus_undulatus ENSMUNG00000011999
gallus_gallus ENSGALG00000003734
meleagris_gallopavo ENSMGAG00000004940
coturnix_japonica ENSCJPG00005017786
numida_meleagris ENSNMEG00000015361
anas_platyrhynchos_platyrhynchos ENSAPLG00000021047
anser_brachyrhynchus ENSABRG00000001066
calidris_pygmaea ENSCPGG00000000539
calidris_pugnax ENSCPUG00000010172
apteryx_haastii ENSAHAG00000019449
apteryx_owenii ENSAOWG00000004448
apteryx_rowi ENSARWG00000013046
dromaius_novaehollandiae ENSDNVG00000003165
gopherus_agassizii ENSGAGG00000004766
chelonoidis_abingdonii ENSCABG00000014541
chrysemys_picta_bellii ENSCPBG00000010599
pelodiscus_sinensis ENSPSIG00000012548
crocodylus_porosus ENSCPRG00005017260
sphenodon_punctatus ENSSPUG00000018826
pogona_vitticeps ENSPVIG00000016810
notechis_scutatus ENSNSUG00000018862
salvator_merianae ENSSMRG00000005999
choloepus_hoffmanni ENSCHOG00000007129
procavia_capensis ENSPCAG00000000864
oryctolagus_cuniculus ENSOCUG00000028077
ochotona_princeps ENSOPRG00000002791
prolemur_simus ENSPSMG00000006757
propithecus_coquereli ENSPCOG00000027634
microcebus_murinus ENSMICG00000031651
microcebus_murinus ENSMICG00000045628
tupaia_belangeri ENSTBEG00000011339
otolemur_garnettii ENSOGAG00000005097
heterocephalus_glaber_female ENSHGLG00000011856
heterocephalus_glaber_male ENSHGLG00100010648
fukomys_damarensis ENSFDAG00000010337
octodon_degus ENSODEG00000016170
chinchilla_lanigera ENSCLAG00000003038
cavia_porcellus ENSCPOG00000039601
dipodomys_ordii ENSDORG00000026643
marmota_marmota_marmota ENSMMMG00000021358
spermophilus_dauricus ENSSDAG00000014870
ictidomys_tridecemlineatus ENSSTOG00000014752
urocitellus_parryii ENSUPAG00010017941
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027714
mus_spicilegus ENSMSIG00000013907
mus_musculus ENSMUSG00000040842
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026734
mus_pahari MGP_PahariEiJ_G0029065
rattus_norvegicus ENSRNOG00000009183
meriones_unguiculatus ENSMUGG00000014843
cricetulus_griseus_crigri ENSCGRG00000011451
cricetulus_griseus_chok1gshd ENSCGRG00001022293
mesocricetus_auratus ENSMAUG00000020644
microtus_ochrogaster ENSMOCG00000014138
peromyscus_maniculatus_bairdii ENSPEMG00000028401
nannospalax_galili ENSNGAG00000015372
jaculus_jaculus ENSJJAG00000007811
sus_scrofa ENSSSCG00000031083
tursiops_truncatus ENSTTRG00000006204
vicugna_pacos ENSVPAG00000004420
equus_asinus_asinus ENSEASG00005015862
panthera_pardus ENSPPRG00000024052
felis_catus ENSFCAG00000010174
erinaceus_europaeus ENSEEUG00000005016
pan_troglodytes ENSPTRG00000000226
pan_paniscus ENSPPAG00000031840
homo_sapiens ENSG00000055070
pongo_abelii ENSPPYG00000001821
nomascus_leucogenys ENSNLEG00000007829
macaca_nemestrina ENSMNEG00000036045
macaca_fascicularis ENSMFAG00000001628
macaca_mulatta ENSMMUG00000045364
cercocebus_atys ENSCATG00000035016
papio_anubis ENSPANG00000009230
mandrillus_leucophaeus ENSMLEG00000027321
theropithecus_gelada ENSTGEG00000023707
rhinopithecus_roxellana ENSRROG00000032142
rhinopithecus_bieti ENSRBIG00000033030
colobus_angolensis_palliatus ENSCANG00000032352
piliocolobus_tephrosceles ENSPTEG00000034447
saimiri_boliviensis_boliviensis ENSSBOG00000028773
saimiri_boliviensis_boliviensis ENSSBOG00000035594
cebus_capucinus ENSCCAG00000025837
aotus_nancymaae ENSANAG00000031853
