poecilia_mexicana ENSPMEG00000001529
poecilia_formosa ENSPFOG00000007770
poecilia_latipinna ENSPLAG00000005731
poecilia_reticulata ENSPREG00000001063
gambusia_affinis ENSGAFG00000003168
xiphophorus_maculatus ENSXMAG00000024185
xiphophorus_couchianus ENSXCOG00000014373
fundulus_heteroclitus ENSFHEG00000005769
cyprinodon_variegatus ENSCVAG00000021057
kryptolebias_marmoratus ENSKMAG00000018116
oryzias_latipes ENSORLG00000015087
oryzias_latipes_asm223469v1 ENSORLG00015005497
oryzias_latipes ENSORLG00020011410
oryzias_melastigma ENSOMEG00000022423
acanthochromis_polyacanthus ENSAPOG00000003633
acanthochromis_polyacanthus ENSAPOG00000011502
amphiprion_ocellaris ENSAOCG00000021514
amphiprion_percula ENSAPEG00000022588
stegastes_partitus ENSSPAG00000020202
maylandia_zebra ENSMZEG00005026449
pundamilia_nyererei ENSPNYG00000013072
haplochromis_burtoni ENSHBUG00000012520
neolamprologus_brichardi ENSNBRG00000007187
amphilophus_citrinellus ENSACIG00000012637
hippocampus_comes ENSHCOG00000008100
mastacembelus_armatus ENSMAMG00000001369
monopterus_albus ENSMALG00000013640
anabas_testudineus ENSATEG00000024004
seriola_lalandi_dorsalis ENSSLDG00000013585
seriola_dumerili ENSSDUG00000001664
mola_mola ENSMMOG00000009279
labrus_bergylta ENSLBEG00000015481
takifugu_rubripes ENSTRUG00000025465
cynoglossus_semilaevis ENSCSEG00000021540
periophthalmus_magnuspinnatus ENSPMGG00000016571
