anas_platyrhynchos_platyrhynchos ENSAPLG00000000615
anser_brachyrhynchus ENSABRG00000005068
gallus_gallus ENSGALG00000003193
coturnix_japonica ENSCJPG00005008058
numida_meleagris ENSNMEG00000011927
calidris_pygmaea ENSCPGG00000018725
calidris_pugnax ENSCPUG00000015219
melopsittacus_undulatus ENSMUNG00000012571
ficedula_albicollis ENSFALG00000010635
junco_hyemalis ENSJHYG00000015567
lonchura_striata_domestica ENSLSDG00000015728
taeniopygia_guttata ENSTGUG00000003323
zonotrichia_albicollis ENSZALG00000016645
serinus_canaria ENSSCAG00000012583
cyanistes_caeruleus ENSCCEG00000023452
parus_major ENSPMJG00000008479
lepidothrix_coronata ENSLCOG00000015635
manacus_vitellinus ENSMVIG00005014045
apteryx_owenii ENSAOWG00000014666
apteryx_haastii ENSAHAG00000002728
dromaius_novaehollandiae ENSDNVG00000009286
nothoprocta_perdicaria ENSNPEG00000014513
meleagris_gallopavo ENSMGAG00000003756
apteryx_rowi ENSARWG00000014627
ornithorhynchus_anatinus ENSOANG00000003856
chelonoidis_abingdonii ENSCABG00000002353
gopherus_agassizii ENSGAGG00000013374
chrysemys_picta_bellii ENSCPBG00000024246
pelodiscus_sinensis ENSPSIG00000010607
sphenodon_punctatus ENSSPUG00000014788
sarcophilus_harrisii ENSSHAG00000017630
monodelphis_domestica ENSMODG00000011710
notamacropus_eugenii ENSMEUG00000007470
phascolarctos_cinereus ENSPCIG00000022861
cavia_porcellus ENSCPOG00000001572
octodon_degus ENSODEG00000015205
chinchilla_lanigera ENSCLAG00000006007
heterocephalus_glaber_female ENSHGLG00000000944
heterocephalus_glaber_male ENSHGLG00100009658
fukomys_damarensis ENSFDAG00000007545
jaculus_jaculus ENSJJAG00000007260
oryctolagus_cuniculus ENSOCUG00000000431
ochotona_princeps ENSOPRG00000000335
saimiri_boliviensis_boliviensis ENSSBOG00000031064
cavia_aperea ENSCAPG00000007807
cricetulus_griseus_crigri ENSCGRG00000012717
cricetulus_griseus_crigri-picr ENSCGRG00015026230
cricetulus_griseus_chok1gshd ENSCGRG00001024040
mesocricetus_auratus ENSMAUG00000019090
microtus_ochrogaster ENSMOCG00000004058
peromyscus_maniculatus_bairdii ENSPEMG00000008877
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033374
mus_spicilegus ENSMSIG00000004149
mus_musculus ENSMUSG00000032291
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032234
mus_pahari MGP_PahariEiJ_G0015102
rattus_norvegicus ENSRNOG00000023633
meriones_unguiculatus ENSMUGG00000015855
nannospalax_galili ENSNGAG00000016008
spermophilus_dauricus ENSSDAG00000015058
ictidomys_tridecemlineatus ENSSTOG00000007805
