mus_spretus MGP_SPRETEiJ_G0029949
mus_musculus ENSMUSG00000001517
mus_spicilegus ENSMSIG00000024510
mus_caroli MGP_CAROLIEiJ_G0028905
mus_pahari MGP_PahariEiJ_G0022669
rattus_norvegicus ENSRNOG00000005936
meriones_unguiculatus ENSMUGG00000013199
peromyscus_maniculatus ENSPEMG00000017790
microtus_ochrogaster ENSMOCG00000022353
cricetulus_griseus ENSCGRG00000015123
cricetulus_griseus ENSCGRG00015005013
cricetulus_griseus ENSCGRG00001015604
mesocricetus_auratus ENSMAUG00000002449
nannospalax_galili ENSNGAG00000012562
castor_canadensis ENSCCNG00000028085
ictidomys_tridecemlineatus ENSSTOG00000016089
spermophilus_dauricus ENSSDAG00000003747
urocitellus_parryii ENSUPAG00010012691
marmota_marmota ENSMMMG00000018691
octodon_degus ENSODEG00000000334
chinchilla_lanigera ENSCLAG00000014183
cavia_porcellus ENSCPOG00000015373
cavia_aperea ENSCAPG00000017414
heterocephalus_glaber ENSHGLG00000003100
heterocephalus_glaber ENSHGLG00100008948
fukomys_damarensis ENSFDAG00000018034
oryctolagus_cuniculus ENSOCUG00000002703
ochotona_princeps ENSOPRG00000015416
pan_paniscus ENSPPAG00000043326
pan_troglodytes ENSPTRG00000051312
homo_sapiens ENSG00000111206
gorilla_gorilla ENSGGOG00000009402
pongo_abelii ENSPPYG00000004153
nomascus_leucogenys ENSNLEG00000002899
theropithecus_gelada ENSTGEG00000012451
theropithecus_gelada ENSTGEG00000008394
papio_anubis ENSPANG00000004991
cercocebus_atys ENSCATG00000037743
mandrillus_leucophaeus ENSMLEG00000037200
macaca_mulatta ENSMMUG00000019385
macaca_fascicularis ENSMFAG00000030561
macaca_nemestrina ENSMNEG00000039201
chlorocebus_sabaeus ENSCSAG00000011261
colobus_angolensis ENSCANG00000039400
piliocolobus_tephrosceles ENSPTEG00000038671
rhinopithecus_roxellana ENSRROG00000038386
rhinopithecus_bieti ENSRBIG00000040049
cebus_capucinus ENSCCAG00000027940
saimiri_boliviensis ENSSBOG00000026585
callithrix_jacchus ENSCJAG00000018781
aotus_nancymaae ENSANAG00000035342
carlito_syrichta ENSTSYG00000031457
prolemur_simus ENSPSMG00000014271
