ovis_aries ENSOARG00000000947
capra_hircus ENSCHIG00000023347
bos_taurus ENSBTAG00000052202
bos_mutus ENSBMUG00000006852
sus_scrofa ENSSSCG00000029297
vicugna_pacos ENSVPAG00000012429
equus_caballus ENSECAG00000002951
equus_asinus_asinus ENSEASG00005007806
pteropus_vampyrus ENSPVAG00000000975
ursus_americanus ENSUAMG00000019812
ursus_maritimus ENSUMAG00000016634
ailuropoda_melanoleuca ENSAMEG00000018880
neovison_vison ENSNVIG00000004552
canis_lupus_dingo ENSCAFG00020026167
canis_lupus_familiaris ENSCAFG00000024286
vulpes_vulpes ENSVVUG00000020435
panthera_pardus ENSPPRG00000012042
panthera_tigris_altaica ENSPTIG00000005078
felis_catus ENSFCAG00000037019
sorex_araneus ENSSARG00000011108
mus_musculus ENSMUSG00000090515
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020909
mus_spicilegus ENSMSIG00000012189
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021815
mus_pahari MGP_PahariEiJ_G0016613
rattus_norvegicus ENSRNOG00000049035
meriones_unguiculatus ENSMUGG00000002625
cricetulus_griseus_chok1gshd ENSCGRG00001007790
cricetulus_griseus_crigri-picr ENSCGRG00015022931
peromyscus_maniculatus_bairdii ENSPEMG00000028130
nannospalax_galili ENSNGAG00000015604
jaculus_jaculus ENSJJAG00000005820
castor_canadensis ENSCCNG00000013324
cavia_aperea ENSCAPG00000016384
cavia_porcellus ENSCPOG00000038819
fukomys_damarensis ENSFDAG00000004900
urocitellus_parryii ENSUPAG00010002153
spermophilus_dauricus ENSSDAG00000012794
marmota_marmota_marmota ENSMMMG00000018288
oryctolagus_cuniculus ENSOCUG00000017110
ochotona_princeps ENSOPRG00000001719
prolemur_simus ENSPSMG00000007121
otolemur_garnettii ENSOGAG00000003652
pan_paniscus ENSPPAG00000032584
pan_troglodytes ENSPTRG00000031454
homo_sapiens ENSG00000206107
pongo_abelii ENSPPYG00000011545
piliocolobus_tephrosceles ENSPTEG00000027033
rhinopithecus_roxellana ENSRROG00000031524
theropithecus_gelada ENSTGEG00000027788
chlorocebus_sabaeus ENSCSAG00000018700
callithrix_jacchus ENSCJAG00000008777
loxodonta_africana ENSLAFG00000014177
dasypus_novemcinctus ENSDNOG00000008624
