pygocentrus_nattereri ENSPNAG00000005669
astyanax_mexicanus ENSAMXG00000017068
ictalurus_punctatus ENSIPUG00000013183
danio_rerio ENSDARG00000003867
esox_lucius ENSELUG00000018935
scleropages_formosus ENSSFOG00015001339
paramormyrops_kingsleyae ENSPKIG00000024030
lepisosteus_oculatus ENSLOCG00000014752
notechis_scutatus ENSNSUG00000019790
notechis_scutatus ENSNSUG00000019789
pogona_vitticeps ENSPVIG00000000753
anolis_carolinensis ENSACAG00000007823
salvator_merianae ENSSMRG00000019227
sphenodon_punctatus ENSSPUG00000005620
chelonoidis_abingdonii ENSCABG00000014521
gopherus_agassizii ENSGAGG00000004895
chrysemys_picta ENSCPBG00000017458
pelodiscus_sinensis ENSPSIG00000015316
phascolarctos_cinereus ENSPCIG00000027909
notamacropus_eugenii ENSMEUG00000003902
monodelphis_domestica ENSMODG00000010092
sarcophilus_harrisii ENSSHAG00000000995
ornithorhynchus_anatinus ENSOANG00000010766
choloepus_hoffmanni ENSCHOG00000010201
echinops_telfairi ENSETEG00000012210
tursiops_truncatus ENSTTRG00000008468
pteropus_vampyrus ENSPVAG00000008257
ochotona_princeps ENSOPRG00000011409
castor_canadensis ENSCCNG00000012829
apteryx_owenii ENSAOWG00000010182
mus_spicilegus ENSMSIG00000021605
mus_spretus MGP_SPRETEiJ_G0019523
mus_musculus ENSMUSG00000021483
mus_caroli MGP_CAROLIEiJ_G0018643
mus_pahari MGP_PahariEiJ_G0019707
rattus_norvegicus ENSRNOG00000017991
meriones_unguiculatus ENSMUGG00000018674
cricetulus_griseus ENSCGRG00015012838
cricetulus_griseus ENSCGRG00000000848
cricetulus_griseus ENSCGRG00001001834
mesocricetus_auratus ENSMAUG00000001239
microtus_ochrogaster ENSMOCG00000000538
peromyscus_maniculatus ENSPEMG00000023165
jaculus_jaculus ENSJJAG00000003338
dipodomys_ordii ENSDORG00000010071
urocitellus_parryii ENSUPAG00010007172
marmota_marmota ENSMMMG00000022012
spermophilus_dauricus ENSSDAG00000019905
heterocephalus_glaber ENSHGLG00000006210
heterocephalus_glaber ENSHGLG00100001492
fukomys_damarensis ENSFDAG00000016488
cavia_porcellus ENSCPOG00000008588
octodon_degus ENSODEG00000004600
oryctolagus_cuniculus ENSOCUG00000007770
microcebus_murinus ENSMICG00000002945
propithecus_coquereli ENSPCOG00000016741
prolemur_simus ENSPSMG00000008282
otolemur_garnettii ENSOGAG00000008726
myotis_lucifugus ENSMLUG00000006632
erinaceus_europaeus ENSEEUG00000014803
capra_hircus ENSCHIG00000012924
ovis_aries ENSOARG00000007657
bos_taurus ENSBTAG00000015171
bos_mutus ENSBMUG00000002598
bison_bison ENSBBBG00000014763
sus_scrofa ENSSSCG00000009578
sus_scrofa ENSSSCG00000016385
equus_caballus ENSECAG00000024968
equus_asinus ENSEASG00005013927
ursus_americanus ENSUAMG00000009693
ailuropoda_melanoleuca ENSAMEG00000003286
neovison_vison ENSNVIG00000015979
mustela_putorius ENSMPUG00000008590
canis_lupus ENSCAFG00020007411
canis_lupus ENSCAFG00000002212
vulpes_vulpes ENSVVUG00000022251
panthera_pardus ENSPPRG00000024130
panthera_tigris ENSPTIG00000010026
felis_catus ENSFCAG00000007194
ictidomys_tridecemlineatus ENSSTOG00000004663
marmota_marmota ENSMMMG00000021501
cavia_aperea ENSCAPG00000012515
castor_canadensis ENSCCNG00000001900
nannospalax_galili ENSNGAG00000015145
callithrix_jacchus ENSCJAG00000042138
callithrix_jacchus ENSCJAG00000047796
carlito_syrichta ENSTSYG00000026812
colobus_angolensis ENSCANG00000038064
tupaia_belangeri ENSTBEG00000006725
sus_scrofa ENSSSCG00000033208
sus_scrofa ENSSSCG00000032337
spermophilus_dauricus ENSSDAG00000005678
cebus_capucinus ENSCCAG00000032198
saimiri_boliviensis ENSSBOG00000000634
aotus_nancymaae ENSANAG00000033129
