mola_mola ENSMMOG00000015205
anabas_testudineus ENSATEG00000015500
mastacembelus_armatus ENSMAMG00000006266
labrus_bergylta ENSLBEG00000021402
scophthalmus_maximus ENSSMAG00000002672
cynoglossus_semilaevis ENSCSEG00000011667
seriola_lalandi_dorsalis ENSSLDG00000019596
seriola_dumerili ENSSDUG00000008262
xiphophorus_maculatus ENSXMAG00000001775
xiphophorus_couchianus ENSXCOG00000000147
gambusia_affinis ENSGAFG00000009462
poecilia_formosa ENSPFOG00000023228
poecilia_mexicana ENSPMEG00000021257
poecilia_latipinna ENSPLAG00000014685
poecilia_reticulata ENSPREG00000019807
cyprinodon_variegatus ENSCVAG00000007002
fundulus_heteroclitus ENSFHEG00000011969
kryptolebias_marmoratus ENSKMAG00000019268
oryzias_latipes ENSORLG00020006553
oryzias_latipes ENSORLG00000025433
oryzias_latipes_asm223469v1 ENSORLG00015001672
oryzias_melastigma ENSOMEG00000014051
amphiprion_percula ENSAPEG00000013748
amphiprion_ocellaris ENSAOCG00000023587
acanthochromis_polyacanthus ENSAPOG00000009359
stegastes_partitus ENSSPAG00000011858
maylandia_zebra ENSMZEG00005024141
haplochromis_burtoni ENSHBUG00000017613
astatotilapia_calliptera ENSACLG00000009620
pundamilia_nyererei ENSPNYG00000020923
amphilophus_citrinellus ENSACIG00000011649
periophthalmus_magnuspinnatus ENSPMGG00000000353
gadus_morhua ENSGMOG00000008575
