cricetulus_griseus_chok1gshd ENSCGRG00001023855
cricetulus_griseus_crigri ENSCGRG00000013654
mesocricetus_auratus ENSMAUG00000007946
peromyscus_maniculatus_bairdii ENSPEMG00000020790
microtus_ochrogaster ENSMOCG00000014333
mus_spicilegus ENSMSIG00000023301
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022564
mus_musculus ENSMUSG00000036026
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021652
mus_pahari MGP_PahariEiJ_G0020644
rattus_norvegicus ENSRNOG00000019743
meriones_unguiculatus ENSMUGG00000000855
nannospalax_galili ENSNGAG00000014742
castor_canadensis ENSCCNG00000015853
dipodomys_ordii ENSDORG00000008237
jaculus_jaculus ENSJJAG00000021961
urocitellus_parryii ENSUPAG00010003679
spermophilus_dauricus ENSSDAG00000000997
ictidomys_tridecemlineatus ENSSTOG00000007096
marmota_marmota_marmota ENSMMMG00000024568
ochotona_princeps ENSOPRG00000017184
oryctolagus_cuniculus ENSOCUG00000003464
pan_troglodytes ENSPTRG00000018214
pan_paniscus ENSPPAG00000027102
homo_sapiens ENSG00000137216
gorilla_gorilla ENSGGOG00000003071
pongo_abelii ENSPPYG00000016651
nomascus_leucogenys ENSNLEG00000003801
rhinopithecus_roxellana ENSRROG00000033277
rhinopithecus_bieti ENSRBIG00000044671
piliocolobus_tephrosceles ENSPTEG00000013824
colobus_angolensis_palliatus ENSCANG00000033268
macaca_fascicularis ENSMFAG00000041643
macaca_mulatta ENSMMUG00000016230
macaca_nemestrina ENSMNEG00000039311
mandrillus_leucophaeus ENSMLEG00000036196
cercocebus_atys ENSCATG00000041638
theropithecus_gelada ENSTGEG00000029667
papio_anubis ENSPANG00000023571
chlorocebus_sabaeus ENSCSAG00000012227
saimiri_boliviensis_boliviensis ENSSBOG00000035379
callithrix_jacchus ENSCJAG00000012369
cebus_capucinus ENSCCAG00000000296
aotus_nancymaae ENSANAG00000025745
carlito_syrichta ENSTSYG00000004091
propithecus_coquereli ENSPCOG00000010720
prolemur_simus ENSPSMG00000018668
microcebus_murinus ENSMICG00000013024
otolemur_garnettii ENSOGAG00000001281
tupaia_belangeri ENSTBEG00000000502
pteropus_vampyrus ENSPVAG00000000306
myotis_lucifugus ENSMLUG00000005186
tursiops_truncatus ENSTTRG00000017183
sus_scrofa ENSSSCG00000001697
capra_hircus ENSCHIG00000010295
ovis_aries ENSOARG00000008632
bos_taurus ENSBTAG00000032680
bos_mutus ENSBMUG00000011927
bison_bison_bison ENSBBBG00000019165
equus_caballus ENSECAG00000013055
equus_asinus_asinus ENSEASG00005003502
erinaceus_europaeus ENSEEUG00000005034
ursus_americanus ENSUAMG00000015906
ursus_maritimus ENSUMAG00000005638
ailuropoda_melanoleuca ENSAMEG00000012014
neovison_vison ENSNVIG00000009636
mustela_putorius_furo ENSMPUG00000012791
canis_lupus_dingo ENSCAFG00020012080
canis_lupus_familiaris ENSCAFG00000001941
vulpes_vulpes ENSVVUG00000029109
panthera_pardus ENSPPRG00000000314
panthera_tigris_altaica ENSPTIG00000005040
felis_catus ENSFCAG00000009756
loxodonta_africana ENSLAFG00000015940
peromyscus_maniculatus_bairdii ENSPEMG00000029178
cricetulus_griseus_crigri-picr ENSCGRG00015004555
dasypus_novemcinctus ENSDNOG00000018559
procavia_capensis ENSPCAG00000002499
cavia_porcellus ENSCPOG00000026287
cavia_aperea ENSCAPG00000008095
chinchilla_lanigera ENSCLAG00000014238
octodon_degus ENSODEG00000015474
heterocephalus_glaber_female ENSHGLG00000014725
heterocephalus_glaber_male ENSHGLG00100007341
fukomys_damarensis ENSFDAG00000017596
phascolarctos_cinereus ENSPCIG00000014905
notamacropus_eugenii ENSMEUG00000001181
sarcophilus_harrisii ENSSHAG00000017114
monodelphis_domestica ENSMODG00000018941
ornithorhynchus_anatinus ENSOANG00000009780
ornithorhynchus_anatinus ENSOANG00000022385
ornithorhynchus_anatinus ENSOANG00000010747
gallus_gallus ENSGALG00000010282
coturnix_japonica ENSCJPG00005010350
meleagris_gallopavo ENSMGAG00000010869
numida_meleagris ENSNMEG00000016483
anser_brachyrhynchus ENSABRG00000019612
anas_platyrhynchos_platyrhynchos ENSAPLG00000016007
lonchura_striata_domestica ENSLSDG00000010315
taeniopygia_guttata ENSTGUG00000008105
serinus_canaria ENSSCAG00000013598
junco_hyemalis ENSJHYG00000012547
zonotrichia_albicollis ENSZALG00000011348
cyanistes_caeruleus ENSCCEG00000003223
parus_major ENSPMJG00000014856
ficedula_albicollis ENSFALG00000011313
lepidothrix_coronata ENSLCOG00000001740
manacus_vitellinus ENSMVIG00005006967
melopsittacus_undulatus ENSMUNG00000007961
calidris_pugnax ENSCPUG00000002159
calidris_pygmaea ENSCPGG00000003381
apteryx_haastii ENSAHAG00000017199
apteryx_owenii ENSAOWG00000003878
apteryx_rowi ENSARWG00000004637
dromaius_novaehollandiae ENSDNVG00000007607
nothoprocta_perdicaria ENSNPEG00000007764
crocodylus_porosus ENSCPRG00005011287
gopherus_agassizii ENSGAGG00000011403
chelonoidis_abingdonii ENSCABG00000020007
chrysemys_picta_bellii ENSCPBG00000025267
pelodiscus_sinensis ENSPSIG00000015659
pogona_vitticeps ENSPVIG00000001954
anolis_carolinensis ENSACAG00000001436
notechis_scutatus ENSNSUG00000008569
salvator_merianae ENSSMRG00000006007
sphenodon_punctatus ENSSPUG00000006598
xenopus_tropicalis ENSXETG00000023485
latimeria_chalumnae ENSLACG00000007367
neolamprologus_brichardi ENSNBRG00000020671
neolamprologus_brichardi ENSNBRG00000020694
fundulus_heteroclitus ENSFHEG00000006532
fundulus_heteroclitus ENSFHEG00000006542
fundulus_heteroclitus ENSFHEG00000006523
kryptolebias_marmoratus ENSKMAG00000014738
takifugu_rubripes ENSTRUG00000021441
gadus_morhua ENSGMOG00000017011
esox_lucius ENSELUG00000016387
haplochromis_burtoni ENSHBUG00000020778
haplochromis_burtoni ENSHBUG00000020763
cyprinodon_variegatus ENSCVAG00000016940
fundulus_heteroclitus ENSFHEG00000005154
poecilia_reticulata ENSPREG00000003889
poecilia_reticulata ENSPREG00000003904
xiphophorus_couchianus ENSXCOG00000010895
xiphophorus_couchianus ENSXCOG00000010893
xiphophorus_maculatus ENSXMAG00000029516
xiphophorus_maculatus ENSXMAG00000025710
gambusia_affinis ENSGAFG00000006336
poecilia_formosa ENSPFOG00000016629
poecilia_latipinna ENSPLAG00000005753
poecilia_mexicana ENSPMEG00000012441
kryptolebias_marmoratus ENSKMAG00000015265
oryzias_melastigma ENSOMEG00000021878
oryzias_melastigma ENSOMEG00000000788
oryzias_latipes_asm223469v1 ENSORLG00015001259
oryzias_latipes ENSORLG00000011694
oryzias_latipes ENSORLG00020016165
mola_mola ENSMMOG00000003307
mola_mola ENSMMOG00000003304
periophthalmus_magnuspinnatus ENSPMGG00000022371
periophthalmus_magnuspinnatus ENSPMGG00000022374
takifugu_rubripes ENSTRUG00000010221
tetraodon_nigroviridis ENSTNIG00000016625
anabas_testudineus ENSATEG00000017241
pundamilia_nyererei ENSPNYG00000018373
pundamilia_nyererei ENSPNYG00000018346
maylandia_zebra ENSMZEG00005009076
astatotilapia_calliptera ENSACLG00000025704
neolamprologus_brichardi ENSNBRG00000013142
oreochromis_niloticus ENSONIG00000009950
amphilophus_citrinellus ENSACIG00000008911
amphilophus_citrinellus ENSACIG00000008917
seriola_lalandi_dorsalis ENSSLDG00000001804
seriola_dumerili ENSSDUG00000001392
cynoglossus_semilaevis ENSCSEG00000011687
gasterosteus_aculeatus ENSGACG00000004988
labrus_bergylta ENSLBEG00000026880
scophthalmus_maximus ENSSMAG00000009234
amphiprion_ocellaris ENSAOCG00000000139
amphiprion_percula ENSAPEG00000019994
acanthochromis_polyacanthus ENSAPOG00000001613
stegastes_partitus ENSSPAG00000010817
monopterus_albus ENSMALG00000003200
hippocampus_comes ENSHCOG00000011955
hippocampus_comes ENSHCOG00000011961
mola_mola ENSMMOG00000012663
mastacembelus_armatus ENSMAMG00000019752
astyanax_mexicanus ENSAMXG00000006674
pygocentrus_nattereri ENSPNAG00000001203
ictalurus_punctatus ENSIPUG00000014736
danio_rerio ENSDARG00000104559
gambusia_affinis ENSGAFG00000018960
scleropages_formosus ENSSFOG00015004603
paramormyrops_kingsleyae ENSPKIG00000022152
hippocampus_comes ENSHCOG00000011668
hippocampus_comes ENSHCOG00000011656
hippocampus_comes ENSHCOG00000011650
gadus_morhua ENSGMOG00000005337
seriola_dumerili ENSSDUG00000022468
seriola_lalandi_dorsalis ENSSLDG00000012555
tetraodon_nigroviridis ENSTNIG00000003645
amphiprion_ocellaris ENSAOCG00000022093
amphiprion_percula ENSAPEG00000015116
stegastes_partitus ENSSPAG00000001852
astatotilapia_calliptera ENSACLG00000003492
maylandia_zebra ENSMZEG00005015259
oreochromis_niloticus ENSONIG00000006847
gambusia_affinis ENSGAFG00000013529
poecilia_mexicana ENSPMEG00000013281
poecilia_latipinna ENSPLAG00000021909
poecilia_formosa ENSPFOG00000018225
poecilia_reticulata ENSPREG00000005091
xiphophorus_maculatus ENSXMAG00000009775
oryzias_latipes ENSORLG00020021873
oryzias_latipes_asm223469v1 ENSORLG00015022926
scophthalmus_maximus ENSSMAG00000021069
mastacembelus_armatus ENSMAMG00000018092
oryzias_latipes ENSORLG00000027389
oryzias_latipes ENSORLG00000030658
oryzias_latipes ENSORLG00000027314
haplochromis_burtoni ENSHBUG00000013702
haplochromis_burtoni ENSHBUG00000013679
takifugu_rubripes ENSTRUG00000022708
takifugu_rubripes ENSTRUG00000020605
tetraodon_nigroviridis ENSTNIG00000001847
labrus_bergylta ENSLBEG00000023365
cynoglossus_semilaevis ENSCSEG00000021053
cynoglossus_semilaevis ENSCSEG00000021051
cynoglossus_semilaevis ENSCSEG00000021052
periophthalmus_magnuspinnatus ENSPMGG00000019090
periophthalmus_magnuspinnatus ENSPMGG00000019097
periophthalmus_magnuspinnatus ENSPMGG00000019095
hippocampus_comes ENSHCOG00000013867
anabas_testudineus ENSATEG00000015650
anabas_testudineus ENSATEG00000015637
monopterus_albus ENSMALG00000006777
monopterus_albus ENSMALG00000006766
monopterus_albus ENSMALG00000006785
acanthochromis_polyacanthus ENSAPOG00000008622
acanthochromis_polyacanthus ENSAPOG00000008595
acanthochromis_polyacanthus ENSAPOG00000008609
xiphophorus_couchianus ENSXCOG00000010792
xiphophorus_couchianus ENSXCOG00000010790
xiphophorus_couchianus ENSXCOG00000010795
gambusia_affinis ENSGAFG00000007190
kryptolebias_marmoratus ENSKMAG00000016760
pundamilia_nyererei ENSPNYG00000016084
gasterosteus_aculeatus ENSGACG00000019906
amphilophus_citrinellus ENSACIG00000006629
amphilophus_citrinellus ENSACIG00000006610
amphilophus_citrinellus ENSACIG00000006621
cyprinodon_variegatus ENSCVAG00000008498
cyprinodon_variegatus ENSCVAG00000000896
cyprinodon_variegatus ENSCVAG00000008476
oryzias_melastigma ENSOMEG00000008822
mola_mola ENSMMOG00000018455
astyanax_mexicanus ENSAMXG00000038390
astyanax_mexicanus ENSAMXG00000041964
danio_rerio ENSDARG00000103608
paramormyrops_kingsleyae ENSPKIG00000004052
paramormyrops_kingsleyae ENSPKIG00000004062
paramormyrops_kingsleyae ENSPKIG00000004073
scleropages_formosus ENSSFOG00015022661
pygocentrus_nattereri ENSPNAG00000000525
ictalurus_punctatus ENSIPUG00000010137
danio_rerio ENSDARG00000106631
esox_lucius ENSELUG00000023376
lepisosteus_oculatus ENSLOCG00000015624
