hippocampus_comes ENSHCOG00000000946
periophthalmus_magnuspinnatus ENSPMGG00000023544
tetraodon_nigroviridis ENSTNIG00000014104
takifugu_rubripes ENSTRUG00000019972
gasterosteus_aculeatus ENSGACG00000018787
labrus_bergylta ENSLBEG00000012716
amphiprion_ocellaris ENSAOCG00000016722
amphiprion_percula ENSAPEG00000007133
acanthochromis_polyacanthus ENSAPOG00000008648
stegastes_partitus ENSSPAG00000006663
takifugu_rubripes ENSTRUG00000024189
fundulus_heteroclitus ENSFHEG00000011247
cyprinodon_variegatus ENSCVAG00000006660
fundulus_heteroclitus ENSFHEG00000011147
xiphophorus_maculatus ENSXMAG00000012099
xiphophorus_couchianus ENSXCOG00000014559
gambusia_affinis ENSGAFG00000017043
poecilia_mexicana ENSPMEG00000005688
poecilia_latipinna ENSPLAG00000002795
poecilia_formosa ENSPFOG00000002087
poecilia_reticulata ENSPREG00000000325
kryptolebias_marmoratus ENSKMAG00000019087
oryzias_latipes ENSORLG00020018550
oryzias_latipes ENSORLG00000014966
oryzias_latipes_asm223469v1 ENSORLG00015019459
oryzias_melastigma ENSOMEG00000006064
maylandia_zebra ENSMZEG00005004216
pundamilia_nyererei ENSPNYG00000003774
astatotilapia_calliptera ENSACLG00000024382
haplochromis_burtoni ENSHBUG00000015535
neolamprologus_brichardi ENSNBRG00000001709
oreochromis_niloticus ENSONIG00000016364
amphilophus_citrinellus ENSACIG00000014988
monopterus_albus ENSMALG00000004039
mastacembelus_armatus ENSMAMG00000013378
anabas_testudineus ENSATEG00000010226
seriola_dumerili ENSSDUG00000008834
seriola_lalandi_dorsalis ENSSLDG00000014998
scophthalmus_maximus ENSSMAG00000002418
gadus_morhua ENSGMOG00000010604
esox_lucius ENSELUG00000013420
astyanax_mexicanus ENSAMXG00000015727
pygocentrus_nattereri ENSPNAG00000022003
danio_rerio ENSDARG00000111704
