poecilia_latipinna ENSPLAG00000008719
poecilia_reticulata ENSPREG00000013987
oryzias_latipes ENSORLG00000017075
oryzias_latipes_asm223469v1 ENSORLG00015005616
oryzias_melastigma ENSOMEG00000015682
labrus_bergylta ENSLBEG00000002409
periophthalmus_magnuspinnatus ENSPMGG00000013048
seriola_dumerili ENSSDUG00000018036
anabas_testudineus ENSATEG00000001863
mastacembelus_armatus ENSMAMG00000002647
scophthalmus_maximus ENSSMAG00000000821
amphiprion_percula ENSAPEG00000019915
amphiprion_percula ENSAPEG00000019842
amphiprion_ocellaris ENSAOCG00000012152
acanthochromis_polyacanthus ENSAPOG00000009283
maylandia_zebra ENSMZEG00005001222
haplochromis_burtoni ENSHBUG00000013072
astatotilapia_calliptera ENSACLG00000002189
neolamprologus_brichardi ENSNBRG00000010572
pundamilia_nyererei ENSPNYG00000003791
oreochromis_niloticus ENSONIG00000000681
amphilophus_citrinellus ENSACIG00000012284
monopterus_albus ENSMALG00000002474
tetraodon_nigroviridis ENSTNIG00000012198
takifugu_rubripes ENSTRUG00000019541
mola_mola ENSMMOG00000013415
hippocampus_comes ENSHCOG00000001960
