dromaius_novaehollandiae ENSDNVG00000000333
nothoprocta_perdicaria ENSNPEG00000003848
apteryx_haastii ENSAHAG00000010935
calidris_pygmaea ENSCPGG00000005527
calidris_pugnax ENSCPUG00000000724
melopsittacus_undulatus ENSMUNG00000000443
parus_major ENSPMJG00000010110
cyanistes_caeruleus ENSCCEG00000001650
lonchura_striata_domestica ENSLSDG00000009407
taeniopygia_guttata ENSTGUG00000017242
serinus_canaria ENSSCAG00000006096
manacus_vitellinus ENSMVIG00005015147
lepidothrix_coronata ENSLCOG00000011037
anas_platyrhynchos_platyrhynchos ENSAPLG00000031083
crocodylus_porosus ENSCPRG00005003087
