apteryx_rowi ENSARWG00000017795
apteryx_owenii ENSAOWG00000014211
apteryx_haastii ENSAHAG00000001316
dromaius_novaehollandiae ENSDNVG00000005857
nothoprocta_perdicaria ENSNPEG00000009028
calidris_pygmaea ENSCPGG00000010391
calidris_pugnax ENSCPUG00000012268
melopsittacus_undulatus ENSMUNG00000008882
gallus_gallus ENSGALG00000016173
meleagris_gallopavo ENSMGAG00000014576
coturnix_japonica ENSCJPG00005008708
numida_meleagris ENSNMEG00000012991
anser_brachyrhynchus ENSABRG00000015080
anas_platyrhynchos_platyrhynchos ENSAPLG00000008138
manacus_vitellinus ENSMVIG00005006708
lepidothrix_coronata ENSLCOG00000002040
taeniopygia_guttata ENSTGUG00000005618
taeniopygia_guttata ENSTGUG00000015008
lonchura_striata_domestica ENSLSDG00000009888
serinus_canaria ENSSCAG00000010991
parus_major ENSPMJG00000010628
cyanistes_caeruleus ENSCCEG00000017176
ficedula_albicollis ENSFALG00000002028
zonotrichia_albicollis ENSZALG00000002387
junco_hyemalis ENSJHYG00000013904
calidris_pugnax ENSCPUG00000012270
calidris_pygmaea ENSCPGG00000010401
crocodylus_porosus ENSCPRG00005016241
gopherus_agassizii ENSGAGG00000012276
chelonoidis_abingdonii ENSCABG00000020969
chrysemys_picta_bellii ENSCPBG00000008139
pelodiscus_sinensis ENSPSIG00000006526
pogona_vitticeps ENSPVIG00000020385
anolis_carolinensis ENSACAG00000003008
salvator_merianae ENSSMRG00000022921
notechis_scutatus ENSNSUG00000007336
sphenodon_punctatus ENSSPUG00000013461
phascolarctos_cinereus ENSPCIG00000009254
notamacropus_eugenii ENSMEUG00000002174
sarcophilus_harrisii ENSSHAG00000015152
monodelphis_domestica ENSMODG00000021021
procavia_capensis ENSPCAG00000000920
loxodonta_africana ENSLAFG00000012601
echinops_telfairi ENSETEG00000007431
choloepus_hoffmanni ENSCHOG00000010122
dasypus_novemcinctus ENSDNOG00000004477
heterocephalus_glaber_female ENSHGLG00000006531
heterocephalus_glaber_male ENSHGLG00100003033
fukomys_damarensis ENSFDAG00000014735
chinchilla_lanigera ENSCLAG00000005633
octodon_degus ENSODEG00000013424
cavia_aperea ENSCAPG00000000903
cavia_porcellus ENSCPOG00000013429
urocitellus_parryii ENSUPAG00010003505
spermophilus_dauricus ENSSDAG00000020154
marmota_marmota_marmota ENSMMMG00000010550
ictidomys_tridecemlineatus ENSSTOG00000000600
cricetulus_griseus_chok1gshd ENSCGRG00001017509
cricetulus_griseus_crigri-picr ENSCGRG00015023161
cricetulus_griseus_crigri ENSCGRG00000006315
mesocricetus_auratus ENSMAUG00000019578
microtus_ochrogaster ENSMOCG00000005953
peromyscus_maniculatus_bairdii ENSPEMG00000008263
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022278
mus_spicilegus ENSMSIG00000011709
mus_musculus ENSMUSG00000042345
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021364
mus_pahari MGP_PahariEiJ_G0023683
rattus_norvegicus ENSRNOG00000001167
meriones_unguiculatus ENSMUGG00000008283
nannospalax_galili ENSNGAG00000019150
jaculus_jaculus ENSJJAG00000018947
castor_canadensis ENSCCNG00000029783
dipodomys_ordii ENSDORG00000024014
oryctolagus_cuniculus ENSOCUG00000006204
ochotona_princeps ENSOPRG00000000364
tupaia_belangeri ENSTBEG00000012096
pan_troglodytes ENSPTRG00000013943
pan_paniscus ENSPPAG00000031719
gorilla_gorilla ENSGGOG00000012038
homo_sapiens ENSG00000160185
pongo_abelii ENSPPYG00000011453
nomascus_leucogenys ENSNLEG00000014571
macaca_nemestrina ENSMNEG00000030168
macaca_fascicularis ENSMFAG00000031488
mandrillus_leucophaeus ENSMLEG00000044085
macaca_mulatta ENSMMUG00000018081
cercocebus_atys ENSCATG00000028990
theropithecus_gelada ENSTGEG00000022354
papio_anubis ENSPANG00000006263
chlorocebus_sabaeus ENSCSAG00000008109
colobus_angolensis_palliatus ENSCANG00000036025
piliocolobus_tephrosceles ENSPTEG00000037867
rhinopithecus_roxellana ENSRROG00000033109
rhinopithecus_bieti ENSRBIG00000039440
cebus_capucinus ENSCCAG00000029676
callithrix_jacchus ENSCJAG00000007403
saimiri_boliviensis_boliviensis ENSSBOG00000030574
aotus_nancymaae ENSANAG00000022507
carlito_syrichta ENSTSYG00000014197
propithecus_coquereli ENSPCOG00000023333
microcebus_murinus ENSMICG00000000050
prolemur_simus ENSPSMG00000020207
otolemur_garnettii ENSOGAG00000015734
ursus_maritimus ENSUMAG00000025543
ursus_americanus ENSUAMG00000025316
ailuropoda_melanoleuca ENSAMEG00000001955
neovison_vison ENSNVIG00000005820
mustela_putorius_furo ENSMPUG00000009313
canis_lupus_dingo ENSCAFG00020018464
canis_lupus_familiaris ENSCAFG00000010403
vulpes_vulpes ENSVVUG00000016693
panthera_pardus ENSPPRG00000008175
panthera_tigris_altaica ENSPTIG00000013976
felis_catus ENSFCAG00000012706
equus_asinus_asinus ENSEASG00005003787
equus_caballus ENSECAG00000016881
ursus_americanus ENSUAMG00000003373
ursus_americanus ENSUAMG00000002686
equus_caballus ENSECAG00000032819
sus_scrofa ENSSSCG00000029511
vicugna_pacos ENSVPAG00000009448
ovis_aries ENSOARG00000010806
capra_hircus ENSCHIG00000022525
bos_mutus ENSBMUG00000012299
bos_taurus ENSBTAG00000023398
bison_bison_bison ENSBBBG00000014132
tursiops_truncatus ENSTTRG00000000733
myotis_lucifugus ENSMLUG00000000130
pteropus_vampyrus ENSPVAG00000002574
ornithorhynchus_anatinus ENSOANG00000006452
latimeria_chalumnae ENSLACG00000001028
