tupaia_belangeri ENSTBEG00000002629
ochotona_princeps ENSOPRG00000010170
nomascus_leucogenys ENSNLEG00000034369
pan_troglodytes ENSPTRG00000039623
pan_troglodytes ENSPTRG00000039452
pan_troglodytes ENSPTRG00000050690
pongo_abelii ENSPPYG00000020741
cercocebus_atys ENSCATG00000022289
mandrillus_leucophaeus ENSMLEG00000012149
papio_anubis ENSPANG00000014920
macaca_mulatta ENSMMUG00000022140
macaca_fascicularis ENSMFAG00000030344
macaca_nemestrina ENSMNEG00000027314
theropithecus_gelada ENSTGEG00000001908
piliocolobus_tephrosceles ENSPTEG00000011667
theropithecus_gelada ENSTGEG00000001889
piliocolobus_tephrosceles ENSPTEG00000012140
pteropus_vampyrus ENSPVAG00000012326
