seriola_dumerili ENSSDUG00000019692
seriola_lalandi_dorsalis ENSSLDG00000017170
scophthalmus_maximus ENSSMAG00000011675
monopterus_albus ENSMALG00000010742
mastacembelus_armatus ENSMAMG00000008798
anabas_testudineus ENSATEG00000025038
cyprinodon_variegatus ENSCVAG00000008811
fundulus_heteroclitus ENSFHEG00000016546
poecilia_formosa ENSPFOG00000004346
poecilia_latipinna ENSPLAG00000012867
poecilia_mexicana ENSPMEG00000021436
poecilia_reticulata ENSPREG00000008970
xiphophorus_maculatus ENSXMAG00000006013
xiphophorus_couchianus ENSXCOG00000013891
gambusia_affinis ENSGAFG00000014070
kryptolebias_marmoratus ENSKMAG00000013352
oryzias_latipes ENSORLG00020016512
oryzias_latipes ENSORLG00000005758
oryzias_latipes_asm223469v1 ENSORLG00015012256
oryzias_melastigma ENSOMEG00000017601
maylandia_zebra ENSMZEG00005005610
astatotilapia_calliptera ENSACLG00000019807
haplochromis_burtoni ENSHBUG00000008849
pundamilia_nyererei ENSPNYG00000013180
oreochromis_niloticus ENSONIG00000011495
neolamprologus_brichardi ENSNBRG00000005251
amphilophus_citrinellus ENSACIG00000015855
amphiprion_ocellaris ENSAOCG00000000358
amphiprion_percula ENSAPEG00000009684
acanthochromis_polyacanthus ENSAPOG00000020880
stegastes_partitus ENSSPAG00000015136
labrus_bergylta ENSLBEG00000012471
gasterosteus_aculeatus ENSGACG00000006233
takifugu_rubripes ENSTRUG00000012941
tetraodon_nigroviridis ENSTNIG00000007044
mola_mola ENSMMOG00000006199
cynoglossus_semilaevis ENSCSEG00000018787
hippocampus_comes ENSHCOG00000020824
periophthalmus_magnuspinnatus ENSPMGG00000008544
gadus_morhua ENSGMOG00000007883
esox_lucius ENSELUG00000022202
pygocentrus_nattereri ENSPNAG00000015428
astyanax_mexicanus ENSAMXG00000024731
ictalurus_punctatus ENSIPUG00000014896
danio_rerio ENSDARG00000016753
paramormyrops_kingsleyae ENSPKIG00000017281
scleropages_formosus ENSSFOG00015018530
lepisosteus_oculatus ENSLOCG00000010108
notamacropus_eugenii ENSMEUG00000007152
phascolarctos_cinereus ENSPCIG00000030448
sarcophilus_harrisii ENSSHAG00000010437
monodelphis_domestica ENSMODG00000000485
tupaia_belangeri ENSTBEG00000010254
erinaceus_europaeus ENSEEUG00000014480
choloepus_hoffmanni ENSCHOG00000013225
dasypus_novemcinctus ENSDNOG00000004002
loxodonta_africana ENSLAFG00000012565
procavia_capensis ENSPCAG00000008645
pan_troglodytes ENSPTRG00000023652
pan_paniscus ENSPPAG00000037356
homo_sapiens ENSG00000198700
