periophthalmus_magnuspinnatus ENSPMGG00000019778
hippocampus_comes ENSHCOG00000009302
poecilia_latipinna ENSPLAG00000018859
poecilia_mexicana ENSPMEG00000013158
poecilia_formosa ENSPFOG00000008364
poecilia_reticulata ENSPREG00000000213
xiphophorus_maculatus ENSXMAG00000013808
xiphophorus_couchianus ENSXCOG00000015725
gambusia_affinis ENSGAFG00000011891
cyprinodon_variegatus ENSCVAG00000011932
kryptolebias_marmoratus ENSKMAG00000011870
fundulus_heteroclitus ENSFHEG00000012940
oryzias_latipes ENSORLG00020007411
oryzias_latipes ENSORLG00000020078
oryzias_latipes_asm223469v1 ENSORLG00015006468
oryzias_melastigma ENSOMEG00000019392
acanthochromis_polyacanthus ENSAPOG00000017284
cynoglossus_semilaevis ENSCSEG00000020756
scophthalmus_maximus ENSSMAG00000021134
gasterosteus_aculeatus ENSGACG00000000196
amphiprion_ocellaris ENSAOCG00000007958
amphiprion_ocellaris ENSAOCG00000000353
amphiprion_percula ENSAPEG00000007626
stegastes_partitus ENSSPAG00000007312
pundamilia_nyererei ENSPNYG00000014325
maylandia_zebra ENSMZEG00005014469
astatotilapia_calliptera ENSACLG00000010440
haplochromis_burtoni ENSHBUG00000008907
neolamprologus_brichardi ENSNBRG00000024374
oreochromis_niloticus ENSONIG00000000394
amphilophus_citrinellus ENSACIG00000018711
mastacembelus_armatus ENSMAMG00000004298
monopterus_albus ENSMALG00000014451
anabas_testudineus ENSATEG00000001775
mola_mola ENSMMOG00000011095
takifugu_rubripes ENSTRUG00000022498
labrus_bergylta ENSLBEG00000012802
seriola_lalandi_dorsalis ENSSLDG00000006098
seriola_dumerili ENSSDUG00000012816
gadus_morhua ENSGMOG00000019496
esox_lucius ENSELUG00000021732
pygocentrus_nattereri ENSPNAG00000024952
astyanax_mexicanus ENSAMXG00000012088
ictalurus_punctatus ENSIPUG00000003070
danio_rerio ENSDARG00000114081
danio_rerio ENSDARG00000075030
scleropages_formosus ENSSFOG00015004075
paramormyrops_kingsleyae ENSPKIG00000005243
