xiphophorus_couchianus ENSXCOG00000013250
xiphophorus_maculatus ENSXMAG00000009140
gambusia_affinis ENSGAFG00000019528
poecilia_latipinna ENSPLAG00000014687
poecilia_mexicana ENSPMEG00000019556
poecilia_formosa ENSPFOG00000011525
poecilia_reticulata ENSPREG00000005011
cyprinodon_variegatus ENSCVAG00000022781
fundulus_heteroclitus ENSFHEG00000021838
kryptolebias_marmoratus ENSKMAG00000009230
oryzias_latipes_asm223469v1 ENSORLG00015005146
oryzias_latipes ENSORLG00000022549
oryzias_melastigma ENSOMEG00000010054
acanthochromis_polyacanthus ENSAPOG00000009330
stegastes_partitus ENSSPAG00000021064
amphiprion_ocellaris ENSAOCG00000020418
mastacembelus_armatus ENSMAMG00000014018
takifugu_rubripes ENSTRUG00000010044
gasterosteus_aculeatus ENSGACG00000012839
tetraodon_nigroviridis ENSTNIG00000008909
labrus_bergylta ENSLBEG00000020594
scophthalmus_maximus ENSSMAG00000012210
cynoglossus_semilaevis ENSCSEG00000016345
monopterus_albus ENSMALG00000000487
maylandia_zebra ENSMZEG00005009060
astatotilapia_calliptera ENSACLG00000025650
haplochromis_burtoni ENSHBUG00000017248
pundamilia_nyererei ENSPNYG00000023072
neolamprologus_brichardi ENSNBRG00000011006
oreochromis_niloticus ENSONIG00000019537
amphilophus_citrinellus ENSACIG00000010621
amphiprion_percula ENSAPEG00000000606
periophthalmus_magnuspinnatus ENSPMGG00000024069
mola_mola ENSMMOG00000004774
seriola_dumerili ENSSDUG00000018479
seriola_lalandi_dorsalis ENSSLDG00000015536
anabas_testudineus ENSATEG00000010693
hippocampus_comes ENSHCOG00000011135
gadus_morhua ENSGMOG00000014962
esox_lucius ENSELUG00000008935
pygocentrus_nattereri ENSPNAG00000011336
astyanax_mexicanus ENSAMXG00000013686
ictalurus_punctatus ENSIPUG00000010609
danio_rerio ENSDARG00000095833
paramormyrops_kingsleyae ENSPKIG00000022905
scleropages_formosus ENSSFOG00015005123
lepisosteus_oculatus ENSLOCG00000016799
chinchilla_lanigera ENSCLAG00000007813
octodon_degus ENSODEG00000006085
cavia_aperea ENSCAPG00000017370
cavia_porcellus ENSCPOG00000008234
heterocephalus_glaber_female ENSHGLG00000009536
heterocephalus_glaber_male ENSHGLG00100009823
fukomys_damarensis ENSFDAG00000004013
urocitellus_parryii ENSUPAG00010002138
ictidomys_tridecemlineatus ENSSTOG00000002811
spermophilus_dauricus ENSSDAG00000005926
marmota_marmota_marmota ENSMMMG00000019224
castor_canadensis ENSCCNG00000002022
dipodomys_ordii ENSDORG00000013694
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022776
mus_musculus ENSMUSG00000055471
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021865
mus_spicilegus ENSMSIG00000027978
mus_pahari MGP_PahariEiJ_G0020852
rattus_norvegicus ENSRNOG00000008683
meriones_unguiculatus ENSMUGG00000017349
cricetulus_griseus_chok1gshd ENSCGRG00001000547
cricetulus_griseus_crigri-picr ENSCGRG00015024600
cricetulus_griseus_crigri ENSCGRG00000001880
mesocricetus_auratus ENSMAUG00000009727
microtus_ochrogaster ENSMOCG00000006040
peromyscus_maniculatus_bairdii ENSPEMG00000021911
nannospalax_galili ENSNGAG00000004733
jaculus_jaculus ENSJJAG00000015463
oryctolagus_cuniculus ENSOCUG00000001085
ochotona_princeps ENSOPRG00000007284
tupaia_belangeri ENSTBEG00000016366
microcebus_murinus ENSMICG00000000637
prolemur_simus ENSPSMG00000003531
propithecus_coquereli ENSPCOG00000013944
otolemur_garnettii ENSOGAG00000014350
pan_troglodytes ENSPTRG00000011796
pan_paniscus ENSPPAG00000043650
gorilla_gorilla ENSGGOG00000004378
homo_sapiens ENSG00000171094
pongo_abelii ENSPPYG00000012522
nomascus_leucogenys ENSNLEG00000015414
mandrillus_leucophaeus ENSMLEG00000042589
papio_anubis ENSPANG00000015024
macaca_fascicularis ENSMFAG00000032798
macaca_mulatta ENSMMUG00000010265
macaca_nemestrina ENSMNEG00000041926
cercocebus_atys ENSCATG00000041002
chlorocebus_sabaeus ENSCSAG00000011035
piliocolobus_tephrosceles ENSPTEG00000008915
colobus_angolensis_palliatus ENSCANG00000022257
rhinopithecus_roxellana ENSRROG00000026006
rhinopithecus_bieti ENSRBIG00000035945
cebus_capucinus ENSCCAG00000033592
saimiri_boliviensis_boliviensis ENSSBOG00000020720
callithrix_jacchus ENSCJAG00000008763
aotus_nancymaae ENSANAG00000035118
pteropus_vampyrus ENSPVAG00000011977
myotis_lucifugus ENSMLUG00000010803
equus_caballus ENSECAG00000007080
equus_asinus_asinus ENSEASG00005008755
neovison_vison ENSNVIG00000015109
mustela_putorius_furo ENSMPUG00000017981
ailuropoda_melanoleuca ENSAMEG00000005234
ursus_americanus ENSUAMG00000015537
canis_lupus_familiaris ENSCAFG00000005297
canis_lupus_dingo ENSCAFG00020023746
vulpes_vulpes ENSVVUG00000003241
panthera_tigris_altaica ENSPTIG00000017777
panthera_pardus ENSPPRG00000002066
felis_catus ENSFCAG00000042185
sus_scrofa ENSSSCG00000008533
vicugna_pacos ENSVPAG00000004035
bos_mutus ENSBMUG00000012512
bos_taurus ENSBTAG00000007379
bison_bison_bison ENSBBBG00000001065
capra_hircus ENSCHIG00000008213
ovis_aries ENSOARG00000019617
tursiops_truncatus ENSTTRG00000008307
dasypus_novemcinctus ENSDNOG00000007522
choloepus_hoffmanni ENSCHOG00000012882
carlito_syrichta ENSTSYG00000009783
loxodonta_africana ENSLAFG00000014602
procavia_capensis ENSPCAG00000008629
echinops_telfairi ENSETEG00000007715
erinaceus_europaeus ENSEEUG00000005230
phascolarctos_cinereus ENSPCIG00000023070
notamacropus_eugenii ENSMEUG00000000874
sarcophilus_harrisii ENSSHAG00000011747
monodelphis_domestica ENSMODG00000015531
ornithorhynchus_anatinus ENSOANG00000014473
anolis_carolinensis ENSACAG00000008958
