seriola_dumerili ENSSDUG00000019672
seriola_lalandi_dorsalis ENSSLDG00000024166
cynoglossus_semilaevis ENSCSEG00000011140
mola_mola ENSMMOG00000014968
poecilia_formosa ENSPFOG00000001457
poecilia_mexicana ENSPMEG00000005372
poecilia_reticulata ENSPREG00000001720
fundulus_heteroclitus ENSFHEG00000009367
kryptolebias_marmoratus ENSKMAG00000012916
oryzias_latipes ENSORLG00000030256
oryzias_latipes ENSORLG00020008915
oryzias_latipes_asm223469v1 ENSORLG00015016150
oryzias_melastigma ENSOMEG00000008137
stegastes_partitus ENSSPAG00000004985
amphiprion_percula ENSAPEG00000009909
acanthochromis_polyacanthus ENSAPOG00000023692
gasterosteus_aculeatus ENSGACG00000002768
labrus_bergylta ENSLBEG00000007048
anabas_testudineus ENSATEG00000008025
monopterus_albus ENSMALG00000009567
neolamprologus_brichardi ENSNBRG00000018296
gadus_morhua ENSGMOG00000017979
esox_lucius ENSELUG00000000263
pygocentrus_nattereri ENSPNAG00000028583
astyanax_mexicanus ENSAMXG00000031699
paramormyrops_kingsleyae ENSPKIG00000011475
